sep=,
DeviceTag:,DOT_Shank_L
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:24:02_479 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1906607838,3.233355,0.013593,-2.160346,-81.557549,-156.316818,-254.395645,-0.020134,-0.451318,0.466775,-0.760285,
2,1906624505,6.369880,3.542942,-1.543827,-64.348701,-163.401382,-314.498657,-0.047927,-0.490207,0.452829,-0.743204,
3,1906641172,9.849726,4.669102,-1.276450,-87.132866,-166.867294,-343.490570,-0.080104,-0.529737,0.437934,-0.721929,
4,1906657839,11.978124,3.628001,-2.230995,-114.570969,-174.236420,-370.421997,-0.116468,-0.569551,0.422367,-0.695456,
5,1906674506,15.293367,4.629189,-1.846899,-134.800613,-175.858124,-399.747040,-0.156879,-0.608613,0.404702,-0.664230,
6,1906691173,21.163910,1.524403,-0.971158,-159.169708,-166.445251,-410.692810,-0.200333,-0.644064,0.386353,-0.629114,
7,1906707840,25.730259,-8.094843,0.831423,-179.916962,-156.391632,-368.684570,-0.241574,-0.672799,0.371837,-0.592222,
8,1906724507,20.916784,-22.123775,2.611661,-154.504730,-142.690765,-342.395874,-0.277901,-0.697294,0.355822,-0.556730,
9,1906741174,20.731493,-27.450184,3.725770,-121.310120,-107.123871,-253.281235,-0.304753,-0.713777,0.343758,-0.528662,
10,1906757841,15.365764,-37.646793,3.300612,-73.787064,-65.996071,-133.956848,-0.319176,-0.722343,0.338170,-0.511854,
11,1906774508,8.898067,-38.367741,4.724753,62.084270,-39.019268,-36.634621,-0.313288,-0.730152,0.331311,-0.508889,
12,1906791175,15.118963,-69.777054,0.049505,-114.504356,-35.550247,134.207870,-0.313545,-0.721125,0.355369,-0.505358,
13,1906807842,23.275755,-37.935871,10.871478,276.570221,83.576225,314.528503,-0.265010,-0.710230,0.363356,-0.541591,
14,1906824509,24.299940,65.349312,3.527518,197.693863,54.491074,168.005081,-0.233896,-0.704429,0.362575,-0.563576,
15,1906841176,6.759306,-34.425488,-11.982536,-532.492676,64.065315,376.349823,-0.259745,-0.658380,0.440646,-0.552183,
16,1906857843,11.544849,2.620304,9.575313,-41.189495,36.913696,236.276047,-0.246768,-0.638609,0.464725,-0.561535,
17,1906874510,1.505690,-16.572577,0.519438,-73.092972,6.251974,194.104416,-0.237862,-0.622367,0.488102,-0.563776,
18,1906891177,12.007748,0.522903,-1.524609,57.773762,17.862482,127.554947,-0.223235,-0.614017,0.494004,-0.573686,
19,1906907844,15.049824,-10.259277,-1.186535,-28.427876,-1.570140,136.325272,-0.214085,-0.603606,0.508310,-0.575720,
20,1906924511,10.655839,-4.762029,-1.693326,33.084194,1.486881,70.838715,-0.205190,-0.599538,0.511488,-0.580377,
