sep=,
DeviceTag:,DOT_Shank_L
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:37:05_231 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2689404800,9.868109,-0.326638,0.384336,-0.840993,1.950094,0.104263,-0.672829,0.268084,0.639785,0.257102,
2,2689421467,9.874781,-0.334652,0.375279,-1.084647,1.354047,-0.243756,-0.672751,0.267864,0.639932,0.257172,
3,2689438134,9.885102,-0.306314,0.387633,-0.585698,1.013296,-0.593523,-0.672646,0.267578,0.640144,0.257217,
4,2689454801,9.919089,-0.247510,0.325985,-0.441166,0.596232,-0.752898,-0.672501,0.267278,0.640408,0.257249,
5,2689471468,9.936487,-0.295245,0.296563,-0.279768,-0.093371,-1.019731,-0.672290,0.266963,0.640756,0.257264,
6,2689488135,9.904167,-0.339105,0.281661,0.139058,-0.645735,-1.482028,-0.672025,0.266584,0.641191,0.257264,
7,2689504802,9.867620,-0.290127,0.303716,0.933884,-0.989470,-2.014119,-0.671739,0.266091,0.641710,0.257228,
8,2689521469,9.868660,-0.189795,0.273571,1.155037,-1.201940,-2.068917,-0.671439,0.265578,0.642260,0.257168,
9,2689538136,9.893646,-0.129017,0.333612,-0.218105,-1.065412,-1.946104,-0.671103,0.265207,0.642739,0.257231,
10,2689554803,9.964695,-0.150569,0.392378,-1.752856,-0.810911,-1.760258,-0.670740,0.264987,0.643132,0.257422,
11,2689571470,9.953404,-0.202526,0.337711,-2.043458,-0.485437,-1.389566,-0.670409,0.264822,0.643465,0.257621,
12,2689588137,9.859692,0.360593,0.249479,0.235233,-0.211919,-1.955478,-0.670171,0.264371,0.643879,0.257672,
13,2689604804,10.031116,-0.504424,0.018634,-3.663858,-0.749031,-0.004674,-0.669803,0.264504,0.644123,0.257879,
14,2689621471,9.990490,-0.132168,0.155685,-4.092717,0.752008,-0.364110,-0.669548,0.264590,0.644218,0.258218,
15,2689638138,9.986928,-0.415790,0.192121,-0.825485,2.017634,-0.252183,-0.669540,0.264321,0.644307,0.258291,
16,2689654805,10.039526,-0.059434,0.113081,5.489770,3.577448,-0.447416,-0.669914,0.263358,0.644490,0.257847,
17,2689671472,10.036696,0.009696,0.246660,4.617798,2.818223,-0.208961,-0.670193,0.262529,0.644705,0.257431,
18,2689688139,10.116101,0.065850,0.236836,0.807101,3.319515,0.477414,-0.670395,0.262124,0.644699,0.257332,
19,2689704806,10.179163,-0.383090,0.066298,3.784130,5.697245,1.594782,-0.670977,0.261444,0.644529,0.256934,
20,2689721473,10.251705,-0.282794,-0.072453,12.349358,8.950934,2.292422,-0.672213,0.259872,0.644332,0.255790,
21,2689738140,10.286542,0.066043,0.177259,14.884176,7.132612,4.005491,-0.673435,0.258278,0.644339,0.254168,
22,2689754807,10.152057,-0.116126,0.016713,15.511000,6.702691,5.421107,-0.674689,0.256765,0.644354,0.252326,
23,2689771474,10.148697,-0.176775,0.118885,17.545242,4.923094,6.248066,-0.675877,0.255193,0.644585,0.250145,
24,2689788141,10.023582,-0.348828,0.070008,20.795980,4.285377,6.618672,-0.677133,0.253357,0.644975,0.247597,
25,2689804808,9.916986,-0.324191,0.134454,23.900934,2.941247,6.245383,-0.678353,0.251226,0.645616,0.244742,
26,2689821475,9.875057,-0.224164,0.361404,22.780664,1.717482,6.148321,-0.679403,0.249237,0.646333,0.241954,
27,2689838142,9.726192,-0.110284,0.629253,20.070240,0.854768,6.126843,-0.680265,0.247540,0.647033,0.239390,
28,2689854809,9.646090,-0.072998,0.817595,14.912682,0.508995,6.195776,-0.680905,0.246369,0.647580,0.237288,
29,2689871476,9.549130,-0.128792,0.891162,8.770477,0.760012,6.179662,-0.681346,0.245795,0.647887,0.235774,
30,2689888143,9.404351,-0.243215,0.964860,1.793690,1.888559,5.845965,-0.681632,0.245843,0.647853,0.234991,
31,2689904810,9.318731,-0.247843,1.044272,-4.234331,3.593277,5.554864,-0.681853,0.246402,0.647453,0.234864,
32,2689921477,9.366392,-0.147293,0.948338,-10.952482,5.173980,5.507982,-0.681981,0.247570,0.646667,0.235432,
33,2689938144,9.545858,-0.291162,0.682698,-15.069499,5.485534,4.440522,-0.681950,0.249034,0.645745,0.236503,
34,2689954811,9.821795,-0.571746,0.547305,-19.551342,4.917895,2.152104,-0.681621,0.250744,0.644807,0.238201,
35,2689971478,9.726132,-0.943378,0.361410,-20.462362,4.406473,-1.218833,-0.681088,0.252245,0.644006,0.240298,
36,2689988145,9.797265,-0.995058,0.272470,-15.858682,3.180108,-4.495443,-0.680489,0.253024,0.643605,0.242242,
37,2690004812,9.958766,-0.610901,0.189044,-9.938217,2.279960,-6.278187,-0.679959,0.253081,0.643564,0.243775,
38,2690021479,10.102171,0.030611,0.174701,-7.649710,1.858772,-5.710443,-0.679494,0.252980,0.643622,0.245021,
