sep=,
DeviceTag:,DOT_Shank_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:37:05_233 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2689404800,-9.525337,0.812147,-0.413968,-0.492007,1.548794,0.738677,-0.652047,0.194201,-0.693792,-0.236179,
2,2689421467,-9.475178,0.879673,-0.450151,-0.368439,1.300005,0.734963,-0.651946,0.194502,-0.693787,-0.236224,
3,2689438134,-9.522532,0.907133,-0.435010,-1.109878,1.331639,0.427482,-0.651833,0.194902,-0.693752,-0.236311,
4,2689454801,-9.517829,0.823860,-0.377147,-1.867140,1.119448,0.395018,-0.651720,0.195369,-0.693670,-0.236476,
5,2689471468,-9.470540,0.828846,-0.425494,-2.244133,1.093438,0.415252,-0.651606,0.195845,-0.693580,-0.236661,
6,2689488135,-9.559515,0.750527,-0.442984,-1.984677,0.786240,0.645088,-0.651515,0.196288,-0.693469,-0.236872,
7,2689504802,-9.508377,0.689472,-0.419592,-0.925745,0.617541,1.123623,-0.651453,0.196578,-0.693391,-0.237030,
8,2689521469,-9.437361,0.766650,-0.428802,-0.079361,0.358366,1.511988,-0.651429,0.196735,-0.693330,-0.237141,
9,2689538136,-9.479600,0.812799,-0.394388,-0.467509,0.329616,1.633059,-0.651392,0.196922,-0.693255,-0.237308,
10,2689554803,-9.486769,0.889739,-0.346877,-1.444838,0.323636,1.366149,-0.651338,0.197225,-0.693139,-0.237546,
11,2689571470,-9.521999,0.871851,-0.309473,-2.828590,0.433079,1.116464,-0.651242,0.197685,-0.692978,-0.237895,
12,2689588137,-9.517873,0.827779,-0.335655,-3.285239,0.344536,0.910653,-0.651145,0.198214,-0.692785,-0.238280,
13,2689604804,-9.505344,0.820365,-0.366544,-3.298967,0.164337,0.723911,-0.651074,0.198754,-0.692570,-0.238652,
14,2689621471,-9.534782,0.805650,-0.411449,-3.287761,-0.035832,0.764417,-0.651022,0.199280,-0.692337,-0.239030,
15,2689638138,-9.510815,0.791864,-0.426489,-3.359362,-0.094626,0.684839,-0.650976,0.199818,-0.692094,-0.239410,
16,2689654805,-9.483880,0.722032,-0.440938,-2.616824,-0.167430,0.876819,-0.650952,0.200265,-0.691875,-0.239735,
17,2689671472,-9.517984,0.719379,-0.460982,-1.402103,-0.558408,1.126850,-0.650994,0.200557,-0.691668,-0.239972,
18,2689688139,-9.479451,0.829420,-0.438401,-0.806134,-0.786054,0.952210,-0.651082,0.200802,-0.691456,-0.240139,
19,2689704806,-9.499919,0.875350,-0.448277,-1.299089,-1.040401,0.507586,-0.651198,0.201130,-0.691189,-0.240320,
20,2689721473,-9.504394,0.898197,-0.416641,-2.042651,-1.285719,-0.194247,-0.651341,0.201587,-0.690853,-0.240515,
21,2689738140,-9.492564,0.943463,-0.349320,-3.661682,-1.300127,-0.881692,-0.651461,0.202268,-0.690438,-0.240809,
22,2689754807,-9.524928,0.948884,-0.389934,-6.537630,-1.413463,-1.839095,-0.651541,0.203314,-0.689882,-0.241305,
23,2689771474,-9.489403,0.797556,-0.385399,-8.629182,-1.532321,-2.297021,-0.651585,0.204598,-0.689227,-0.241971,
24,2689788141,-9.553957,0.598245,-0.459612,-7.441233,-1.980195,-2.077485,-0.651701,0.205734,-0.688576,-0.242552,
25,2689804808,-9.495529,0.609721,-0.385042,-3.792844,-2.624341,-1.672330,-0.651974,0.206459,-0.688003,-0.242825,
26,2689821475,-9.471301,0.825278,-0.310222,-3.586059,-2.812454,-1.616904,-0.652270,0.207153,-0.687421,-0.243087,
27,2689838142,-9.555169,0.932600,-0.297311,-7.075394,-2.312827,-2.266788,-0.652434,0.208260,-0.686742,-0.243620,
28,2689854809,-9.514033,0.659877,-0.341774,-9.228771,-2.123089,-2.434667,-0.652517,0.209593,-0.685999,-0.244348,
29,2689871476,-9.547330,0.390702,-0.313380,-4.700763,-2.471869,-1.419866,-0.652735,0.210383,-0.685413,-0.244729,
30,2689888143,-9.568665,0.524743,-0.143719,1.041842,-2.874885,-0.630047,-0.653141,0.210535,-0.685016,-0.244625,
31,2689904810,-9.495298,0.840539,-0.036556,1.380224,-2.445846,-0.716182,-0.653518,0.210678,-0.684670,-0.244466,
32,2689921477,-9.579625,0.877648,0.074439,-1.680897,-2.024902,-1.170974,-0.653775,0.211173,-0.684240,-0.244556,
33,2689938144,-9.564013,0.696837,-0.031765,-3.194045,-1.263808,-1.556215,-0.653922,0.211875,-0.683817,-0.244736,
34,2689954811,-9.563235,0.495990,-0.221807,-1.230408,-0.727401,-1.181821,-0.654063,0.212373,-0.683526,-0.244741,
35,2689971478,-9.481458,0.557954,-0.311676,0.843189,-0.261301,-0.714556,-0.654205,0.212644,-0.683368,-0.244568,
36,2689988145,-9.449259,0.667975,-0.265841,-0.454011,0.396517,-0.484720,-0.654234,0.213040,-0.683232,-0.244526,
37,2690004812,-9.455378,0.557437,-0.354413,-1.724900,1.129078,-0.178405,-0.654140,0.213553,-0.683130,-0.244615,
38,2690021479,-9.542169,0.453541,-0.332862,-0.721138,1.166588,0.698004,-0.654042,0.213885,-0.683094,-0.244688,
39,2690038146,-9.565695,0.475314,-0.254179,2.103846,1.285354,1.620727,-0.653987,0.213859,-0.683199,-0.244564,
40,2690054813,-9.513821,0.539068,-0.206454,3.139637,1.538587,2.517735,-0.653906,0.213655,-0.683394,-0.244415,
41,2690071480,-9.456195,0.592948,-0.298167,2.844617,1.843993,3.002750,-0.653769,0.213441,-0.683621,-0.244332,
42,2690088147,-9.431659,0.572316,-0.320301,2.816138,1.935239,3.184996,-0.653616,0.213217,-0.683862,-0.244265,
43,2690104814,-9.517271,0.544170,-0.323379,3.141212,1.889916,3.579714,-0.653464,0.212921,-0.684121,-0.244205,
44,2690121481,-9.565387,0.533084,-0.291609,3.933682,1.874690,4.176555,-0.653315,0.212488,-0.684426,-0.244124,
45,2690138148,-9.491103,0.595352,-0.275204,4.980845,1.802359,4.736077,-0.653186,0.211897,-0.684779,-0.243994,
46,2690154815,-9.509716,0.716918,-0.341999,4.594426,1.727404,4.646049,-0.653056,0.211350,-0.685107,-0.243896,
47,2690171482,-9.539735,0.770825,-0.337610,3.708533,1.285085,4.158779,-0.652959,0.210919,-0.685347,-0.243853,
