sep=,
DeviceTag:,DOT_Thigh_L
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:24:02_471 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1906624505,-11.465963,-0.977176,-2.477989,100.968239,27.911903,-72.155151,0.313362,0.396393,0.641531,-0.577171,
2,1906641172,-8.784793,-1.092075,-2.745224,60.336056,47.360790,-31.300257,0.302630,0.400098,0.640577,-0.581385,
3,1906657839,-8.568574,-0.326947,-2.915538,60.068802,55.127010,8.440731,0.294503,0.408097,0.637589,-0.583281,
4,1906674506,-5.675048,3.052709,-3.124277,89.625084,64.085518,32.523838,0.285774,0.420268,0.630910,-0.586235,
5,1906691173,-4.605129,10.955653,-2.089275,73.106224,65.158150,43.114162,0.278787,0.432704,0.624871,-0.587021,
6,1906707840,-0.840737,18.276464,-1.523714,-111.804039,82.315704,57.037083,0.282965,0.440216,0.634212,-0.569145,
7,1906724507,-1.482907,6.580278,4.935573,-257.946930,41.150913,100.121796,0.303557,0.441810,0.650515,-0.538051,
8,1906741174,3.608911,-9.175051,8.521074,-106.073143,16.833090,123.858322,0.318215,0.449961,0.651615,-0.521232,
9,1906757841,3.951757,-17.372187,8.586293,-104.501083,-37.561214,84.275887,0.334769,0.450090,0.652352,-0.509702,
10,1906774508,4.249348,-15.564846,-16.754074,43.191536,-15.949935,17.667864,0.334591,0.452590,0.647403,-0.513898,
11,1906791175,-1.227915,-6.105392,-11.759172,79.296288,82.698807,-22.132980,0.319716,0.460395,0.647067,-0.516849,
12,1906807842,-16.407888,-3.132023,5.631126,61.961784,33.092144,-12.888836,0.311301,0.464444,0.644979,-0.520957,
13,1906824509,-11.020779,-2.585517,-9.226915,167.837906,71.393158,-25.445097,0.291063,0.474818,0.637186,-0.532762,
14,1906841176,-18.749741,39.341530,11.133231,206.421631,40.363319,-51.012230,0.268808,0.481646,0.626311,-0.550912,
15,1906857843,-1.449260,-6.621107,-13.903717,-448.678680,-55.798908,18.675285,0.306042,0.460236,0.657593,-0.511960,
16,1906874510,-24.113838,-17.096581,-4.432073,259.988373,127.753456,40.378338,0.278992,0.484677,0.640829,-0.525929,
17,1906891177,-13.162539,16.547089,1.815593,-9.476381,-80.920029,53.058773,0.291070,0.482926,0.634670,-0.528455,
18,1906907844,-17.546362,2.772842,-6.071485,-55.991489,-11.505064,129.683640,0.305808,0.491466,0.629449,-0.518408,
19,1906924511,-15.636536,0.291596,-6.802898,-68.567146,-25.386284,120.608261,0.321903,0.497365,0.624946,-0.508390,
20,1906941178,-13.992873,-5.140481,-10.069500,-75.993431,-22.221573,157.870209,0.340831,0.506271,0.618111,-0.495452,
21,1906957845,-13.423909,-3.097845,-8.956682,-38.810658,-0.861727,180.343964,0.356488,0.520235,0.607581,-0.482833,
22,1906974512,-16.986057,-5.883439,-7.590617,-61.000858,-5.856123,180.817184,0.374036,0.532357,0.597867,-0.468251,
23,1906991179,-15.712224,-12.003095,-5.000283,-48.331715,-16.692936,171.443756,0.390640,0.543234,0.586999,-0.455785,
24,1907007846,-14.885283,-9.617302,-2.970137,4.674916,-15.617701,144.517670,0.400965,0.554595,0.574480,-0.449037,
25,1907024513,-11.233742,-5.495701,-1.625015,-28.782581,-42.518730,119.165260,0.414422,0.559913,0.564398,-0.442965,
26,1907041180,-9.334046,-5.313649,-1.378113,-83.458252,-55.755135,95.178123,0.431719,0.558905,0.558782,-0.434762,
27,1907057847,-5.122990,-9.107293,-2.718056,-106.672394,-76.245308,65.496384,0.450507,0.552497,0.555523,-0.428014,
28,1907074514,-0.971068,-9.170618,-2.494468,-56.238094,-50.858685,37.817898,0.461333,0.548572,0.552846,-0.424985,
29,1907091181,-1.685529,-10.208097,-0.294307,-10.141258,-25.363079,17.525984,0.465132,0.547655,0.550609,-0.424932,
30,1907107848,0.854254,-13.330003,-1.376554,8.223630,-35.567059,0.944556,0.467251,0.545996,0.547852,-0.428292,
31,1907124515,4.526105,-13.448003,-3.837889,97.133003,-23.312195,-19.327227,0.460019,0.549454,0.541928,-0.439098,
32,1907141182,2.849280,-5.718190,-1.799369,162.498077,6.140972,-44.862457,0.443425,0.556929,0.535621,-0.454231,
33,1907157849,-1.569132,-1.918801,2.812298,157.631638,3.791836,-67.969658,0.425610,0.561794,0.531027,-0.470387,
34,1907174516,-2.779516,-0.586212,2.987142,122.935921,-30.954557,-92.948433,0.411360,0.559884,0.528393,-0.487980,
35,1907191183,-4.823759,0.494140,-0.308390,93.766472,-26.954042,-120.558144,0.397006,0.554100,0.530043,-0.504405,
36,1907207850,-36.146629,-0.403451,-2.934704,54.480621,35.271164,-128.451614,0.380252,0.549740,0.538550,-0.513001,
37,1907224517,-9.545217,4.559161,1.127234,-30.354298,-139.882843,-206.578171,0.377830,0.521012,0.549463,-0.532815,
38,1907241184,-20.700020,-2.485845,-2.070040,-80.714180,-19.256065,-171.361496,0.371910,0.501125,0.567660,-0.536964,
39,1907257851,-19.480524,-4.201744,-4.014958,-76.926231,-48.059658,-195.018799,0.365918,0.476796,0.585220,-0.544332,
40,1907274518,-23.385672,-1.923915,-1.453957,-54.112907,-36.281910,-201.204407,0.356497,0.453623,0.601460,-0.552623,
41,1907291185,-21.602133,-4.878804,-1.797119,-150.720261,-21.105188,-215.802399,0.350511,0.424831,0.626475,-0.551544,
42,1907307852,-17.747169,-9.172249,-3.736712,-27.706945,-11.471271,-177.716629,0.338718,0.406083,0.639078,-0.558530,
43,1907324519,-14.280261,-9.958736,-5.933177,18.852020,16.214716,-122.894913,0.325879,0.396761,0.645694,-0.565220,
44,1907341186,-11.377838,-5.618361,-4.582201,100.617203,24.006926,-75.819977,0.311347,0.396239,0.643019,-0.576711,
45,1907357853,-11.053702,-1.904842,-2.425762,80.410011,42.058510,-33.726826,0.299735,0.400144,0.640253,-0.583208,
46,1907374520,-10.505295,-0.910260,-1.513869,109.613678,50.478569,-0.663762,0.288368,0.409013,0.633291,-0.590343,
47,1907391187,-8.587193,1.910324,-0.894097,114.374054,43.018211,17.337952,0.278860,0.418973,0.624341,-0.597418,
48,1907407854,-5.609533,6.249694,-2.103552,40.998188,39.226608,21.425972,0.274467,0.425915,0.621238,-0.597778,
49,1907424521,-1.611385,12.749326,-3.601623,-26.220659,43.688423,34.273903,0.274931,0.431690,0.623312,-0.591228,
50,1907441188,0.386743,20.272131,0.403448,-226.505844,68.151108,73.529434,0.288935,0.434816,0.640685,-0.563014,
51,1907457855,-0.974614,-1.548756,4.426363,-206.132629,0.612198,124.098007,0.311719,0.437431,0.649546,-0.538132,
52,1907474522,3.697051,-17.609762,14.226527,-69.195473,-24.833124,96.594620,0.325807,0.441331,0.647790,-0.528636,
53,1907491189,6.810521,-21.549826,0.169447,-87.607269,-43.984821,31.575768,0.337796,0.436642,0.650543,-0.521576,
54,1907507856,2.900209,-9.642933,-19.143959,71.455215,15.962667,15.345413,0.332723,0.442706,0.645096,-0.526468,
55,1907524523,-11.431951,-1.945682,-6.042305,104.520035,91.585449,-17.526459,0.315820,0.452958,0.642721,-0.531043,
56,1907541190,-8.400741,-1.072181,-0.580217,96.050789,-40.132092,-6.913812,0.312506,0.453494,0.634045,-0.542846,
57,1907557857,-22.831232,8.834648,-0.578865,428.210724,129.837952,-13.640150,0.270409,0.480898,0.605918,-0.573141,
58,1907574524,-5.835365,34.383202,-0.232501,-238.945679,-47.723228,-35.479107,0.288024,0.464029,0.626251,-0.556363,
59,1907591191,-7.007331,-14.243405,-12.501479,-163.154922,44.878704,71.594841,0.300467,0.467112,0.636479,-0.535193,
60,1907607858,-23.856071,-0.101288,1.019401,46.057240,16.454632,56.296185,0.300013,0.475516,0.629955,-0.535766,
61,1907624525,-12.191636,-0.397987,-6.102297,-6.389094,-8.114964,109.999802,0.309567,0.484549,0.622617,-0.530791,
62,1907641192,-17.598801,2.499556,-5.319376,27.166052,-2.349223,133.579163,0.317956,0.497520,0.611088,-0.527218,
63,1907657859,-14.451597,0.392465,-8.586253,-16.526478,8.475603,167.988785,0.331027,0.512115,0.600622,-0.517130,
64,1907674526,-15.226452,-0.751463,-9.999751,-16.375252,22.904306,220.828491,0.346530,0.531998,0.586414,-0.503016,
65,1907691193,-18.923832,-4.161647,-7.567307,-58.103622,30.805233,232.768021,0.365067,0.550771,0.574070,-0.483562,
66,1907707860,-18.063419,-11.472223,-3.615468,-36.725815,-0.143634,212.625275,0.382658,0.566216,0.559561,-0.468907,
67,1907724527,-16.438105,-10.287014,-2.054036,20.695866,-3.946883,189.216385,0.393904,0.582204,0.542368,-0.460136,
68,1907741194,-13.614099,-7.216067,-0.922147,-25.379665,-39.602367,151.686478,0.409101,0.589835,0.529047,-0.452605,
69,1907757861,-7.860235,-6.484104,-0.729433,-47.689701,-45.946896,109.868965,0.423772,0.592248,0.520174,-0.446194,
70,1907774528,-5.078371,-6.495387,-0.287599,-87.172890,-58.776417,60.639233,0.439480,0.587496,0.517146,-0.440768,
71,1907791195,-2.160709,-7.245856,-1.793129,-93.352364,-69.941162,27.808977,0.454318,0.578970,0.516447,-0.437815,
72,1907807862,0.212890,-9.294398,-1.148101,-43.444016,-46.280159,4.479731,0.461604,0.573382,0.515998,-0.438077,
73,1907824529,0.153237,-15.418233,-2.600370,-24.666414,-15.381800,-25.043421,0.463091,0.568786,0.518863,-0.439114,
74,1907841196,2.737683,-14.535936,-1.847184,100.062531,-12.373235,-54.095299,0.452111,0.570491,0.516284,-0.451218,
75,1907857863,2.414752,-5.747164,-1.039558,159.368744,-5.231757,-68.410355,0.434530,0.575228,0.511234,-0.467918,
76,1907874530,-1.981889,-2.841031,1.198233,132.260590,3.667262,-74.586220,0.417890,0.578075,0.508821,-0.481984,
77,1907891197,-2.754238,-2.534191,1.774602,135.915497,-17.746433,-77.147697,0.402137,0.579162,0.504808,-0.498034,
78,1907907864,-2.090838,-0.705231,-0.971360,123.230026,-31.365862,-109.949303,0.385850,0.575787,0.503397,-0.515938,
79,1907924531,-9.756658,2.766914,-1.229708,113.714752,10.105992,-156.906921,0.363532,0.571148,0.508606,-0.531945,
80,1907941198,-43.919109,3.838093,-0.991491,10.287189,-90.699181,-201.589645,0.353451,0.549415,0.519745,-0.550538,
81,1907957865,-9.499413,-2.888031,-4.594499,-102.011002,1.238552,-194.275833,0.345629,0.529249,0.543460,-0.552357,
82,1907974532,-26.210993,-3.744521,-2.233026,-36.946350,-45.888802,-184.267883,0.337009,0.508873,0.558313,-0.561934,
83,1907991199,-26.925030,-1.455166,-4.242806,-55.245163,-43.557167,-220.131241,0.326298,0.484385,0.576884,-0.571066,
84,1908007866,-24.864286,-0.980941,-2.638942,-171.367020,-49.643318,-250.498856,0.321240,0.450573,0.606033,-0.571423,
85,1908024533,-17.400452,-4.631098,-0.623007,-92.199799,7.381777,-232.197479,0.306951,0.426050,0.629053,-0.573206,
86,1908041200,-14.369122,-10.831777,-1.332206,-42.831097,20.629786,-176.842545,0.292687,0.409458,0.644474,-0.575623,
87,1908057867,-12.068619,-8.999687,-1.438412,83.889114,14.364663,-117.614319,0.276250,0.403046,0.645116,-0.587432,
88,1908074534,-10.695281,-2.503492,-0.507907,147.354126,24.735743,-55.473061,0.260293,0.405701,0.636790,-0.601800,
89,1908091201,-8.757932,1.350289,0.182237,124.003792,26.845003,-14.861087,0.248957,0.411240,0.627913,-0.612077,
90,1908107868,-6.693742,4.570835,-1.427734,103.349510,21.267042,20.083330,0.242404,0.418607,0.618399,-0.619356,
91,1908124535,-2.526375,9.704811,-3.187180,62.613049,30.709303,71.756195,0.242083,0.429941,0.609601,-0.620438,
92,1908141202,0.313110,22.423189,-1.634932,-28.669706,16.095806,130.068649,0.253958,0.441792,0.604705,-0.612101,
93,1908157869,-0.799786,20.169407,-1.686254,-402.549103,-15.896118,118.137794,0.291063,0.435027,0.631417,-0.572151,
