sep=,
DeviceTag:,DOT_Shank_L
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:30:14_365 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2278529916,9.899608,-0.940862,-0.534865,-2.304349,1.568477,1.144689,0.689830,-0.051374,-0.721763,0.023454,
2,2278546583,9.893066,-0.970396,-0.498612,-2.277520,1.630703,1.271229,0.689805,-0.051390,-0.721787,0.023404,
3,2278563250,9.888271,-0.959615,-0.501352,-2.112074,1.599430,1.222513,0.689779,-0.051379,-0.721814,0.023374,
4,2278579917,9.895207,-0.959944,-0.491275,-2.042254,1.650425,1.269999,0.689758,-0.051376,-0.721835,0.023346,
5,2278596584,9.908261,-0.936388,-0.520865,-2.175824,1.638566,1.288248,0.689735,-0.051373,-0.721858,0.023320,
6,2278613251,9.909953,-0.954378,-0.499135,-2.260513,1.682850,1.371349,0.689716,-0.051402,-0.721875,0.023279,
7,2278629918,9.894367,-0.981240,-0.500766,-2.341910,1.719412,1.416837,0.689700,-0.051448,-0.721889,0.023230,
8,2278646585,9.898572,-0.972166,-0.533598,-1.756801,1.620714,1.323901,0.689678,-0.051415,-0.721911,0.023245,
9,2278663252,9.903972,-0.932556,-0.522622,-2.182049,1.577710,1.294216,0.689649,-0.051413,-0.721941,0.023219,
10,2278679919,9.914732,-0.965901,-0.496216,-2.519175,1.705338,1.403288,0.689630,-0.051473,-0.721956,0.023153,
11,2278696586,9.902707,-0.977056,-0.496058,-2.275944,1.586944,1.424777,0.689600,-0.051474,-0.721985,0.023150,
12,2278713253,9.882910,-0.968782,-0.507154,-2.068264,1.749879,1.480523,0.689589,-0.051498,-0.721994,0.023138,
13,2278729920,9.911350,-0.935654,-0.528288,-2.341257,1.697565,1.462069,0.689571,-0.051546,-0.722009,0.023096,
14,2278746587,9.916156,-0.956504,-0.517382,-2.748922,1.783803,1.530519,0.689558,-0.051638,-0.722017,0.023021,
15,2278763254,9.883799,-0.981860,-0.539067,-2.453914,1.659940,1.455499,0.689535,-0.051698,-0.722037,0.022967,
16,2278779921,9.888450,-0.968424,-0.556338,-2.292708,1.756986,1.538280,0.689523,-0.051747,-0.722046,0.022940,
17,2278796588,9.912135,-0.941281,-0.517273,-2.177873,1.876674,1.540892,0.689524,-0.051766,-0.722043,0.022942,
18,2278813255,9.917275,-0.949221,-0.509431,-2.396772,1.978459,1.538510,0.689534,-0.051821,-0.722030,0.022908,
19,2278829922,9.891534,-0.965765,-0.515718,-2.210133,1.771650,1.608727,0.689524,-0.051874,-0.722037,0.022893,
20,2278846589,9.908508,-0.948163,-0.511933,-1.956273,1.763146,1.566172,0.689515,-0.051855,-0.722046,0.022939,
21,2278863256,9.909593,-0.939808,-0.523087,-2.280516,1.792178,1.627514,0.689506,-0.051916,-0.722050,0.022918,
22,2278879923,9.909489,-0.967762,-0.532476,-2.501080,1.877763,1.637708,0.689505,-0.051996,-0.722047,0.022880,
23,2278896590,9.904144,-0.973866,-0.539739,-2.161007,1.800771,1.618665,0.689498,-0.052023,-0.722051,0.022890,
24,2278913257,9.908056,-0.965646,-0.490553,-1.947346,1.833504,1.612902,0.689496,-0.052035,-0.722051,0.022917,
25,2278929924,9.903783,-0.954793,-0.493790,-2.196122,1.798838,1.573062,0.689489,-0.052080,-0.722055,0.022901,
26,2278946591,9.908628,-0.957635,-0.506184,-2.560284,1.674334,1.531505,0.689466,-0.052166,-0.722073,0.022836,
27,2278963258,9.880405,-0.979505,-0.524031,-2.449727,1.791678,1.572626,0.689456,-0.052239,-0.722078,0.022791,
28,2278979925,9.900799,-0.969599,-0.535026,-1.939163,1.738251,1.467614,0.689445,-0.052242,-0.722089,0.022797,
29,2278996592,9.912575,-0.960853,-0.530425,-1.797051,1.806227,1.595614,0.689442,-0.052251,-0.722090,0.022824,
30,2279013259,9.896873,-0.962877,-0.496267,-1.689554,1.741888,1.630946,0.689432,-0.052256,-0.722098,0.022864,
31,2279029926,9.910444,-0.959165,-0.499228,-1.549274,1.655355,1.666113,0.689414,-0.052249,-0.722113,0.022923,
32,2279046593,9.913678,-0.957469,-0.504902,-1.642005,1.541251,1.629832,0.689384,-0.052248,-0.722140,0.022969,
33,2279063260,9.907312,-0.961106,-0.481911,-1.793094,1.453476,1.678432,0.689344,-0.052261,-0.722177,0.023011,
34,2279079927,9.886847,-0.957703,-0.480142,-1.919556,1.333480,1.690688,0.689289,-0.052291,-0.722226,0.023039,
35,2279096594,9.885671,-0.936056,-0.501260,-2.091418,1.403134,1.811324,0.689240,-0.052353,-0.722267,0.023058,
36,2279113261,9.934753,-0.944364,-0.523639,-2.471216,1.552098,1.868658,0.689204,-0.052465,-0.722295,0.023036,
37,2279129928,9.867262,-0.957170,-0.501378,-2.663900,1.438979,2.067592,0.689154,-0.052588,-0.722333,0.023043,
38,2279146595,9.898993,-0.977068,-0.507483,-2.411525,1.350218,1.986566,0.689097,-0.052694,-0.722380,0.023050,
39,2279163262,9.921665,-0.996830,-0.515555,-2.454606,1.270781,1.918961,0.689031,-0.052810,-0.722435,0.023037,
40,2279179929,9.885706,-0.992325,-0.570473,-2.390023,1.277504,1.829406,0.688967,-0.052890,-0.722490,0.023040,
41,2279196596,9.899172,-0.985946,-0.570815,-2.159932,1.458573,1.838499,0.688923,-0.052955,-0.722526,0.023060,
42,2279213263,9.876239,-0.995148,-0.588209,-1.543972,1.556260,1.969892,0.688894,-0.052961,-0.722550,0.023169,
43,2279229930,9.896440,-0.963151,-0.507214,-1.442341,1.632598,1.940002,0.688874,-0.052994,-0.722564,0.023246,
44,2279246597,9.912354,-0.973143,-0.501648,-1.973177,1.631868,2.038009,0.688849,-0.053067,-0.722580,0.023299,
45,2279263264,9.913975,-1.033891,-0.512270,-1.850607,1.345160,1.942051,0.688796,-0.053109,-0.722626,0.023366,
46,2279279931,9.878991,-1.007275,-0.505022,-1.078308,1.245885,1.763146,0.688739,-0.053076,-0.722679,0.023477,
47,2279296598,9.912824,-0.975602,-0.558297,-1.404267,1.336977,1.596267,0.688689,-0.053024,-0.722728,0.023567,
