sep=,
DeviceTag:,DOT_Shank_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:38:21_420 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2765606324,-11.094836,-62.059307,2.166450,-25.821499,68.669571,-139.367767,-0.254118,-0.654416,-0.353284,0.618354,
2,2765622991,-42.211220,-20.802887,28.126329,-52.959217,-206.562805,-287.208740,-0.243579,-0.618063,-0.377534,0.645092,
3,2765639658,-16.238644,15.704725,7.968554,29.764725,-79.683571,-139.824188,-0.232057,-0.603599,-0.384652,0.658686,
4,2765656325,0.214950,-6.750216,1.084197,-170.098785,-65.091667,-175.582077,-0.233611,-0.581200,-0.414168,0.660382,
5,2765672992,-8.382072,-18.430666,1.164069,-39.600639,-36.024693,-102.381638,-0.229218,-0.569945,-0.425611,0.664443,
6,2765689659,-12.925421,-9.325255,1.080521,56.956867,-22.882256,-44.165092,-0.221586,-0.566665,-0.423245,0.671313,
7,2765706326,-16.444027,-5.045253,-0.826050,61.150848,-6.001520,-7.819163,-0.216096,-0.567350,-0.417975,0.675811,
8,2765722993,-24.145611,-5.498728,-5.243859,55.990833,14.143227,-2.597389,-0.210304,-0.570128,-0.413385,0.678120,
9,2765739660,-29.216684,-0.824238,-4.787475,114.611366,33.876293,-21.651119,-0.196547,-0.575393,-0.405119,0.682772,
10,2765756327,-20.955832,6.238791,-0.021488,160.975723,27.751690,-29.097723,-0.178446,-0.580682,-0.392519,0.690581,
11,2765772994,-16.512379,7.890621,0.294076,156.992401,11.227262,-36.105404,-0.160821,-0.583483,-0.380262,0.699352,
12,2765789661,-12.914821,10.714815,-0.884883,135.090439,1.705211,-33.526966,-0.145765,-0.584669,-0.369610,0.707327,
13,2765806328,-10.079731,9.027381,-0.882042,108.219742,-15.823086,-29.234299,-0.134330,-0.583515,-0.360861,0.715019,
14,2765822995,-9.996713,2.743468,-4.119999,89.948677,-33.484013,-44.447269,-0.123756,-0.579222,-0.354868,0.723369,
15,2765839662,-11.366601,2.097142,-7.256268,84.644409,-56.688137,-82.134308,-0.110822,-0.570270,-0.352086,0.733862,
16,2765856329,-10.102956,3.419867,-7.014213,74.259026,-75.543610,-119.874657,-0.095639,-0.556949,-0.353075,0.745658,
17,2765872996,-8.286171,6.232904,-6.403912,56.699821,-82.926186,-152.417130,-0.078668,-0.540561,-0.358279,0.757132,
18,2765889663,-9.293538,10.496628,-2.929511,24.206871,-93.856659,-164.260391,-0.063459,-0.521575,-0.367598,0.767341,
19,2765906330,-12.779809,-4.691853,-0.672857,-2.718626,-125.023155,-196.558945,-0.048294,-0.496631,-0.381724,0.778023,
20,2765922997,-19.989508,-9.728232,0.312335,110.754616,-143.178452,-247.580948,-0.020096,-0.466814,-0.385964,0.795437,
21,2765939664,-18.982731,2.925845,-2.621340,132.299377,-131.702881,-252.952347,0.010871,-0.437126,-0.387316,0.811663,
22,2765956331,-14.005658,4.523845,-2.883005,146.195847,-138.371918,-246.834732,0.041600,-0.406042,-0.385824,0.827373,
23,2765972998,-15.438020,1.724543,-1.313274,203.351578,-152.652466,-224.175323,0.072079,-0.373234,-0.375318,0.845367,
24,2765989665,-17.016155,2.520441,0.985251,204.574020,-140.080276,-192.059647,0.099201,-0.342864,-0.361938,0.861169,
25,2766006332,-12.378650,5.049646,1.109778,126.599937,-101.297470,-167.844437,0.121288,-0.319188,-0.355966,0.869887,
26,2766022999,-2.648184,3.720663,0.285461,6.592538,-55.738541,-95.297005,0.130901,-0.306919,-0.360750,0.870938,
27,2766039666,0.933426,0.273485,-1.024679,-26.048292,-2.126456,-31.468369,0.133764,-0.305364,-0.365744,0.868964,
28,2766056333,2.367581,-1.042998,-0.444273,-11.084738,38.582458,30.570019,0.131611,-0.311948,-0.365283,0.867146,
29,2766073000,4.148637,-0.877100,-0.637330,20.705616,76.650696,93.741714,0.124931,-0.326025,-0.357152,0.866343,
30,2766089667,5.075256,1.329998,-0.230036,25.574903,112.940781,154.023560,0.112705,-0.347540,-0.344698,0.864699,
31,2766106334,4.088126,2.535582,-0.061691,-12.642262,148.650879,196.759003,0.094851,-0.375956,-0.333953,0.859152,
32,2766123001,2.082897,3.335009,-0.483530,-53.689594,184.766342,233.504578,0.071766,-0.410632,-0.325297,0.848776,
33,2766139668,0.340706,2.560378,-0.206186,-83.670883,214.580292,268.757782,0.043792,-0.450029,-0.317187,0.833640,
34,2766156335,-1.848539,0.242748,-0.083108,-102.221436,231.628113,296.709412,0.011877,-0.491585,-0.308465,0.814285,
35,2766173002,-4.029259,-0.647476,1.526849,-110.519524,228.335205,310.641876,-0.022466,-0.531772,-0.298721,0.792141,
36,2766189669,-4.771045,-1.765737,2.341967,-152.756577,225.205612,310.750702,-0.060142,-0.569611,-0.292781,0.765645,
37,2766206336,-6.775534,-6.246479,3.090413,-191.853958,223.532745,311.419525,-0.100976,-0.604825,-0.290032,0.734765,
38,2766223003,-12.874644,-14.178314,2.371035,-210.031540,212.931458,312.510651,-0.143600,-0.636348,-0.287819,0.701147,
39,2766239670,-19.487894,-19.627901,2.987230,-196.489868,169.306381,286.761139,-0.183643,-0.660351,-0.284697,0.670199,
40,2766256337,-22.225122,-24.783318,4.741819,-149.466141,112.283409,211.608536,-0.213777,-0.675357,-0.281998,0.647053,
41,2766273004,-15.702240,-31.217846,3.198956,-77.655739,57.796810,110.357338,-0.229343,-0.682599,-0.280492,0.634659,
42,2766289671,-7.357186,-28.739466,3.424670,5.173027,30.372913,18.696554,-0.229289,-0.686172,-0.279459,0.631272,
43,2766306338,-4.761677,-31.569689,6.456378,-17.986057,21.291061,-75.565651,-0.223242,-0.684249,-0.289632,0.630941,
44,2766323005,-21.577475,-43.655018,13.168866,-70.407227,-61.634235,-273.256592,-0.207551,-0.664030,-0.321308,0.642460,
45,2766339672,-17.954306,15.620953,11.298561,-103.206650,-129.998093,-198.876297,-0.204835,-0.638835,-0.346286,0.655763,
46,2766356339,-34.084995,3.640330,-3.014806,-93.984261,-131.948868,-217.714493,-0.199252,-0.611814,-0.371552,0.669282,
47,2766373006,-4.316737,-9.823652,4.926569,-132.569641,-72.162636,-204.590088,-0.194854,-0.589292,-0.400586,0.674021,
48,2766389673,-2.496662,-16.312746,5.714736,8.848433,-49.086411,-128.982269,-0.184224,-0.576907,-0.409576,0.682272,
49,2766406340,-7.993049,-10.786361,-0.969223,60.561546,-35.620266,-77.889397,-0.173464,-0.570100,-0.409373,0.690882,
50,2766423007,-15.134980,-5.114035,3.259322,32.303482,-23.821039,-40.170876,-0.168108,-0.565924,-0.409117,0.695773,
51,2766439674,-20.044580,-12.235514,5.215208,-1.953153,-18.043221,-21.110554,-0.167149,-0.562604,-0.410883,0.697654,
52,2766456341,-19.597111,-2.650446,-7.408030,55.669136,-6.308657,-3.414800,-0.162563,-0.562911,-0.405621,0.701559,
53,2766473008,-25.587152,1.119461,-3.855721,72.959206,21.109783,-5.984580,-0.154666,-0.566220,-0.399416,0.704235,
54,2766489675,-21.978907,-1.114222,-2.084920,117.140709,28.309200,-16.191719,-0.141635,-0.570548,-0.389604,0.708965,
55,2766506342,-15.313970,4.959749,1.192778,179.193375,24.138937,-2.906096,-0.124993,-0.576193,-0.372014,0.716931,
56,2766523009,-13.881370,9.627676,-0.502931,151.707153,19.305817,5.777632,-0.111746,-0.580969,-0.356257,0.723240,
57,2766539676,-12.869197,8.402795,-2.058020,131.212769,10.427757,12.520686,-0.101353,-0.584581,-0.341789,0.728821,
58,2766556343,-11.056610,1.659652,-6.084509,135.123184,-14.791802,-8.416784,-0.089625,-0.584318,-0.328189,0.736776,
59,2766573010,-10.231035,1.825969,-9.494323,132.321762,-50.897831,-58.001961,-0.074504,-0.577525,-0.318487,0.747989,
60,2766589677,-9.599217,4.240785,-7.634683,126.115425,-78.299171,-100.419502,-0.056517,-0.565380,-0.312539,0.761234,
61,2766606344,-8.798976,6.340320,-7.236275,86.074028,-88.725090,-149.619705,-0.036807,-0.549096,-0.314751,0.773355,
62,2766623011,-10.309170,10.026756,-3.637402,2.739168,-102.416557,-178.457672,-0.021105,-0.529035,-0.328295,0.782245,
63,2766639678,-14.912144,-1.278253,-0.534326,-30.798714,-129.614929,-211.676041,-0.005479,-0.503596,-0.347754,0.790845,
64,2766656345,-19.182634,-5.410424,-0.228184,44.134800,-140.949036,-245.763489,0.018986,-0.474411,-0.360543,0.802864,
65,2766673012,-18.656017,3.058330,-2.265074,88.637581,-137.987137,-249.967850,0.047133,-0.444359,-0.367757,0.815528,
66,2766689679,-14.508122,5.119068,-3.095406,105.697800,-145.806702,-236.043442,0.074223,-0.413166,-0.371405,0.828161,
67,2766706346,-14.512944,1.730336,-2.186420,158.783752,-152.659515,-219.318359,0.101972,-0.380667,-0.367000,0.842623,
