sep=,
DeviceTag:,DOT_Shank_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:30:14_368 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2278529916,-9.488028,0.316895,-0.717950,0.896886,0.234055,1.848897,0.680948,-0.015665,0.731393,0.033586,
2,2278546583,-9.510679,0.261601,-0.700347,1.002366,0.302127,1.789751,0.680961,-0.015711,0.731378,0.033622,
3,2278563250,-9.478370,0.299621,-0.693158,1.370555,0.353487,2.028110,0.680969,-0.015697,0.731371,0.033642,
4,2278579917,-9.482381,0.318720,-0.663952,1.115837,0.459729,2.012332,0.680965,-0.015708,0.731373,0.033687,
5,2278596584,-9.503466,0.293104,-0.701175,0.915949,0.464960,1.991913,0.680960,-0.015741,0.731374,0.033750,
6,2278613251,-9.507065,0.325663,-0.712623,1.057875,0.377717,1.929014,0.680966,-0.015742,0.731367,0.033771,
7,2278629918,-9.499204,0.295081,-0.740114,1.114479,0.378204,1.880248,0.680972,-0.015744,0.731360,0.033784,
8,2278646585,-9.497323,0.302392,-0.687479,1.289375,0.219161,1.816370,0.680995,-0.015758,0.731338,0.033791,
9,2278663252,-9.490226,0.330944,-0.727485,1.189729,0.176209,1.785634,0.681022,-0.015789,0.731312,0.033809,
10,2278679919,-9.500932,0.299318,-0.693990,1.517290,0.081109,1.764542,0.681060,-0.015786,0.731278,0.033787,
11,2278696586,-9.492856,0.305936,-0.690067,1.087009,0.212886,1.683888,0.681084,-0.015832,0.731254,0.033802,
12,2278713253,-9.495731,0.324075,-0.677171,1.067563,0.203954,1.615726,0.681108,-0.015892,0.731229,0.033815,
13,2278729920,-9.487534,0.305831,-0.676507,1.281026,0.003516,1.575435,0.681155,-0.015930,0.731185,0.033799,
14,2278746587,-9.507413,0.316578,-0.703397,1.096627,0.078330,1.507659,0.681194,-0.015996,0.731148,0.033797,
15,2278763254,-9.489278,0.317832,-0.675462,1.004690,0.104404,1.417938,0.681230,-0.016080,0.731113,0.033795,
16,2278779921,-9.486201,0.311303,-0.693553,0.932398,-0.211996,1.288210,0.681300,-0.016177,0.731045,0.033784,
17,2278796588,-9.552208,0.339233,-0.691969,0.960726,-0.521756,1.126440,0.681404,-0.016294,0.730947,0.033760,
18,2278813255,-9.483533,0.276535,-0.704684,0.980460,-0.444099,0.914918,0.681501,-0.016434,0.730856,0.033716,
19,2278829922,-9.487876,0.309280,-0.685070,1.265389,-0.736007,0.746770,0.681630,-0.016562,0.730737,0.033623,
