sep=,
DeviceTag:,DOT_Thigh_L
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:37:05_224 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2689404800,-9.615277,0.441097,-0.130500,1.650425,-2.617298,3.314098,-0.506787,-0.486589,-0.528272,0.476787,
2,2689421467,-9.651954,0.380481,-0.081003,-0.784735,-2.191103,3.288754,-0.507106,-0.486539,-0.528180,0.476601,
3,2689438134,-9.684708,0.271723,-0.097544,-3.871846,-2.895273,2.853133,-0.507667,-0.486180,-0.528280,0.476259,
4,2689454801,-9.588933,0.193827,-0.164760,-5.171102,-2.418684,2.115884,-0.508232,-0.485700,-0.528558,0.475838,
5,2689471468,-9.734326,0.162687,-0.130933,-6.428610,-1.847239,1.665140,-0.508810,-0.485133,-0.528995,0.475313,
6,2689488135,-9.689068,0.069586,-0.232438,-8.302794,-2.358161,1.406310,-0.509541,-0.484370,-0.529542,0.474698,
7,2689504802,-9.544210,0.012560,-0.313854,-7.180368,-1.702156,1.827319,-0.510171,-0.483767,-0.530030,0.474091,
8,2689521469,-9.524918,-0.116600,-0.238297,-4.814112,-1.081663,2.695449,-0.510647,-0.483450,-0.530338,0.473558,
9,2689538136,-9.512289,-0.194264,-0.264572,-2.511594,-1.097171,3.524929,-0.511019,-0.483367,-0.530428,0.473141,
10,2689554803,-9.618719,-0.250038,-0.252662,-0.217849,-0.794596,3.652761,-0.511215,-0.483484,-0.530373,0.472870,
11,2689571470,-9.654463,-0.249692,-0.246360,1.197195,-0.922634,3.541718,-0.511313,-0.483689,-0.530219,0.472726,
12,2689588137,-9.615142,-0.223117,-0.230773,1.390814,-0.632877,2.873098,-0.511329,-0.483877,-0.530121,0.472627,
13,2689604804,-9.549620,-0.178084,-0.235327,0.971739,-0.825664,2.575542,-0.511369,-0.483997,-0.530059,0.472531,
14,2689621471,-9.612675,-0.152426,-0.241441,1.566697,-1.741881,2.637666,-0.511443,-0.484104,-0.529882,0.472540,
15,2689638138,-9.644095,-0.171326,-0.190686,1.361706,-2.206470,1.492548,-0.511487,-0.484075,-0.529766,0.472652,
16,2689654805,-9.647499,-0.354846,-0.345538,1.313003,-0.397868,0.440763,-0.511323,-0.484085,-0.529862,0.472711,
17,2689671472,-10.912550,-3.245800,-3.437302,-13.452841,50.395069,-33.503498,-0.505929,-0.483853,-0.537117,0.470560,
18,2689688139,-8.767506,0.879034,1.648415,46.843979,-2.662295,5.954212,-0.503106,-0.487478,-0.533527,0.473917,
19,2689704806,-9.814217,0.970144,1.420885,20.298950,-1.973142,9.077880,-0.502312,-0.489438,-0.531582,0.474925,
20,2689721473,-9.699079,1.213362,1.106002,-2.647641,-54.363865,16.886471,-0.507722,-0.486685,-0.526820,0.477301,
21,2689738140,-9.414072,-1.544182,-1.236742,-9.114731,-1.097338,2.904462,-0.508519,-0.486065,-0.527413,0.476428,
22,2689754807,-10.567378,-1.368648,-0.724836,9.304770,-0.858909,0.921347,-0.507859,-0.486672,-0.526887,0.477096,
23,2689771474,-9.824244,-0.770277,-0.119754,13.034419,-3.876202,-2.171856,-0.506951,-0.487107,-0.526094,0.478489,
24,2689788141,-9.685372,-0.161521,-0.154491,3.425564,-0.857616,-4.247495,-0.506345,-0.486882,-0.526341,0.479088,
25,2689804808,-9.802816,0.010985,-0.302506,-4.015636,2.994170,-5.099220,-0.505911,-0.486311,-0.527450,0.478906,
26,2689821475,-9.722402,0.158599,-0.333627,-4.971874,1.131653,-4.711880,-0.505713,-0.485569,-0.528461,0.478753,
27,2689838142,-9.402200,0.196622,-0.318036,-9.626369,-1.033498,-3.059220,-0.506125,-0.484461,-0.529518,0.478273,
28,2689854809,-9.326735,-0.038106,-0.207425,-9.694026,-2.011545,-0.734829,-0.506779,-0.483458,-0.530341,0.477683,
29,2689871476,-9.105318,-0.249804,-0.506241,-8.684628,-0.882857,1.429823,-0.507425,-0.482775,-0.531023,0.476930,
30,2689888143,-8.829959,-0.323401,-0.658961,-2.212579,0.774701,2.665571,-0.507573,-0.482779,-0.531291,0.476469,
31,2689904810,-8.721155,-0.183744,-0.600953,4.533045,2.015547,2.676291,-0.507154,-0.483368,-0.531182,0.476441,
32,2689921477,-8.732843,-0.132337,-0.620137,8.181167,1.600980,3.300012,-0.506552,-0.484245,-0.530745,0.476677,
33,2689938144,-9.026860,0.029743,-0.596735,10.873219,1.260997,2.969519,-0.505763,-0.485271,-0.530118,0.477169,
34,2689954811,-9.601729,0.466782,-0.668739,12.224159,0.606861,2.797299,-0.504916,-0.486336,-0.529361,0.477822,
35,2689971478,-9.692847,0.990020,-0.745951,10.455450,0.479438,4.931107,-0.504348,-0.487424,-0.528567,0.478191,
36,2689988145,-9.485351,1.222042,-0.766170,3.256098,1.617654,8.825761,-0.504473,-0.488361,-0.528081,0.477640,
