sep=,
DeviceTag:,DOT_Thigh_L
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:30:14_358 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2278513249,-9.513366,-0.297636,-1.363369,0.108822,-0.929626,0.927762,0.637539,0.109266,0.755123,-0.106746,
2,2278529916,-9.514077,-0.330514,-1.349287,1.101205,-0.832349,1.087259,0.637495,0.109286,0.755146,-0.106824,
3,2278546583,-9.483397,-0.308972,-1.376170,1.652045,-0.880891,1.198470,0.637454,0.109339,0.755158,-0.106927,
4,2278563250,-9.508410,-0.280246,-1.376441,1.724650,-0.807889,1.104029,0.637403,0.109383,0.755179,-0.107040,
5,2278579917,-9.506259,-0.218967,-1.374126,1.957150,-0.791279,1.016600,0.637344,0.109454,0.755196,-0.107199,
6,2278596584,-9.522311,-0.201398,-1.338703,1.874280,-0.919317,0.990129,0.637300,0.109505,0.755205,-0.107348,
7,2278613251,-9.509621,-0.205003,-1.333847,1.243413,-1.050479,0.896553,0.637279,0.109487,0.755212,-0.107439,
8,2278629918,-9.514575,-0.190772,-1.367941,0.404277,-0.877927,0.830652,0.637253,0.109378,0.755250,-0.107434,
9,2278646585,-9.485796,-0.189739,-1.351879,-0.269715,-0.930010,0.830524,0.637242,0.109218,0.755293,-0.107365,
10,2278663252,-9.507174,-0.227115,-1.369613,0.045943,-1.091421,0.987811,0.637246,0.109095,0.755315,-0.107314,
11,2278679919,-9.519009,-0.272310,-1.408638,0.663785,-1.133810,1.099432,0.637247,0.109040,0.755320,-0.107320,
12,2278696586,-9.500937,-0.309941,-1.373689,1.085537,-1.077065,0.962404,0.637234,0.109012,0.755326,-0.107387,
13,2278713253,-9.480253,-0.317301,-1.385804,1.783739,-0.982170,0.836697,0.637196,0.109036,0.755333,-0.107540,
14,2278729920,-9.515324,-0.279653,-1.374594,2.335372,-0.804059,0.821841,0.637130,0.109110,0.755348,-0.107750,
15,2278746587,-9.519277,-0.257375,-1.379347,2.367888,-0.894216,0.988605,0.637076,0.109207,0.755351,-0.107952,
16,2278763254,-9.487901,-0.242586,-1.407008,1.924084,-1.024393,0.998569,0.637045,0.109255,0.755349,-0.108101,
17,2278779921,-9.470220,-0.221697,-1.404869,1.905668,-0.822539,0.873297,0.636988,0.109295,0.755368,-0.108260,
