sep=,
DeviceTag:, DOT_Thigh_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:37:05_232 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2689404800,9.900181,1.707787,0.302470,-7.969662,0.057404,-2.231571,0.618491,0.458300,-0.523069,0.365833,
2,2689421467,9.904366,1.734525,0.152898,-7.417745,1.559090,-2.441557,0.619272,0.457883,-0.522886,0.365295,
3,2689438134,9.884196,1.772291,0.215391,-4.548474,1.768375,-2.108206,0.619860,0.457687,-0.522554,0.365019,
4,2689454801,9.836598,1.824123,0.262392,-3.947865,1.727289,-1.554371,0.620375,0.457506,-0.522230,0.364835,
5,2689471468,9.778009,1.908133,0.210600,-2.186300,1.850562,-1.051657,0.620755,0.457438,-0.521835,0.364840,
6,2689488135,9.834944,2.141107,0.185257,-1.511469,0.774586,-0.443663,0.620975,0.457441,-0.521542,0.364879,
7,2689504802,9.842913,2.184189,0.304357,-2.031151,-0.571970,0.120008,0.621099,0.457427,-0.521435,0.364838,
8,2689521469,9.725193,1.978212,0.308557,-0.168429,-1.352837,-0.277398,0.621061,0.457654,-0.521272,0.364851,
9,2689538136,9.787971,1.789251,0.344001,1.163860,-1.329478,-0.720741,0.620958,0.458031,-0.521010,0.364928,
10,2689554803,9.877000,1.525818,0.306877,3.818271,-1.060366,-0.406525,0.620682,0.458610,-0.520602,0.365252,
11,2689571470,9.961246,1.604221,0.195964,7.952942,-0.825331,0.518612,0.620099,0.459480,-0.520014,0.365987,
12,2689588137,9.935633,1.731538,0.314256,12.024316,0.609960,0.742698,0.619339,0.460623,-0.519092,0.367144,
13,2689604804,9.843088,1.738738,0.330842,10.585279,0.518715,0.346969,0.618687,0.461669,-0.518227,0.368150,
14,2689621471,9.832557,1.865019,0.380683,11.549573,-0.642290,0.197377,0.617888,0.462873,-0.517403,0.369136,
15,2689638138,9.881777,1.916030,0.261141,9.428146,-0.513509,0.400090,0.617229,0.463863,-0.516694,0.369989,
16,2689654805,9.826070,1.939167,0.261785,10.731219,1.566096,0.697978,0.616621,0.464835,-0.515746,0.371104,
17,2689671472,9.774263,1.821707,0.274831,11.198023,0.037042,0.540857,0.615872,0.465941,-0.514898,0.372137,
18,2689688139,9.801237,1.689211,0.210828,9.494163,-1.257545,-0.336090,0.615187,0.467028,-0.514199,0.372875,
19,2689704806,9.915171,1.627652,0.226273,8.347839,-1.136615,0.261576,0.614554,0.467960,-0.513589,0.373588,
20,2689721473,9.887972,1.427524,0.144065,9.979089,0.428891,0.154874,0.613933,0.468960,-0.512741,0.374518,
21,2689738140,9.741395,1.402204,-0.001025,15.734529,-5.168749,0.040846,0.612505,0.470785,-0.512071,0.375484,
22,2689754807,10.342220,1.514716,0.115026,19.584459,-0.173027,0.100652,0.611175,0.472670,-0.510746,0.377083,
23,2689771474,9.660581,1.627549,0.322271,24.076317,5.495082,1.393916,0.609883,0.474546,-0.508749,0.379511,
24,2689788141,9.656323,1.759573,-0.019895,27.587725,6.973621,-0.207668,0.608532,0.476758,-0.506312,0.382157,
25,2689804808,9.813403,1.883784,0.181605,24.350792,2.039557,0.576789,0.606988,0.478891,-0.504539,0.384285,
26,2689821475,9.793192,1.826732,0.196067,23.774630,1.877844,0.119592,0.605490,0.481011,-0.502770,0.386312,
27,2689838142,9.894308,1.862606,0.294509,27.678459,3.120820,-0.486745,0.603834,0.483441,-0.500623,0.388653,
28,2689854809,9.803505,1.749202,0.531274,27.331966,3.643423,-0.335847,0.602222,0.485792,-0.498449,0.391009,
29,2689871476,9.848488,1.791472,0.616132,27.984446,4.242755,-0.818411,0.600622,0.488191,-0.496143,0.393407,
30,2689888143,10.078638,1.725019,0.625751,23.100668,3.011348,-1.518682,0.599311,0.490277,-0.494166,0.395297,
31,2689904810,10.049619,1.659378,0.593538,22.065847,3.361897,-1.506542,0.598093,0.492247,-0.492209,0.397131,
32,2689921477,9.917766,1.761786,0.691295,24.455912,4.994519,-1.193938,0.596794,0.494301,-0.489989,0.399275,
33,2689938144,10.012843,2.030004,0.777448,22.911585,5.348640,-0.792164,0.595598,0.496163,-0.487850,0.401365,
34,2689954811,9.975931,2.130983,0.448839,13.824934,6.096411,0.573501,0.595026,0.497094,-0.486269,0.402976,
35,2689971478,9.772552,2.432969,0.602451,13.680874,4.886488,1.084296,0.594345,0.498044,-0.484835,0.404533,
36,2689988145,9.714726,2.582022,0.529505,6.634861,3.000047,-0.754358,0.594147,0.498622,-0.483845,0.405296,
37,2690004812,9.646468,2.559338,0.392552,-0.586492,1.338808,-2.313211,0.594446,0.498784,-0.483310,0.405295,
38,2690021479,9.763019,2.500565,0.308057,-6.380393,-0.188932,-2.151057,0.595049,0.498522,-0.483262,0.404792,
39,2690038146,9.786267,2.496580,0.303752,-9.865684,-1.390309,-1.313766,0.595770,0.497971,-0.483582,0.404027,
40,2690054813,9.804120,2.550719,0.354666,-13.459611,-2.704677,-1.433441,0.596665,0.497193,-0.484217,0.402902,
41,2690071480,9.662443,2.564507,0.538527,-16.237867,-3.741981,-1.786910,0.597706,0.496258,-0.485076,0.401474,
42,2690088147,9.600680,2.479964,0.334638,-19.309978,-4.061284,-1.444929,0.598923,0.495047,-0.486166,0.399835,
43,2690104814,9.710147,2.189577,0.196763,-21.376726,-4.190923,-0.863674,0.600240,0.493617,-0.487427,0.398089,
44,2690121481,9.850643,2.024609,0.208652,-17.936234,-5.253439,-0.407742,0.601204,0.492514,-0.488610,0.396547,
45,2690138148,9.868213,1.873214,0.313842,-18.528877,-4.220197,-0.520809,0.602288,0.491306,-0.489724,0.395023,
46,2690154815,9.801705,1.724169,0.163535,-14.465907,-3.874105,-0.261803,0.603088,0.490412,-0.490592,0.393835,
47,2690171482,9.864203,1.690240,0.278732,-8.030670,-2.891674,0.306206,0.603464,0.489985,-0.491044,0.393226,
48,2690188149,9.885387,1.607644,0.251220,-7.770024,-2.485137,1.234910,0.603798,0.489490,-0.491512,0.392744,
