sep=,
DeviceTag:, DOT_Thigh_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:30:14_367 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2278513249,9.829819,1.985441,-0.035841,-3.082489,-1.860584,1.870105,0.695967,0.033761,-0.709680,-0.104141,
2,2278529916,9.836997,1.971760,-0.049594,-3.757089,-1.974496,1.747356,0.695932,0.033462,-0.709709,-0.104276,
3,2278546583,9.845011,1.936436,-0.054279,-3.734793,-2.002299,1.832557,0.695898,0.033176,-0.709741,-0.104381,
4,2278563250,9.838061,1.895326,-0.037078,-3.461031,-1.819629,1.796661,0.695877,0.032904,-0.709758,-0.104481,
5,2278579917,9.833983,1.917670,-0.051604,-2.673589,-2.038804,1.673743,0.695830,0.032728,-0.709810,-0.104506,
6,2278596584,9.844410,1.894198,-0.017278,-2.418800,-1.691220,1.687947,0.695815,0.032573,-0.709830,-0.104510,
7,2278613251,9.854881,1.889280,-0.052291,-2.431900,-1.699236,1.717658,0.695803,0.032426,-0.709851,-0.104499,
8,2278629918,9.865685,1.895057,-0.025386,-3.220221,-1.989787,1.713419,0.695765,0.032203,-0.709888,-0.104565,
9,2278646585,9.850426,1.892093,-0.039360,-3.245948,-2.010046,1.807187,0.695724,0.031953,-0.709929,-0.104638,
10,2278663252,9.830059,1.910484,-0.064777,-3.034349,-2.061861,1.873140,0.695679,0.031725,-0.709978,-0.104675,
11,2278679919,9.848808,1.878247,-0.037277,-3.067890,-1.859931,1.907551,0.695655,0.031484,-0.710006,-0.104720,
12,2278696586,9.874158,1.863925,-0.023355,-3.064956,-1.785384,2.127384,0.695640,0.031215,-0.710028,-0.104747,
13,2278713253,9.838388,1.854230,-0.051314,-2.965618,-1.781171,2.159938,0.695630,0.030982,-0.710050,-0.104733,
14,2278729920,9.840253,1.890134,-0.030623,-2.826003,-1.889808,2.085534,0.695606,0.030760,-0.710085,-0.104722,
15,2278746587,9.844530,1.937325,0.011225,-3.694773,-2.107541,2.110916,0.695565,0.030455,-0.710129,-0.104787,
16,2278763254,9.845414,1.983400,0.021060,-5.383512,-2.561206,2.354826,0.695486,0.029931,-0.710194,-0.105021,
17,2278779921,9.844419,2.059036,0.172381,-10.044651,-3.814398,2.316407,0.695295,0.028914,-0.710314,-0.105751,
18,2278796588,9.928745,1.967631,0.122339,-10.657832,-5.179594,2.410150,0.694969,0.027822,-0.710562,-0.106524,
19,2278813255,9.863400,1.877986,-0.122699,-6.143771,-5.588833,2.842274,0.694583,0.027110,-0.710922,-0.106813,
20,2278829922,9.792902,1.721351,-0.443457,1.852343,-6.402125,3.831321,0.694099,0.027092,-0.711492,-0.106176,
21,2278846589,9.912015,1.772028,-0.091687,4.604633,-6.998416,4.848723,0.693561,0.027266,-0.712166,-0.105127,
22,2278863256,9.919423,1.791981,-0.120014,-1.205129,-6.601021,4.627095,0.693082,0.026889,-0.712710,-0.104693,
23,2278879923,9.792671,1.665925,-0.418622,-0.149092,-7.655817,4.467028,0.692492,0.026665,-0.713374,-0.104125,
24,2278896590,9.791442,1.731779,-0.115505,5.671992,-8.745665,4.261219,0.691753,0.026943,-0.714235,-0.103066,
25,2278913257,9.821657,1.732753,-0.131592,3.401079,-8.212536,4.317169,0.691081,0.027027,-0.715006,-0.102202,
26,2278929924,9.904062,1.772892,-0.288339,4.519422,-7.616805,4.975138,0.690481,0.027217,-0.715734,-0.101102,
27,2278946591,9.879873,1.776201,-0.378884,3.553052,-3.840049,5.508774,0.690278,0.027265,-0.716071,-0.100079,
28,2278963258,9.787868,1.701964,-0.334545,3.097312,-5.420672,4.923472,0.689900,0.027278,-0.716558,-0.099194,
29,2278979925,9.834225,1.817685,-0.288988,3.249811,-6.495921,4.085643,0.689397,0.027377,-0.717150,-0.098381,
30,2278996592,9.855993,1.872968,-0.199245,1.901442,-6.361542,2.909712,0.688895,0.027467,-0.717705,-0.097826,
31,2279013259,9.902101,1.770932,-0.188772,0.620244,-5.449550,0.853908,0.688464,0.027655,-0.718141,-0.097607,
32,2279029926,9.965489,1.832061,-0.159474,5.222667,-3.050025,-0.275375,0.688247,0.028457,-0.718398,-0.097010,
33,2279046593,9.887242,1.840629,-0.165830,3.065757,-2.153183,-0.581818,0.688128,0.029088,-0.718534,-0.096666,
34,2279063260,9.853780,1.926966,-0.148751,0.041922,-3.492163,-0.560649,0.687882,0.029394,-0.718760,-0.096641,
