sep=,
DeviceTag:, DOT_Thigh_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-13_17:38:21_419 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2765606324,3.804388,-3.592161,1.769816,119.441185,-12.794864,9.651237,0.490266,-0.470876,-0.585423,-0.441816,
2,2765622991,1.180201,4.997530,-2.469397,138.492569,-37.143188,35.176113,0.498909,-0.465981,-0.594500,-0.424885,
3,2765639658,17.954781,11.666769,-5.534120,151.781525,-33.281116,8.258091,0.506876,-0.457325,-0.605649,-0.408810,
4,2765656325,42.592754,19.162127,4.312257,36.243874,27.064842,-72.135338,0.507522,-0.446362,-0.610620,-0.412713,
5,2765672992,7.030791,15.693659,-0.198103,-50.764801,-29.284897,-124.925011,0.494204,-0.440389,-0.617783,-0.424465,
6,2765689659,17.491016,10.226733,-5.488599,-45.531746,-2.694618,-172.548584,0.480403,-0.427882,-0.626074,-0.440643,
7,2765706326,19.796152,6.835699,-4.989424,2.370541,-1.298600,-235.447662,0.465235,-0.405816,-0.640668,-0.456530,
8,2765722993,20.266258,0.772070,-1.626999,-19.644873,3.236279,-229.868591,0.449021,-0.384989,-0.652422,-0.473830,
9,2765739660,20.465361,-3.109559,-0.333362,-40.927002,2.421065,-182.842804,0.434355,-0.369705,-0.659518,-0.489587,
10,2765756327,17.360237,-4.337224,-2.121887,18.570524,19.362001,-123.418076,0.428507,-0.354954,-0.666224,-0.496529,
11,2765772994,14.766288,-0.892143,-1.299652,10.448737,-0.516424,-106.942574,0.421375,-0.343635,-0.672535,-0.502057,
12,2765789661,12.820619,-0.496290,-2.230603,-43.685692,-9.248418,-117.838799,0.409765,-0.335105,-0.675775,-0.512964,
13,2765806328,9.296661,-0.913698,-2.676045,-86.439507,-8.192238,-101.662842,0.397236,-0.330514,-0.674733,-0.526978,
14,2765822995,7.566092,-2.256636,-1.359431,-166.505798,-7.442754,-58.503521,0.384042,-0.334552,-0.665081,-0.546132,
15,2765839662,8.280119,-7.897666,-0.894541,-182.852493,3.947664,-3.948067,0.375224,-0.343656,-0.650404,-0.563993,
16,2765856329,7.601947,-11.494858,-0.040045,-131.228470,0.757179,29.533834,0.371231,-0.353188,-0.638112,-0.574686,
17,2765872996,4.697076,-14.530961,0.215406,-21.015829,-6.755197,46.947559,0.373577,-0.358940,-0.634409,-0.573702,
18,2765889663,1.436989,-13.291166,-0.245967,76.753792,7.298604,59.802994,0.383348,-0.359346,-0.637346,-0.563658,
19,2765906330,-0.184171,-8.913772,-1.321937,119.497757,19.633591,73.139900,0.397469,-0.357479,-0.642200,-0.549374,
20,2765922997,0.984478,-4.891852,-0.254935,128.334702,45.062580,90.818123,0.415643,-0.354548,-0.645043,-0.534286,
21,2765939664,1.848244,-0.273271,2.349566,63.766701,57.341797,123.357315,0.433942,-0.357426,-0.640114,-0.523642,
22,2765956331,3.305146,3.096337,1.817371,19.992329,55.193218,171.476929,0.453175,-0.367498,-0.629110,-0.513619,
23,2765972998,6.351206,7.084124,0.788915,3.762460,71.323509,207.749374,0.475337,-0.380440,-0.613354,-0.503113,
24,2765989665,20.861113,11.261810,-0.487819,-35.411903,54.955654,243.982285,0.495992,-0.400091,-0.593109,-0.492085,
25,2766006332,35.668587,11.622025,-1.441201,-145.519592,61.558815,246.550873,0.510182,-0.426778,-0.563460,-0.489993,
26,2766022999,16.246706,7.543458,0.471065,-174.427124,-37.635292,207.873154,0.510839,-0.458794,-0.540561,-0.486159,
27,2766039666,20.805626,6.499100,0.645277,-160.684937,-2.019732,133.976746,0.509357,-0.480898,-0.520247,-0.488510,
28,2766056333,24.789738,3.346693,-0.774243,-169.764740,-19.416348,127.711411,0.505006,-0.503991,-0.500533,-0.490342,
29,2766073000,23.667133,0.390050,-1.253590,-99.813042,-28.997787,126.425301,0.504615,-0.522159,-0.486229,-0.486107,
30,2766089667,19.361742,-4.039087,1.559565,-13.916615,-40.632996,121.372612,0.509342,-0.534256,-0.479017,-0.475068,
31,2766106334,15.211475,-3.316188,-1.637845,48.893764,-31.595966,130.683929,0.520025,-0.541518,-0.474568,-0.459482,
32,2766123001,14.220522,0.111764,-2.125611,125.324059,10.527569,130.928406,0.539356,-0.539896,-0.471752,-0.441660,
33,2766139668,13.181973,4.237639,-1.781951,168.534302,8.930194,102.850647,0.559752,-0.532645,-0.473679,-0.422612,
34,2766156335,10.100928,9.339019,-1.072773,149.487350,19.818481,48.097271,0.575673,-0.522138,-0.477465,-0.409886,
35,2766173002,0.967710,11.905479,-1.938638,24.982765,-6.475232,-16.293982,0.576314,-0.519003,-0.480786,-0.409084,
36,2766189669,-5.351218,12.521004,-2.131691,-63.802402,-48.665569,-89.103668,0.562879,-0.520645,-0.487778,-0.417342,
37,2766206336,-5.824254,9.522233,-0.914270,-111.872398,-66.399765,-128.665451,0.541863,-0.524232,-0.496056,-0.430697,
38,2766223003,-2.676195,0.998513,2.706099,-89.520462,-46.206299,-136.786423,0.523144,-0.523863,-0.504438,-0.444338,
39,2766239670,1.276121,-3.294065,5.461744,-22.220865,-16.485628,-128.244110,0.512030,-0.516825,-0.514012,-0.454440,
40,2766256337,2.964251,-4.268768,3.982688,-26.160673,-32.400166,-141.810318,0.498321,-0.509903,-0.525316,-0.464461,
41,2766273004,4.046331,-6.708571,0.683036,-32.010357,-35.038208,-137.035126,0.484073,-0.503717,-0.535823,-0.474176,
42,2766289671,2.754072,-10.102433,-10.113393,-40.321949,-70.157578,-76.923141,0.470453,-0.505044,-0.543637,-0.477567,
43,2766306338,2.919665,-9.135871,-9.499755,57.432964,-80.006386,-0.068952,0.468464,-0.506326,-0.553143,-0.467135,
44,2766323005,0.256715,2.128252,1.618742,127.008492,-14.149059,27.010576,0.478602,-0.500426,-0.560736,-0.453977,
45,2766339672,0.379411,15.023908,6.504262,147.216553,-34.597366,12.213901,0.487359,-0.493048,-0.571921,-0.438518,
46,2766356339,21.605183,7.423872,-6.257208,14.245133,-56.969929,-39.967899,0.481245,-0.492032,-0.579782,-0.436081,
47,2766373006,41.267826,0.656897,2.772362,64.819496,48.629272,-48.361362,0.487050,-0.479997,-0.583971,-0.437457,
48,2766389673,8.209888,15.139801,-1.727505,36.041813,-14.842940,-24.936943,0.486885,-0.475969,-0.589119,-0.435133,
49,2766406340,12.653986,14.729021,-3.266763,-16.053038,-10.515773,-98.948677,0.478736,-0.468952,-0.595709,-0.442756,
50,2766423007,24.267721,12.731931,-7.028607,-3.955046,-7.020750,-241.872375,0.462164,-0.448143,-0.612144,-0.459193,
51,2766439674,16.633669,12.517962,-3.623470,-51.186081,-15.129556,-236.420334,0.441579,-0.430977,-0.624850,-0.478367,
52,2766456341,22.989216,-4.234931,-1.533946,-68.326027,-9.772820,-216.561050,0.421270,-0.415838,-0.634044,-0.497599,
53,2766473008,19.422728,-5.954781,-1.498541,18.253305,15.326373,-168.250778,0.411645,-0.397675,-0.644501,-0.506980,
54,2766489675,17.686577,2.802159,-0.817923,27.091238,18.607250,-145.728424,0.404272,-0.380633,-0.653755,-0.514095,
55,2766506342,15.937577,5.679693,-2.000701,-15.813642,15.576317,-144.543106,0.394135,-0.366273,-0.659607,-0.524810,
56,2766523009,13.685721,1.087521,-2.572318,-87.038330,7.315141,-142.932922,0.379327,-0.356589,-0.660064,-0.541550,
57,2766539676,11.373517,-1.281135,-2.848959,-132.680054,6.736416,-122.630013,0.363454,-0.351190,-0.655483,-0.561173,
58,2766556343,8.358267,-4.820317,-2.335276,-184.799957,7.043947,-84.109299,0.347809,-0.351919,-0.644157,-0.583309,
59,2766573010,7.213256,-10.947732,-2.038183,-203.024826,7.395732,-16.251986,0.336723,-0.359585,-0.627227,-0.603248,
60,2766589677,6.610380,-13.373381,-1.833870,-127.009285,3.974541,41.927734,0.334194,-0.368923,-0.613713,-0.612839,
61,2766606344,4.455601,-15.016691,-1.388058,-11.588311,-0.150169,62.489128,0.339248,-0.374772,-0.609445,-0.610770,
62,2766623011,1.339725,-14.838881,-1.942422,90.900497,-6.710042,68.925674,0.349817,-0.376648,-0.614144,-0.598831,
63,2766639678,0.142955,-12.395360,-2.352235,143.713043,15.826269,78.205925,0.365948,-0.374542,-0.621523,-0.582679,
64,2766656345,2.356636,-6.347802,-1.295555,169.796585,57.446987,103.582962,0.389139,-0.369535,-0.627048,-0.564652,
65,2766673012,3.237042,-1.728750,1.400870,134.386520,72.914917,145.415970,0.414908,-0.368731,-0.625957,-0.547789,
66,2766689679,3.309432,4.129584,2.423029,73.692047,56.788418,185.745773,0.438780,-0.376201,-0.618258,-0.532643,
67,2766706346,5.895729,7.068804,1.513882,16.052498,63.032642,210.901627,0.461582,-0.388762,-0.603719,-0.520899,
68,2766723013,11.384046,9.384701,0.920708,-92.776360,41.264202,229.862976,0.477230,-0.411493,-0.580605,-0.515586,
69,2766739680,40.720703,13.526970,-3.013832,-175.334076,1.125124,252.386063,0.485433,-0.444173,-0.551797,-0.512436,
70,2766756347,16.009174,12.158700,0.070148,-227.352982,18.358353,235.398972,0.489369,-0.476937,-0.517831,-0.514690,
71,2766773014,21.547586,4.507710,-1.664542,-213.723923,-62.147678,164.483521,0.481941,-0.508505,-0.494533,-0.514392,
72,2766789681,20.810480,0.302805,0.526522,-141.799988,-33.667324,116.543549,0.477735,-0.528868,-0.477589,-0.513792,
73,2766806348,22.454172,-2.913015,-1.401049,-157.060806,-77.190506,115.313072,0.468851,-0.553028,-0.462235,-0.510572,
74,2766823015,22.257090,-7.426478,-0.404505,-69.646904,-88.498505,113.030380,0.465732,-0.571519,-0.453994,-0.500355,
75,2766839682,17.492640,-7.886747,-0.695443,99.276337,-28.155231,125.676781,0.481306,-0.574702,-0.452661,-0.482873,
76,2766856349,13.670364,-2.161685,-2.148523,230.626068,33.176510,139.616806,0.512356,-0.564689,-0.454611,-0.460383,
77,2766873016,12.857287,3.150818,-2.789487,269.716675,25.375088,113.274986,0.543460,-0.549583,-0.461145,-0.435846,
78,2766889683,13.183504,9.936901,-2.918323,235.490753,2.047221,43.241684,0.564995,-0.533118,-0.472243,-0.416603,
79,2766906350,6.125431,15.426492,-3.546617,100.012169,-8.992713,-9.725101,0.571652,-0.524428,-0.479806,-0.409856,
80,2766923017,-3.500651,15.602966,-2.186854,-20.176561,-35.330894,-44.655651,0.565135,-0.524784,-0.484987,-0.412331,
81,2766939684,-7.064802,11.229012,0.273767,-68.874695,-67.552139,-96.902252,0.549365,-0.527268,-0.493771,-0.419979,
82,2766956351,-3.711893,2.775964,3.220150,-51.791142,-68.447037,-148.257278,0.531427,-0.524488,-0.507358,-0.430223,
83,2766973018,-1.069948,-1.775296,3.812132,-36.013279,-56.551674,-156.125458,0.514751,-0.518840,-0.521301,-0.440554,
84,2766989685,0.935820,-2.158948,1.784797,-30.337481,-61.344482,-155.690369,0.497854,-0.512790,-0.535614,-0.449790,
85,2767006352,4.411200,-4.918865,1.015560,-16.768667,-55.167862,-154.638718,0.482221,-0.505131,-0.549971,-0.458087,
86,2767023019,6.413195,-8.966557,-4.949098,6.234684,-54.593914,-106.800682,0.471297,-0.499423,-0.562063,-0.461028,
87,2767039686,6.769720,-5.760549,-2.953648,77.096703,-26.759197,-20.425289,0.473479,-0.493936,-0.570595,-0.454171,
88,2767056353,0.734025,2.923202,-0.726038,77.166031,2.067790,11.709616,0.480118,-0.489138,-0.574751,-0.447100,
89,2767073020,6.203427,5.606049,-6.345154,-85.412445,-123.591606,4.280472,0.464055,-0.503094,-0.577470,-0.445066,
90,2767089687,37.050278,18.251169,7.049109,135.087204,3.902712,-40.962231,0.471697,-0.489891,-0.588907,-0.436695,
91,2767106354,15.860439,11.120942,-3.574435,24.353321,73.701431,-55.065445,0.476382,-0.478487,-0.589343,-0.443611,
92,2767123021,12.170425,14.176881,-3.775006,-73.017204,-24.215092,-100.833076,0.462817,-0.476096,-0.593307,-0.455110,
93,2767139688,15.542897,4.735826,-3.116543,-5.906765,9.151714,-204.499725,0.449632,-0.457742,-0.606279,-0.469825,
94,2767156355,20.625122,4.220205,-3.556628,8.101375,6.169126,-249.109329,0.433570,-0.434235,-0.622697,-0.485500,
95,2767173022,19.385984,-0.305982,-0.806985,-6.784997,7.593565,-184.913956,0.420782,-0.416931,-0.633282,-0.498067,
96,2767189689,20.298576,-2.538583,-0.525267,36.119999,20.957275,-145.922928,0.414392,-0.399367,-0.643403,-0.504801,
97,2767206356,14.668039,1.360624,-2.037120,99.248917,30.552563,-133.341461,0.413258,-0.378249,-0.656490,-0.505145,
98,2767223023,13.440975,5.493905,-2.607425,47.693127,9.690107,-139.012604,0.406656,-0.361014,-0.666999,-0.509330,
99,2767239690,14.110374,3.086189,-3.111522,-32.491779,2.160716,-148.430008,0.394220,-0.347993,-0.672188,-0.521211,
