sep=,
DeviceTag:, DOT_Thigh_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-15_17:58:36_156 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,363016631,-9.457038,0.181982,-1.949503,9.268412,-7.593869,-17.017845,0.613177,0.265331,0.720937,-0.184055,
2,363033298,-9.409290,0.429049,-1.931245,12.478903,-8.895124,-14.260610,0.613014,0.264750,0.720495,-0.187139,
3,363049965,-9.384697,0.766445,-1.980660,15.519763,-9.421493,-11.309152,0.612864,0.264731,0.719803,-0.190296,
4,363066632,-9.417847,1.002011,-1.937492,17.951492,-10.375659,-8.090272,0.612802,0.265238,0.718826,-0.193456,
5,363083299,-9.438713,0.985604,-1.747190,21.901897,-12.616999,-4.775857,0.612907,0.266377,0.717402,-0.196817,
6,363099966,-9.475558,0.962831,-1.535590,24.996136,-14.830550,-2.174832,0.613187,0.267995,0.715578,-0.200352,
7,363116633,-9.452393,0.988598,-1.417180,25.320734,-15.983628,-0.110673,0.613624,0.269817,0.713549,-0.203777,
8,363133300,-9.464051,0.976506,-1.306047,24.058254,-16.466173,1.873376,0.614208,0.271715,0.711423,-0.206910,
9,363149967,-9.460757,0.957112,-1.278036,23.008245,-16.864822,3.522518,0.614912,0.273672,0.709214,-0.209798,
10,363166634,-9.406959,0.890866,-1.333334,22.292660,-16.990015,4.572130,0.615680,0.275665,0.706962,-0.212520,
11,363183301,-9.359371,0.827238,-1.301463,21.345715,-17.086226,5.081426,0.616501,0.277618,0.704699,-0.215100,
12,363199968,-9.344833,0.745230,-1.244801,19.598816,-17.008181,5.324913,0.617383,0.279437,0.702476,-0.217472,
13,363216635,-9.369717,0.686011,-1.183352,17.936655,-16.808922,5.546756,0.618310,0.281133,0.700305,-0.219644,
14,363233302,-9.395797,0.752159,-1.037150,15.646760,-16.352427,6.001317,0.619292,0.282680,0.698221,-0.221519,
15,363249969,-9.330832,0.778960,-1.052837,8.746754,-15.578868,6.384953,0.620485,0.283667,0.696407,-0.222626,
16,363266636,-9.407452,0.746135,-1.060554,8.954244,-15.654234,6.487276,0.621676,0.284679,0.694570,-0.223747,
17,363283303,-9.445226,0.498087,-0.892692,10.893925,-16.769415,7.354718,0.622923,0.285915,0.692528,-0.225028,
18,363299970,-9.423717,0.573190,-0.937969,10.756731,-17.259184,8.089036,0.624244,0.287194,0.690409,-0.226248,
19,363316637,-9.522927,0.498491,-0.859413,11.756094,-18.856186,8.791685,0.625699,0.288579,0.688076,-0.227569,
20,363333304,-9.573933,0.557588,-0.812860,14.813012,-21.792740,10.697988,0.627375,0.290332,0.685284,-0.229142,
21,363349971,-9.475204,0.595991,-0.986940,15.929488,-21.386896,12.537318,0.629015,0.292378,0.682404,-0.230638,
22,363366638,-9.579864,0.517661,-0.891850,14.947519,-21.649967,13.595691,0.630746,0.294426,0.679475,-0.231947,
23,363383305,-9.473846,0.426560,-0.850937,15.388859,-23.118408,14.774242,0.632632,0.296576,0.676334,-0.233250,
24,363399972,-9.622440,0.416682,-0.462903,17.515703,-22.913568,16.301298,0.634444,0.299072,0.673059,-0.234608,
25,363416639,-9.784408,0.381635,-0.198821,16.428350,-23.177969,17.457472,0.636355,0.301566,0.669732,-0.235759,
26,363433306,-9.823088,0.468032,-0.101077,16.468466,-24.414948,18.423733,0.638404,0.304108,0.666231,-0.236873,
27,363449973,-9.704155,0.776586,0.016097,16.668612,-24.890530,19.994211,0.640527,0.306796,0.662593,-0.237876,
28,363466640,-9.578439,0.850274,0.029316,14.852887,-22.612690,22.629194,0.642587,0.309641,0.659095,-0.238351,
29,363483307,-9.531741,0.883580,0.277325,18.757454,-24.061060,24.335110,0.644651,0.312954,0.655232,-0.239100,
30,363499974,-9.426250,1.207722,0.706107,21.595486,-27.804029,26.132011,0.646984,0.316565,0.650814,-0.240112,
31,363516641,-9.370212,1.205717,0.728853,19.539749,-25.983366,29.944035,0.649346,0.320394,0.646438,-0.240479,
32,363533308,-9.403745,0.631137,0.888031,17.281374,-25.753098,31.898518,0.651834,0.324188,0.642045,-0.240428,
33,363549975,-9.124960,0.200380,-0.351988,22.785271,-26.376625,27.386457,0.653937,0.328049,0.637588,-0.241339,
34,363566642,-8.681422,0.647015,-0.567761,24.091440,-25.128653,21.627291,0.655636,0.331531,0.633455,-0.242849,
35,363583309,-9.220272,0.413384,-0.668347,28.605272,-21.536545,16.563049,0.656586,0.335092,0.629729,-0.245078,
36,363599976,-9.431615,0.067393,-0.569916,35.461990,-15.346136,7.977010,0.656307,0.338731,0.626747,-0.248445,
37,363616643,-9.513706,0.553216,-0.237437,38.146965,-6.653804,0.315249,0.654804,0.342231,0.624854,-0.252351,
38,363633310,-9.366092,1.395971,-0.138590,28.042885,-6.425554,-5.100900,0.653566,0.344276,0.623607,-0.255837,
39,363649977,-9.244617,1.891918,0.382641,13.396116,-5.212267,-10.596126,0.652740,0.344470,0.623287,-0.258453,
40,363666644,-9.196573,2.312960,0.493364,0.154358,-1.390598,-14.360913,0.652084,0.343207,0.624013,-0.260032,
41,363683311,-9.172780,2.494009,0.474693,-9.085347,3.322656,-14.419160,0.651456,0.341239,0.625534,-0.260541,
42,363699978,-9.247412,2.400187,0.491467,-17.573761,6.487023,-13.115978,0.651005,0.338703,0.627605,-0.259996,
43,363716645,-9.295698,2.122137,0.575443,-25.895176,8.548323,-11.865339,0.650813,0.335566,0.630116,-0.258466,
44,363733312,-9.463511,1.791267,0.644875,-34.448872,9.459641,-10.145853,0.651005,0.331803,0.632936,-0.255940,
45,363749979,-9.562211,1.405235,0.513552,-34.762596,7.372015,-7.116098,0.651499,0.328202,0.635405,-0.253192,
46,363766646,-9.513892,1.000756,0.366811,-25.905403,6.626925,-4.207716,0.651733,0.325676,0.637325,-0.251017,
