sep=,
DeviceTag:,DOT_Thigh_L
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-15_18:21:19_598 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1726437371,-9.309846,-1.687592,-0.819880,9.850117,1.356122,2.700943,0.089519,-0.739364,-0.043178,0.665933,
2,1726454038,-9.309289,-1.726292,-0.956873,7.639482,0.864755,1.381940,0.090272,-0.739472,-0.042501,0.665755,
3,1726470705,-9.351779,-1.793610,-1.094359,5.828945,0.544532,0.059095,0.090956,-0.739564,-0.042145,0.665583,
4,1726487372,-9.425268,-1.757161,-1.124260,5.200154,0.485636,0.033802,0.091574,-0.739658,-0.041854,0.665412,
5,1726504039,-9.431765,-1.730096,-1.025273,5.704275,0.834225,0.525451,0.092202,-0.739782,-0.041456,0.665213,
6,1726520706,-9.385271,-1.675599,-0.902123,5.831237,1.108230,0.887973,0.092809,-0.739932,-0.041003,0.664989,
7,1726537373,-9.374352,-1.670081,-0.840972,4.452313,0.080072,0.547106,0.093295,-0.739999,-0.040735,0.664863,
8,1726554040,-9.422124,-1.752221,-0.813577,3.233507,-0.414337,0.226794,0.093677,-0.740032,-0.040625,0.664779,
9,1726570707,-9.461055,-1.817329,-0.905397,1.910419,-0.463334,0.094556,0.093930,-0.740078,-0.040658,0.664690,
10,1726587374,-9.406006,-1.855365,-0.980385,2.311386,-0.941395,0.211913,0.094211,-0.740073,-0.040646,0.664657,
11,1726604041,-9.336873,-1.819392,-1.035109,3.105264,-0.215428,0.796228,0.094526,-0.740131,-0.040484,0.664558,
12,1726620708,-9.358640,-1.774560,-0.942426,5.048667,0.144718,1.199270,0.095013,-0.740198,-0.040086,0.664437,
13,1726637375,-9.336660,-1.811437,-0.936419,6.147260,0.356292,1.064125,0.095633,-0.740270,-0.039594,0.664297,
14,1726654042,-9.339711,-1.841383,-0.880482,6.092461,0.352514,0.665296,0.096285,-0.740340,-0.039149,0.664152,
15,1726670709,-9.366749,-1.831402,-0.881446,4.923356,0.230700,-0.006134,0.096875,-0.740410,-0.038892,0.664003,
16,1726687376,-9.481778,-1.749643,-0.913554,3.522303,0.337992,-0.354557,0.097349,-0.740508,-0.038806,0.663830,
17,1726704043,-9.516751,-1.669645,-0.872598,2.701877,0.280286,-0.410764,0.097739,-0.740611,-0.038806,0.663657,
