sep=,
DeviceTag:, DOT_Pelvis
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-15_18:34:21_027 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2507893341,9.535088,-0.575425,2.393727,-2.773906,-0.478087,0.682149,0.781086,-0.104278,-0.608495,-0.093619,
2,2507910008,9.572986,-0.548412,2.397342,-2.433194,-0.519464,0.665181,0.780940,-0.104579,-0.608577,-0.093968,
3,2507926675,9.560843,-0.617047,2.394608,-2.040807,-0.410290,0.641809,0.780809,-0.104833,-0.608651,-0.094288,
4,2507943342,9.555629,-0.608020,2.387173,-1.653671,0.203173,0.923555,0.780743,-0.105058,-0.608657,-0.094550,
5,2507960009,9.600260,-0.572230,2.400238,-1.724823,0.831785,1.617583,0.780740,-0.105344,-0.608580,-0.094748,
6,2507976676,9.581152,-0.448227,2.465362,-2.052064,0.822212,2.001523,0.780737,-0.105702,-0.608494,-0.094932,
7,2507993343,9.505081,-0.532641,2.413872,-2.086833,1.628116,1.857772,0.780803,-0.106041,-0.608317,-0.095149,
8,2508010010,9.619597,-0.648452,2.382703,-2.524426,1.992956,1.499988,0.780889,-0.106390,-0.608099,-0.095448,
9,2508026677,9.698588,-0.555966,2.332263,-2.963268,1.728460,1.222417,0.780940,-0.106769,-0.607908,-0.095814,
10,2508043344,9.705777,-0.466371,2.220046,-3.065239,2.137758,1.419347,0.781029,-0.107172,-0.607667,-0.096173,
11,2508060011,9.617363,-0.435798,2.259094,-2.606124,1.278560,1.333320,0.781048,-0.107525,-0.607530,-0.096486,
12,2508076678,9.458299,-0.482614,2.285965,-2.337248,1.331944,0.837311,0.781068,-0.107804,-0.607400,-0.096833,
