sep=,
DeviceTag:, DOT_Thigh_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-15_18:07:21_962 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,888810480,-10.956815,2.105173,-0.820929,25.243168,-67.703499,93.077133,0.493747,-0.426965,0.588762,0.476770,
2,888827147,-10.871046,1.420828,-1.140144,21.794493,-59.045620,89.558250,0.493913,-0.413683,0.591644,0.484674,
3,888843814,-10.637033,0.683520,-1.656096,29.505878,-47.208477,86.470909,0.493628,-0.400851,0.595598,0.490866,
4,888860481,-9.967811,1.084606,-1.416591,26.818394,-36.991840,88.637787,0.492041,-0.388668,0.600093,0.496746,
5,888877148,-9.909691,0.746003,-1.815575,18.078642,-20.177416,87.841400,0.488456,-0.378322,0.605000,0.502288,
6,888893815,-10.250173,1.239503,-1.916608,18.609692,-10.216995,87.829124,0.483941,-0.368601,0.610550,0.507147,
7,888910482,-10.138006,1.980889,-1.977429,7.146929,-2.681962,85.407677,0.478244,-0.360400,0.615557,0.512367,
8,888927149,-9.506928,2.975004,-1.752999,-8.553662,4.939238,85.896347,0.470931,-0.353759,0.619855,0.518549,
9,888943816,-8.882051,3.667018,-1.823225,-24.846163,18.225803,84.752205,0.461592,-0.349283,0.623677,0.525353,
10,888960483,-8.929863,4.128208,-1.726363,-47.604706,30.043940,79.782433,0.450321,-0.347625,0.626186,0.533192,
11,888977150,-8.916410,4.307463,-1.524137,-78.146782,34.805172,72.342667,0.437545,-0.348935,0.626120,0.542962,
12,888993817,-8.723051,3.977364,-1.369407,-104.938637,37.746006,64.726295,0.423610,-0.352769,0.623549,0.554373,
13,889010484,-8.794914,3.360618,-1.012772,-131.155212,35.997257,59.835217,0.408713,-0.358379,0.618256,0.567726,
14,889027151,-8.814269,2.620057,-0.664902,-147.694519,31.250359,56.561749,0.393446,-0.364695,0.610834,0.582335,
15,889043818,-8.974306,2.034305,-0.439676,-150.862900,28.472466,49.772503,0.378619,-0.371364,0.602294,0.596669,
16,889060485,-8.937792,1.820822,-0.227058,-151.092468,26.124844,43.965004,0.364288,-0.378150,0.592969,0.610508,
17,889077152,-8.730944,1.707393,-0.191995,-137.759628,23.680193,38.173210,0.351239,-0.384330,0.584092,0.622730,
18,889093819,-8.817030,1.304386,-0.475906,-130.335846,23.501728,34.338039,0.338822,-0.390283,0.575423,0.633879,
19,889110486,-8.626240,0.977927,-0.486003,-116.116867,23.216791,29.413790,0.327572,-0.395785,0.567570,0.643389,
20,889127153,-8.395352,0.709706,0.004007,-100.639389,22.844330,25.625185,0.317510,-0.400720,0.560776,0.651288,
21,889143820,-8.294364,0.658873,0.442176,-78.226349,22.397118,21.343666,0.309136,-0.404852,0.555727,0.657063,
22,889160487,-8.204841,0.682336,0.737612,-55.396667,20.061686,16.148565,0.302757,-0.408110,0.552387,0.660823,
23,889177154,-8.132860,0.873542,0.986817,-33.932312,16.984278,10.152258,0.298460,-0.410587,0.550589,0.662742,
24,889193821,-8.007188,1.193649,1.041331,-13.162422,13.471214,2.160274,0.296450,-0.412457,0.550151,0.662847,
25,889210488,-7.760215,1.951859,1.146931,-2.820996,8.211120,-4.265501,0.296100,-0.413885,0.550095,0.662159,
26,889227155,-7.331654,2.680574,1.214822,4.340414,5.079545,-10.335153,0.297016,-0.415188,0.550227,0.660823,
27,889243822,-7.268666,3.294839,1.040089,7.531095,4.344154,-14.655253,0.298597,-0.416625,0.550368,0.659085,
28,889260489,-7.441422,4.068182,0.727139,12.097918,6.412899,-17.367601,0.300546,-0.418276,0.550868,0.656732,
29,889277156,-7.921148,4.861819,0.456503,13.402467,10.779781,-17.853865,0.302267,-0.420319,0.551645,0.653979,
30,889293823,-8.057744,5.645624,0.311792,12.645947,14.481267,-16.304554,0.303492,-0.422617,0.552600,0.651119,
31,889310490,-7.705503,6.327703,0.003410,16.206575,19.785040,-12.227266,0.304119,-0.424925,0.554366,0.647814,
32,889327157,-7.893376,6.719042,-0.343900,16.418447,25.850143,-11.229829,0.304168,-0.427705,0.556471,0.644148,
33,889343824,-8.079449,6.860069,-0.485179,8.778854,26.662189,-14.141178,0.303940,-0.431123,0.557701,0.640904,
34,889360491,-7.994852,6.858444,-0.199083,-2.941642,26.937719,-16.353909,0.303155,-0.435254,0.557699,0.638481,
35,889377158,-8.023660,6.730170,0.330184,-20.177607,29.177622,-18.736961,0.301307,-0.440533,0.556029,0.637191,
36,889393825,-8.324559,6.409297,0.641692,-39.918346,26.559406,-22.029352,0.298698,-0.446679,0.552177,0.637490,
37,889410492,-8.718463,5.818254,0.678377,-56.734138,20.651867,-26.146700,0.295829,-0.453305,0.546200,0.639297,
38,889427159,-10.756521,4.405383,-0.206724,-64.265900,21.032484,-37.619957,0.293467,-0.461152,0.538724,0.641115,
39,889443826,-11.793630,2.635803,0.301241,-85.446770,17.339167,-51.935413,0.291259,-0.470601,0.528062,0.644118,
40,889460493,-10.290472,1.317121,2.741276,-114.077614,12.166261,-46.502148,0.286901,-0.480235,0.514730,0.649731,
41,889477160,-10.110093,1.730529,3.861909,-108.155563,10.834383,-36.153316,0.281994,-0.488578,0.502470,0.655233,
42,889493827,-11.005503,4.170997,4.590748,-87.320946,-0.599726,-27.153362,0.278483,-0.494211,0.492252,0.660247,
43,889510494,-10.770643,5.787689,3.858785,-64.265945,-19.265917,-7.191620,0.276012,-0.495621,0.484862,0.665674,
44,889527161,-9.241976,4.489677,0.373815,-18.448179,-18.587704,19.412109,0.274204,-0.493354,0.483824,0.668852,
45,889543828,-8.027347,2.008856,-2.265867,64.883812,-0.846580,36.935757,0.275403,-0.488221,0.492825,0.665546,
46,889560495,-7.531452,-1.123548,-1.590687,148.969009,7.657434,31.738226,0.282382,-0.480766,0.509783,0.655195,
47,889577162,-7.085482,-2.763799,-0.573759,171.879593,24.406725,2.950070,0.292302,-0.475825,0.527306,0.640417,
48,889593829,-7.618917,-1.383590,-0.632116,139.380020,10.479161,-31.225956,0.304066,-0.473331,0.538557,0.627290,
49,889610496,-8.685503,2.561633,-2.069667,152.573776,8.848474,-40.161247,0.317533,-0.470571,0.550059,0.612540,
50,889627163,-9.452813,6.988960,-3.108730,150.323898,21.975874,-25.491966,0.328323,-0.467665,0.562682,0.597426,
51,889643830,-9.273668,9.767072,-3.159050,77.267731,40.429535,-11.150599,0.331274,-0.468516,0.570623,0.587516,
52,889660497,-9.031032,8.974339,-1.307184,-11.963458,38.479095,-10.113133,0.328183,-0.473364,0.570857,0.585132,
53,889677164,-9.094418,5.018147,-0.188905,-66.330635,26.418089,-17.898766,0.322987,-0.480390,0.565310,0.587677,
54,889693831,-8.996270,0.964388,-0.673512,-81.334778,17.467897,-38.220490,0.319168,-0.488957,0.556558,0.591042,
55,889710498,-8.614268,-0.416226,-1.702983,-64.934105,15.896697,-52.595657,0.317826,-0.497712,0.548029,0.592426,
56,889727165,-8.380162,-0.205295,-1.983595,-26.993008,27.688564,-47.344143,0.317801,-0.505252,0.543631,0.590105,
57,889743832,-9.046499,-0.437523,-1.542762,5.915525,34.587807,-32.819241,0.318382,-0.510681,0.543406,0.585307,
58,889760499,-9.473313,-0.434997,-1.109364,40.591866,31.381021,-25.204197,0.321123,-0.513597,0.546515,0.578320,
59,889777166,-9.392574,0.201210,-1.504060,65.818291,24.257511,-23.813293,0.326168,-0.514576,0.551463,0.569868,
60,889793833,-9.334116,1.324188,-1.948878,75.120392,18.274220,-24.307795,0.332386,-0.514588,0.556787,0.561018,
61,889810500,-9.157886,2.675785,-2.251158,67.925926,12.659255,-23.215746,0.338389,-0.514334,0.561262,0.553149,
62,889827167,-8.979107,3.469608,-2.372173,47.630192,10.648963,-20.517117,0.342789,-0.514650,0.564155,0.547171,
63,889843834,-8.756907,3.441157,-2.426538,25.237329,10.361252,-17.840937,0.345308,-0.515817,0.565427,0.543160,
64,889860501,-8.840569,2.665674,-2.465215,6.342309,10.844377,-16.439793,0.346253,-0.517846,0.565326,0.540727,
65,889877168,-8.866335,1.719805,-2.745636,1.961341,14.465007,-15.819031,0.346518,-0.520323,0.565104,0.538407,
66,889893835,-9.115169,0.995757,-2.876982,0.595131,17.716038,-15.417837,0.346375,-0.523085,0.564961,0.535966,
67,889910502,-9.452974,0.212097,-2.967055,7.483849,16.463539,-16.480013,0.346938,-0.525482,0.565204,0.532993,
68,889927169,-9.175228,0.012907,-2.135528,19.765276,18.429169,-18.299717,0.348413,-0.527551,0.566347,0.528757,
69,889943836,-9.574003,0.143535,-1.876558,29.514618,13.735741,-21.943308,0.351291,-0.529049,0.567705,0.523877,
70,889960503,-9.700281,0.395476,-1.941276,40.496769,12.738336,-24.567886,0.355282,-0.530103,0.569621,0.518009,
71,889977170,-9.457178,0.760757,-1.838145,47.698818,9.439397,-25.140676,0.360123,-0.530551,0.571829,0.511736,
72,889993837,-9.168512,0.905088,-1.912125,48.095196,7.352402,-24.520079,0.365098,-0.530735,0.573967,0.505590,
73,890010504,-9.015330,0.963103,-2.056308,47.483208,6.045867,-23.434124,0.370031,-0.530730,0.576037,0.499619,
