sep=,
DeviceTag:, DOT_Pelvis
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-15_18:03:14_302 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,641172194,-8.852016,0.743455,1.933027,6.570977,-11.991699,-9.735897,-0.531300,-0.489744,-0.364009,0.587690,
2,641188861,-8.805836,0.681445,1.889872,10.378419,-5.147259,-8.198155,-0.530098,-0.489488,-0.363455,0.589329,
3,641205528,-8.995285,0.760052,1.949163,14.365514,-1.827506,-6.477751,-0.528583,-0.489913,-0.362692,0.590806,
4,641222195,-9.308517,1.000703,2.111495,15.725781,-0.929857,-4.754976,-0.527067,-0.490608,-0.361755,0.592156,
5,641238862,-9.648944,1.409389,2.312625,14.186852,-0.309709,-3.386245,-0.525745,-0.491307,-0.360900,0.593272,
6,641255529,-9.829189,1.716908,2.386302,11.287655,1.255733,-3.080658,-0.524572,-0.491935,-0.360391,0.594098,
7,641272196,-9.811152,1.596583,2.396847,8.597140,1.422869,-2.672186,-0.523617,-0.492393,-0.360098,0.594740,
8,641288863,-9.506459,1.330527,2.345852,8.393789,0.445834,-1.198636,-0.522855,-0.492826,-0.359642,0.595327,
9,641305530,-9.163882,1.195670,2.336379,8.543906,0.924177,1.548256,-0.522295,-0.493456,-0.359011,0.595677,
10,641322197,-9.047124,0.957879,2.419717,9.891238,2.927411,4.518268,-0.521789,-0.494516,-0.358202,0.595729,
11,641338864,-9.077849,0.773682,2.489390,12.976448,1.707209,6.936905,-0.521333,-0.495829,-0.356858,0.595843,
12,641355531,-9.133917,0.819123,2.413260,16.275805,1.302631,7.506225,-0.520707,-0.497385,-0.355154,0.596111,
13,641372198,-9.179351,1.040511,2.326511,18.207880,-0.342903,5.471155,-0.519847,-0.498835,-0.353304,0.596749,
14,641388865,-9.249495,1.130506,2.415461,18.797602,-4.367125,1.690908,-0.518819,-0.499784,-0.351370,0.597991,
15,641405532,-9.281648,1.166061,2.486847,18.064550,-4.619820,-2.067383,-0.517527,-0.500459,-0.349751,0.599493,
16,641422199,-9.324821,1.235580,2.324329,17.077417,-1.333655,-5.369631,-0.515848,-0.501175,-0.348704,0.600950,
17,641438866,-9.432113,1.450749,2.166491,14.948964,-3.562462,-8.000672,-0.514204,-0.501400,-0.347864,0.602655,
18,641455533,-9.465696,1.629355,2.149372,11.291237,-8.659869,-9.964146,-0.512910,-0.500803,-0.347106,0.604689,
19,641472200,-9.476408,1.843656,2.119505,8.980852,-8.479938,-11.020220,-0.511678,-0.499992,-0.346638,0.606669,
20,641488867,-9.487020,2.037437,1.986505,8.118996,-4.629473,-10.975946,-0.510316,-0.499456,-0.346528,0.608318,
21,641505534,-9.573822,1.958724,1.910883,7.243742,-3.820802,-9.561891,-0.509100,-0.498996,-0.346450,0.609756,
22,641522201,-9.538339,1.798283,2.015935,5.885744,-8.003806,-5.494119,-0.508553,-0.498268,-0.345887,0.611126,
23,641538868,-9.562120,1.879394,2.251834,3.446477,-6.391509,-0.516928,-0.508543,-0.497753,-0.345299,0.611887,
24,641555535,-9.659068,1.975902,2.322183,0.129658,-2.547158,2.985859,-0.508891,-0.497510,-0.345036,0.611943,
25,641572202,-9.851654,2.060340,2.398252,-1.436168,-1.437475,4.839028,-0.509462,-0.497343,-0.344860,0.611703,
26,641588869,-9.902941,2.121680,2.488034,-2.559529,-2.261614,5.541327,-0.510218,-0.497055,-0.344672,0.611413,
27,641605536,-9.655214,1.984457,2.511177,-4.177445,-4.040597,6.846450,-0.511295,-0.496553,-0.344401,0.611073,
28,641622203,-9.389220,1.850615,2.498069,-5.001906,-3.613966,8.491734,-0.512556,-0.496110,-0.344116,0.610538,
29,641638870,-9.239941,1.844637,2.425618,-5.994872,-2.089958,9.541291,-0.513905,-0.495779,-0.343955,0.609763,
30,641655537,-9.260815,1.832710,2.414957,-7.962083,-2.355499,8.940905,-0.515354,-0.495247,-0.343991,0.608951,
31,641672204,-9.283058,1.722853,2.497804,-9.584519,-2.609820,7.142815,-0.516772,-0.494479,-0.344280,0.608209,
32,641688871,-9.360261,1.735447,2.545704,-10.081497,-1.564540,5.641027,-0.518039,-0.493690,-0.344799,0.607479,
33,641705538,-9.410391,1.701149,2.608625,-11.906712,-2.084888,3.980491,-0.519315,-0.492632,-0.345557,0.606817,
34,641722205,-9.394202,1.619743,2.701754,-12.871592,-4.390172,2.427106,-0.520637,-0.491218,-0.346336,0.606386,
35,641738872,-9.515163,1.612249,2.492507,-13.003307,-3.091775,1.729262,-0.521839,-0.489871,-0.347274,0.605906,
36,641755539,-9.704679,1.904665,2.183946,-15.592835,-5.321543,-0.613476,-0.523129,-0.488010,-0.348435,0.605628,
37,641772206,-9.735188,2.207587,2.066063,-18.465336,-8.613961,-4.469397,-0.524446,-0.485442,-0.349869,0.605727,
38,641788873,-9.744211,1.992749,1.892833,-16.381025,-11.891829,-8.091231,-0.525457,-0.482554,-0.351122,0.606433,
39,641805540,-9.061561,1.923604,2.342945,-17.482157,-22.409567,-7.967713,-0.527086,-0.478653,-0.351654,0.607801,
40,641822207,-7.828826,1.659653,3.826264,-19.041599,-28.770658,-5.037616,-0.529396,-0.474209,-0.351623,0.609293,
41,641838874,-7.464706,1.071147,3.756584,-20.648939,-3.905328,0.216114,-0.531000,-0.472105,-0.353281,0.608572,
42,641855541,-8.338566,0.537323,3.648567,-22.680660,-6.523493,7.550417,-0.533522,-0.469983,-0.354407,0.607352,
43,641872208,-8.890604,-0.501898,4.031019,-19.085018,-15.964307,17.668167,-0.537169,-0.467820,-0.353786,0.606168,
44,641888875,-9.470057,-1.045787,3.890839,-8.347653,-8.409892,27.265310,-0.540534,-0.467646,-0.352149,0.604262,
45,641905542,-9.401821,-0.851604,4.222574,5.053821,-11.900781,29.715933,-0.543370,-0.468335,-0.348887,0.603076,
46,641922209,-9.007640,-0.260590,3.780005,12.661754,2.232108,23.852585,-0.544447,-0.470559,-0.346467,0.601766,
47,641938876,-9.337109,0.469842,3.307389,15.643674,-0.071127,11.361879,-0.544338,-0.472184,-0.344455,0.601747,
48,641955543,-9.172642,0.901848,3.033938,10.953270,-1.992451,-1.785974,-0.543493,-0.472608,-0.343604,0.602664,
49,641972210,-9.307073,0.986413,3.047745,5.304514,-0.038163,-9.975369,-0.542220,-0.472346,-0.343963,0.603810,
50,641988877,-9.211279,0.821977,3.399749,-3.158701,-5.055092,-11.448550,-0.541648,-0.470901,-0.344771,0.604991,
51,642005544,-9.190329,0.480036,3.684801,-9.530083,-7.555611,-8.027295,-0.541936,-0.468902,-0.345706,0.605751,
52,642022211,-9.109278,0.463406,3.846159,-10.550738,-11.892179,-2.954953,-0.542955,-0.466694,-0.346041,0.606353,
53,642038878,-8.899138,0.564822,3.941223,-9.221104,-12.110295,1.294512,-0.544266,-0.464782,-0.345951,0.606697,
54,642055545,-8.664656,0.729057,3.892053,-7.297881,-9.516788,4.470052,-0.545595,-0.463408,-0.345680,0.606708,
55,642072212,-8.345559,0.764423,3.814241,-6.903344,-8.835618,7.145466,-0.547097,-0.462259,-0.345247,0.606479,
56,642088879,-7.903155,0.519470,3.687001,-7.983408,-4.302258,10.008087,-0.548695,-0.461565,-0.345076,0.605661,
57,642105546,-7.667410,0.089667,3.703470,-9.934266,3.169824,13.157581,-0.550323,-0.461530,-0.345460,0.603990,
58,642122213,-7.610591,-0.135840,3.697518,-11.494640,8.260142,16.509752,-0.552091,-0.461982,-0.346161,0.601625,
59,642138880,-7.698313,-0.236834,3.802245,-16.012625,4.693826,19.431496,-0.554591,-0.461900,-0.346770,0.599032,
