sep=,
DeviceTag:,DOT_Shank_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-15_18:03:14_319 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,641172194,0.285755,10.169031,0.023920,-26.989090,-2.862670,-28.119123,0.681562,0.638775,-0.258741,-0.245960,
2,641188861,0.402007,10.295351,0.352069,-23.853945,-2.342139,-26.365448,0.682779,0.637246,-0.255472,-0.249935,
3,641205528,0.521695,10.450532,0.742767,-22.531685,-3.213638,-25.178486,0.683864,0.635754,-0.252441,-0.253816,
4,641222195,0.579907,10.284101,0.708916,-22.550682,-1.823439,-24.250116,0.685018,0.634261,-0.249350,-0.257470,
5,641238862,0.394089,10.454961,0.345306,-22.273991,-3.767617,-24.682398,0.686042,0.632720,-0.246417,-0.261329,
6,641255529,0.478878,10.429948,0.616553,-24.367937,1.744456,-24.518551,0.687443,0.631158,-0.242862,-0.264733,
7,641272196,0.388980,10.343790,0.415714,-25.767942,2.463075,-23.624001,0.689012,0.629433,-0.239257,-0.268023,
8,641288863,0.122402,10.392137,0.408970,-27.208738,1.413629,-22.815729,0.690687,0.627476,-0.235768,-0.271370,
9,641305530,-0.019237,10.258595,0.283881,-27.466261,0.609130,-22.810043,0.692338,0.625442,-0.232343,-0.274790,
10,641322197,-0.101630,10.117457,0.004850,-25.397673,-1.207221,-23.601332,0.693687,0.623552,-0.229104,-0.278378,
11,641338864,0.060327,9.898067,-0.340643,-19.014868,9.505948,-26.022144,0.694697,0.622804,-0.224818,-0.281017,
12,641355531,-0.602759,10.264397,0.117934,-13.909307,9.729075,-26.824621,0.695201,0.622591,-0.220639,-0.283543,
13,641372198,-0.252188,10.298414,0.303759,-12.737197,3.733735,-26.599062,0.695399,0.622229,-0.217131,-0.286545,
14,641388865,-0.288138,10.653003,0.520368,-11.879070,9.471705,-26.686998,0.695682,0.622181,-0.213065,-0.289003,
15,641405532,-0.896431,10.838527,0.529767,-13.836380,-2.551750,-25.863924,0.695789,0.621391,-0.210203,-0.292520,
16,641422199,-1.007737,10.348017,0.152559,-15.284268,-15.826101,-26.394117,0.695580,0.619891,-0.208570,-0.297327,
17,641438866,-1.127539,9.773278,-0.254548,-14.609040,-24.527657,-28.319843,0.694941,0.618122,-0.207666,-0.303084,
18,641455533,-1.411838,9.575352,-0.584961,-9.398620,-32.233013,-28.558064,0.693561,0.616521,-0.207741,-0.309387,
19,641472200,-1.855673,9.591149,-0.343960,-2.203971,-47.536968,-27.107115,0.691100,0.614881,-0.209802,-0.316682,
20,641488867,-1.326868,9.615451,-0.050184,2.980255,-59.791012,-25.895439,0.687803,0.613112,-0.213424,-0.324768,
21,641505534,-0.724137,9.502398,0.677652,5.321472,-60.840675,-24.876766,0.684247,0.611439,-0.217334,-0.332743,
22,641522201,1.323818,9.732942,2.383182,3.181250,-45.260258,-27.226994,0.681207,0.610333,-0.219363,-0.339607,
23,641538868,2.070885,8.611090,0.533713,19.366234,41.939568,-33.621330,0.679152,0.615302,-0.212970,-0.338825,
24,641555535,1.518314,8.175423,-0.891332,39.558990,109.937630,-30.218697,0.677436,0.625395,-0.201121,-0.330932,
25,641572202,1.632797,7.373055,-1.333578,51.453861,145.473434,-22.658667,0.675763,0.637891,-0.186950,-0.318577,
26,641588869,0.860368,7.428102,-1.126821,58.804447,151.128021,-13.692752,0.673617,0.650787,-0.173296,-0.304446,
27,641605536,0.111469,7.925544,-1.028865,60.693199,137.609848,-3.652996,0.671048,0.662682,-0.161911,-0.290405,
28,641622203,-0.793882,8.545730,-0.407717,58.871540,110.581711,7.981071,0.668240,0.672717,-0.154143,-0.277759,
29,641638870,-0.682851,8.929903,0.055920,53.519424,72.183800,20.880001,0.665448,0.680221,-0.151115,-0.267665,
30,641655537,-0.225360,9.157794,0.540287,44.970592,36.981133,30.873207,0.663030,0.685220,-0.152129,-0.260240,
31,641672204,0.076889,9.172654,0.908306,36.871651,16.191940,37.964256,0.661179,0.688443,-0.155538,-0.254362,
32,641688871,0.435280,8.945858,0.521708,35.844753,14.083468,45.995937,0.659637,0.691262,-0.159906,-0.247930,
33,641705538,1.575616,8.458168,0.418194,37.497158,25.756655,53.203880,0.658405,0.694435,-0.163925,-0.239572,
34,641722205,2.452856,7.813344,0.427849,42.987522,51.440033,60.979069,0.657415,0.698751,-0.166439,-0.227714,
35,641738872,4.247326,7.506347,0.363774,49.789463,78.896431,68.697205,0.656510,0.704284,-0.167302,-0.212111,
36,641755539,6.516659,7.820682,1.126157,55.389389,101.097565,70.629822,0.655417,0.710760,-0.166362,-0.193844,
37,641772206,3.442668,7.793156,0.148773,52.985844,124.009064,81.625389,0.655145,0.717068,-0.164234,-0.172131,
38,641788873,-10.013000,10.916683,-6.220376,83.023163,128.565247,90.979889,0.651700,0.725706,-0.163303,-0.148233,
39,641805540,-39.071575,18.748167,2.127163,46.837437,10.694055,46.864845,0.648078,0.729152,-0.168045,-0.141761,
40,641822207,-20.943398,23.275475,4.623007,-78.020859,-319.042511,-39.743671,0.647069,0.715272,-0.191890,-0.181297,
41,641838874,18.782936,1.694829,4.487630,-25.352030,-243.818741,23.661081,0.643185,0.705268,-0.216293,-0.205256,
42,641855541,1.756611,12.275284,0.881375,2.764520,-24.023829,13.461602,0.642610,0.704314,-0.219796,-0.206607,
43,641872208,3.664210,11.667144,2.069469,-5.713913,7.206154,-6.788046,0.643288,0.704147,-0.218048,-0.206921,
44,641888875,-0.037007,10.975814,2.233729,-1.039534,34.277569,-9.207512,0.644263,0.705297,-0.213657,-0.204536,
45,641905542,-0.671307,11.850142,-0.508687,-0.327011,29.537451,-8.727722,0.645018,0.706340,-0.209776,-0.202566,
46,641922209,-0.552969,9.794250,-3.478631,3.630108,6.957223,-2.281349,0.644860,0.706884,-0.208790,-0.202187,
47,641938876,-2.208158,9.295163,-2.266753,6.491280,-6.744031,-2.625354,0.643980,0.707304,-0.209137,-0.203163,
48,641955543,-1.148856,9.327100,-1.943738,5.972823,-33.370678,0.704922,0.642433,0.706778,-0.212302,-0.206579,
49,641972210,0.099367,9.450760,-1.748693,7.176782,-27.381720,3.135983,0.641007,0.706455,-0.215189,-0.209111,
50,641988877,0.010448,9.805358,-0.668996,7.672348,-13.698836,4.839761,0.640003,0.706534,-0.216989,-0.210060,
51,642005544,0.061197,9.600434,0.135996,7.170784,-2.177567,5.736113,0.639439,0.706887,-0.217792,-0.209757,
52,642022211,-0.288983,9.562228,0.362640,6.727377,8.499200,6.368415,0.639277,0.707503,-0.217653,-0.208312,
53,642038878,-0.671840,9.657808,0.172022,7.395844,8.790150,7.691978,0.639094,0.708146,-0.217643,-0.206691,
54,642055545,-0.427562,9.751573,-0.119846,9.917315,2.220476,8.876390,0.638478,0.708787,-0.218440,-0.205557,
55,642072212,-0.779094,9.813841,-0.269750,14.272070,-1.431226,10.244366,0.637335,0.709676,-0.219847,-0.204533,
56,642088879,-0.526436,9.772635,0.103911,18.603378,-11.326419,10.698593,0.635437,0.710652,-0.222345,-0.204349,
57,642105546,0.223772,9.922157,-0.078151,21.796364,-10.731297,10.526313,0.633216,0.711938,-0.224862,-0.204013,
58,642122213,0.394687,9.987346,-0.799639,21.721922,-2.055551,9.297806,0.631243,0.713506,-0.226448,-0.202893,
59,642138880,0.365596,10.024635,-1.890664,21.386148,4.150436,7.124063,0.629439,0.715291,-0.227227,-0.201337,
60,642155547,0.610631,10.276142,-2.761654,18.938282,3.095382,4.316597,0.627767,0.716908,-0.227737,-0.200226,
61,642172214,0.791570,10.332460,-2.981126,11.605465,-5.586878,0.251628,0.626451,0.717734,-0.228401,-0.200634,
62,642188881,1.017906,10.501090,-3.244133,2.865557,-14.182417,-6.083700,0.625573,0.717720,-0.228931,-0.202806,
63,642205548,0.852561,10.816902,-3.479124,-5.473100,-20.157547,-15.011854,0.625096,0.717061,-0.228825,-0.206689,
64,642222215,1.389468,11.937160,-3.060374,-11.297394,-31.450628,-24.973419,0.624534,0.715845,-0.228525,-0.212843,
65,642238882,3.725773,13.543770,-2.985949,-14.813824,-29.132420,-40.555115,0.623901,0.714863,-0.226273,-0.220277,
66,642255549,4.323631,14.178021,-3.454442,-15.956202,0.269430,-56.469826,0.623801,0.715193,-0.219646,-0.226120,
