sep=,
DeviceTag:, DOT_Thigh_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-15_18:20:33_388 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1680253114,9.869333,-1.703452,-0.215763,-0.005545,-1.173715,1.500757,-0.016858,0.707092,-0.100157,0.699791,
2,1680269781,9.905294,-1.605513,-0.171780,0.282425,-1.333781,1.299492,-0.017086,0.707076,-0.099995,0.699825,
3,1680286448,9.889910,-1.650369,-0.181589,-1.736618,-2.344254,1.179407,-0.017114,0.707170,-0.100017,0.699726,
4,1680303115,9.889078,-1.666121,-0.175661,-2.119438,-1.820833,1.489718,-0.017128,0.707207,-0.100111,0.699674,
5,1680319782,9.934964,-1.693749,-0.261907,-1.505079,-1.387786,1.939451,-0.017240,0.707192,-0.100194,0.699675,
6,1680336449,9.927357,-1.647929,-0.202342,-1.176430,-1.219062,1.788362,-0.017383,0.707163,-0.100213,0.699698,
7,1680353116,9.896072,-1.650623,-0.210779,-2.070821,-2.209971,1.710436,-0.017433,0.707238,-0.100320,0.699607,
8,1680369783,9.886788,-1.711978,-0.224271,-1.947871,-2.336531,1.695413,-0.017490,0.707324,-0.100420,0.699504,
9,1680386450,9.929396,-1.668370,-0.204472,-2.519342,-1.689708,1.755424,-0.017511,0.707348,-0.100558,0.699459,
10,1680403117,9.938109,-1.661676,-0.236752,-1.522790,-1.098234,1.778104,-0.017596,0.707305,-0.100632,0.699489,
11,1680419784,9.869278,-1.677100,-0.183874,-3.742400,-1.239719,1.714188,-0.017470,0.707286,-0.100903,0.699473,
12,1680436451,9.884321,-1.712744,-0.251478,-2.349722,-1.342720,1.993276,-0.017508,0.707269,-0.101069,0.699465,
13,1680453118,9.878276,-1.762556,-0.204970,-1.456569,-2.422846,1.979183,-0.017633,0.707356,-0.101160,0.699360,
14,1680469785,9.943355,-1.709943,-0.189269,-1.110887,-1.538555,1.935507,-0.017780,0.707355,-0.101210,0.699352,
15,1680486452,9.894291,-1.698094,-0.168480,-2.665885,-0.980467,1.872378,-0.017760,0.707302,-0.101405,0.699377,
16,1680503119,9.902850,-1.696326,-0.238242,-2.668612,-1.477110,2.033219,-0.017744,0.707294,-0.101635,0.699352,
17,1680519786,9.877096,-1.676702,-0.170760,-3.995478,-2.016821,1.834272,-0.017598,0.707350,-0.101959,0.699251,
18,1680536453,9.907070,-1.807302,-0.246178,-2.838541,-3.131230,1.931813,-0.017609,0.707517,-0.102162,0.699053,
19,1680553120,9.907241,-1.755592,-0.257327,-0.699666,-1.075260,2.057713,-0.017818,0.707467,-0.102169,0.699097,
20,1680569787,9.866142,-1.718434,-0.152856,-2.290262,-1.843295,2.097584,-0.017871,0.707497,-0.102349,0.699039,
21,1680586454,9.878034,-1.648343,-0.222490,-0.379055,-1.647678,2.222664,-0.018139,0.707502,-0.102338,0.699029,
22,1680603121,9.922179,-1.565262,-0.163566,-2.152581,-2.515488,2.012345,-0.018198,0.707600,-0.102502,0.698904,
23,1680619788,9.967665,-1.627329,-0.260270,-2.932450,-1.575732,1.906142,-0.018174,0.707610,-0.102715,0.698864,
24,1680636455,9.908040,-1.687361,-0.212216,-4.832118,-0.913913,1.602836,-0.017895,0.707558,-0.103110,0.698864,
25,1680653122,9.891576,-1.734244,-0.208177,-4.415502,-1.039594,1.463708,-0.017658,0.707523,-0.103436,0.698858,
26,1680669789,9.878069,-1.779484,-0.210027,-3.654023,-1.573811,1.379340,-0.017507,0.707542,-0.103667,0.698809,
27,1680686456,9.892941,-1.872662,-0.350043,-1.696726,-1.752498,1.486644,-0.017574,0.707572,-0.103708,0.698770,
28,1680703123,9.890443,-1.771047,-0.233132,-1.382894,-0.832566,1.534284,-0.017651,0.707506,-0.103735,0.698831,
29,1680719790,9.866510,-1.697603,-0.242266,-2.186710,-1.371752,1.470124,-0.017671,0.707502,-0.103813,0.698824,
30,1680736457,9.893077,-1.702777,-0.252195,-1.793184,-2.164888,1.564597,-0.017689,0.707566,-0.103924,0.698742,
31,1680753124,9.894494,-1.779502,-0.282659,-2.387836,-1.467593,1.481009,-0.017684,0.707570,-0.104029,0.698722,
32,1680769791,9.923141,-1.759405,-0.286576,-1.194192,-0.788589,1.395476,-0.017717,0.707494,-0.104073,0.698792,
33,1680786458,9.841665,-1.786814,-0.246527,-3.072308,-0.759365,1.137927,-0.017598,0.707434,-0.104214,0.698835,
34,1680803125,9.844371,-1.773924,-0.205463,-2.735962,-2.154604,1.243990,-0.017532,0.707511,-0.104341,0.698739,
35,1680819792,9.880119,-1.765016,-0.278694,-1.581751,-1.176699,1.559205,-0.017599,0.707480,-0.104388,0.698762,
36,1680836459,9.844851,-1.710406,-0.263695,-1.376734,-0.874149,1.742631,-0.017695,0.707414,-0.104441,0.698818,
37,1680853126,9.926817,-1.691486,-0.275353,-2.946690,-1.327096,1.695503,-0.017640,0.707401,-0.104638,0.698803,
38,1680869793,9.884521,-1.721055,-0.256495,-3.932177,-1.187763,1.421242,-0.017477,0.707383,-0.104884,0.698789,
39,1680886460,9.891350,-1.784988,-0.302912,-2.022814,-1.594877,1.212435,-0.017468,0.707401,-0.104941,0.698762,
40,1680903127,9.883082,-1.832114,-0.247888,-1.013110,-0.861522,1.086805,-0.017549,0.707346,-0.104874,0.698826,
41,1680919794,9.876182,-1.722407,-0.229226,-1.515606,-0.866017,0.989105,-0.017568,0.707293,-0.104849,0.698883,
