sep=,
DeviceTag:,DOT_Thigh_L
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-15_17:57:29_164 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,296031958,9.515368,2.883960,-0.153448,20.188496,7.803864,2.196619,-0.490683,-0.639347,0.327497,-0.493163,
2,296048625,9.638245,2.972404,-0.045902,18.181023,7.201191,1.703765,-0.489438,-0.639976,0.325668,-0.494794,
3,296065292,9.727724,3.067659,0.209381,15.554154,7.678881,0.517806,-0.488543,-0.640434,0.323883,-0.496255,
4,296081959,9.474074,3.314112,0.221073,13.754870,10.164595,-1.839019,-0.488098,-0.640693,0.321827,-0.497695,
5,296098626,9.257747,3.439214,-0.328788,15.685268,7.563792,-4.302362,-0.487530,-0.641386,0.319588,-0.498801,
6,296115293,9.162627,3.426140,-1.025927,17.399706,3.857130,-5.602143,-0.486715,-0.642528,0.317357,-0.499550,
7,296131960,9.283935,3.258446,-1.067343,15.978159,-0.365289,-5.395692,-0.485817,-0.643864,0.315543,-0.499852,
8,296148627,9.683120,3.145415,-0.611984,10.349180,-0.600362,-3.316859,-0.485280,-0.644724,0.314344,-0.500022,
9,296165294,9.711262,3.203591,-0.065388,6.736699,3.151906,-2.185173,-0.485168,-0.645003,0.313247,-0.500458,
10,296181961,9.679445,3.580832,0.305494,7.785373,5.823119,-4.211357,-0.485228,-0.645252,0.311696,-0.501048,
11,296198628,9.604300,4.102241,0.523384,10.901204,8.110684,-7.748693,-0.485358,-0.645709,0.309427,-0.501739,
12,296215295,9.359228,4.533772,0.455689,13.308998,9.672311,-11.686271,-0.485615,-0.646395,0.306500,-0.502403,
13,296231962,8.918570,4.780440,0.091591,15.832261,10.001325,-14.913230,-0.485880,-0.647372,0.303057,-0.502978,
14,296248629,8.514938,4.842676,-0.198183,20.075443,4.959828,-16.112965,-0.485601,-0.649063,0.299538,-0.503175,
15,296265296,8.509509,4.891955,-0.105686,13.727061,-3.665426,-14.565578,-0.485424,-0.650863,0.297232,-0.502388,
16,296281963,8.745998,4.664326,0.058453,-2.147691,-12.059429,-9.480830,-0.486009,-0.651933,0.297154,-0.500478,
17,296298630,9.081800,3.911827,0.168178,-17.513498,-16.144547,-2.997204,-0.487399,-0.651927,0.299096,-0.497970,
18,296315297,9.517393,2.969755,0.144831,-23.187006,-14.630653,2.106157,-0.489017,-0.651179,0.301821,-0.495714,
19,296331964,9.907608,2.394835,0.092374,-18.319496,-8.031706,6.125638,-0.490169,-0.650116,0.304104,-0.494575,
20,296348631,9.760056,2.077005,-0.308952,-3.579133,-0.842991,9.551779,-0.489999,-0.649430,0.305141,-0.495006,
21,296365298,9.336226,2.129293,-0.830686,19.088596,3.041174,11.002013,-0.487758,-0.650008,0.304413,-0.496905,
22,296381965,9.084938,2.508092,-0.784743,32.523724,2.462895,10.043720,-0.484277,-0.651617,0.302650,-0.499274,
23,296398632,9.085622,2.946938,-0.410314,34.570774,0.438024,8.616592,-0.480603,-0.653564,0.300738,-0.501429,
24,296415299,9.205115,3.438796,-0.228246,32.552578,-1.716211,7.631929,-0.477082,-0.655558,0.299016,-0.503215,
25,296431966,9.306817,3.901917,-0.305709,30.401743,-2.159747,5.816696,-0.473867,-0.657502,0.297297,-0.504733,
26,296448633,9.404547,4.133935,-0.309368,24.987261,-2.508039,3.289914,-0.471330,-0.659199,0.295753,-0.505801,
27,296465300,9.411712,4.130756,-0.315310,16.832842,-2.895275,2.268051,-0.469627,-0.660404,0.294729,-0.506410,
