sep=,
DeviceTag:,DOT_Shank_R
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-15_18:19:32_848 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1619701903,1.927277,9.676597,-0.413736,0.955514,-0.574301,2.544103,0.558462,0.493721,-0.530080,-0.404198,
2,1619718570,1.969055,9.702661,-0.456025,0.987824,-0.570997,2.126757,0.558441,0.493625,-0.530145,-0.404258,
3,1619735237,1.874086,9.761879,-0.391986,0.998453,-1.104560,2.106946,0.558374,0.493496,-0.530257,-0.404362,
4,1619751904,1.849889,9.751037,-0.352654,0.901881,-1.360969,2.217887,0.558301,0.493336,-0.530391,-0.404482,
5,1619768571,1.911415,9.724776,-0.345972,1.009249,-1.277587,2.392899,0.558239,0.493179,-0.530535,-0.404570,
6,1619785238,1.968439,9.725411,-0.430499,1.212685,-0.413389,2.108284,0.558216,0.493116,-0.530595,-0.404600,
7,1619801905,1.913886,9.731878,-0.400489,1.524052,-0.036921,1.784610,0.558173,0.493115,-0.530630,-0.404614,
8,1619818572,1.892396,9.728224,-0.436291,1.349930,-0.741430,1.712004,0.558088,0.493070,-0.530701,-0.404693,
9,1619835239,1.948977,9.719483,-0.448142,1.095731,-1.620336,1.471956,0.557937,0.492969,-0.530814,-0.404877,
10,1619851906,1.948213,9.706117,-0.357623,0.968199,-1.546037,1.166876,0.557785,0.492887,-0.530889,-0.405087,
11,1619868573,1.946489,9.734329,-0.353641,1.499182,-0.206016,0.885181,0.557682,0.492949,-0.530866,-0.405183,
12,1619885240,1.904343,9.747399,-0.432209,1.790513,0.286984,0.999324,0.557602,0.493054,-0.530829,-0.405213,
13,1619901907,1.879886,9.722293,-0.457890,1.578415,-0.373279,0.865933,0.557486,0.493122,-0.530816,-0.405308,
14,1619918574,1.926051,9.718965,-0.505421,1.189294,-1.591586,0.634036,0.557285,0.493099,-0.530868,-0.405545,
15,1619935241,1.900376,9.758391,-0.380489,1.330624,-1.156426,0.517063,0.557100,0.493122,-0.530884,-0.405751,
16,1619951908,1.860505,9.730343,-0.410954,1.352190,-1.069138,0.788762,0.556929,0.493121,-0.530922,-0.405935,
17,1619968575,1.933119,9.727234,-0.356074,1.534386,-0.734892,0.804040,0.556780,0.493164,-0.530936,-0.406070,
18,1619985242,1.887058,9.753349,-0.386036,1.458650,-0.693592,0.652349,0.556633,0.493218,-0.530929,-0.406217,
19,1620001909,1.862802,9.763258,-0.444379,1.474555,-0.580896,0.617990,0.556482,0.493271,-0.530921,-0.406368,
20,1620018576,1.782918,9.731254,-0.423218,0.916198,-1.645603,0.704983,0.556296,0.493211,-0.530971,-0.406631,
21,1620035243,1.846454,9.701343,-0.456766,0.586230,-2.545134,0.869814,0.556076,0.493061,-0.531083,-0.406967,
22,1620051910,1.895980,9.727229,-0.451030,0.598626,-2.384978,0.812953,0.555860,0.492921,-0.531183,-0.407300,
23,1620068577,1.962890,9.718072,-0.386670,0.968371,-1.205372,0.500145,0.555685,0.492899,-0.531193,-0.407552,
24,1620085244,1.904787,9.726947,-0.384099,1.373462,-0.507516,0.351028,0.555532,0.492969,-0.531154,-0.407727,
25,1620101911,1.758945,9.780054,-0.328578,1.610764,-0.555296,0.603570,0.555371,0.493034,-0.531153,-0.407870,
26,1620118578,1.730281,9.735807,-0.351369,1.448597,-0.996078,1.316768,0.555229,0.493003,-0.531229,-0.408000,
27,1620135245,1.795103,9.725761,-0.391919,1.410421,-1.238758,1.650617,0.555098,0.492937,-0.531340,-0.408115,
28,1620151912,1.869029,9.728884,-0.432507,1.338065,-0.899621,1.572511,0.554992,0.492891,-0.531414,-0.408218,
29,1620168579,1.929562,9.715189,-0.427063,1.426384,-0.185295,1.311703,0.554933,0.492931,-0.531401,-0.408267,
30,1620185246,1.867424,9.731020,-0.403092,1.390546,0.441986,0.977030,0.554893,0.493016,-0.531326,-0.408316,
31,1620201913,1.830064,9.755455,-0.402246,1.645757,0.270534,1.023919,0.554820,0.493103,-0.531288,-0.408360,
32,1620218580,1.804788,9.749762,-0.384432,1.657379,0.512196,1.265415,0.554784,0.493192,-0.531243,-0.408360,
33,1620235247,1.835701,9.717303,-0.419966,1.796084,0.443708,1.290566,0.554730,0.493281,-0.531218,-0.408358,
34,1620251914,1.834030,9.780729,-0.422701,1.850498,0.095081,1.297008,0.554653,0.493362,-0.531217,-0.408366,
35,1620268581,1.786662,9.764876,-0.442175,1.830444,-0.448299,1.688703,0.554553,0.493372,-0.531293,-0.408391,
36,1620285248,1.751358,9.775833,-0.384280,1.954819,-1.074453,2.362112,0.554437,0.493305,-0.531474,-0.408394,
37,1620301915,1.781414,9.721433,-0.390921,2.140537,-0.992569,2.757931,0.554337,0.493225,-0.531689,-0.408348,
38,1620318582,1.821590,9.720847,-0.417931,2.194438,-0.675164,2.936259,0.554271,0.493160,-0.531889,-0.408254,
39,1620335249,1.863270,9.731314,-0.387090,2.431855,-0.331428,2.973872,0.554220,0.493135,-0.532075,-0.408111,
40,1620351916,1.847032,9.753243,-0.394711,2.739695,0.082787,2.895305,0.554170,0.493159,-0.532247,-0.407927,
41,1620368583,1.867001,9.727703,-0.473436,2.730730,0.019920,2.943777,0.554117,0.493174,-0.532427,-0.407745,
42,1620385250,1.851521,9.726645,-0.497273,2.629445,0.066382,2.872855,0.554066,0.493182,-0.532598,-0.407581,
43,1620401917,1.870685,9.724202,-0.519812,2.386713,-0.083869,2.711444,0.554000,0.493160,-0.532769,-0.407474,
44,1620418584,1.872826,9.734522,-0.461783,2.307723,-0.320825,2.488959,0.553925,0.493158,-0.532917,-0.407385,
45,1620435251,1.863982,9.731342,-0.476791,2.320606,-0.362202,2.349395,0.553834,0.493159,-0.533065,-0.407314,
46,1620451918,1.826488,9.730156,-0.426060,2.322694,-0.362343,2.329648,0.553756,0.493181,-0.533194,-0.407225,
47,1620468585,1.878999,9.736544,-0.443687,2.116282,-0.567181,2.244819,0.553653,0.493156,-0.533343,-0.407199,
48,1620485252,1.882972,9.739001,-0.500815,1.969457,-0.520412,1.989396,0.553571,0.493171,-0.533435,-0.407172,
49,1620501919,1.902469,9.699054,-0.503807,1.746280,-0.570190,1.556580,0.553460,0.493178,-0.533506,-0.407222,
50,1620518586,1.900393,9.714654,-0.514443,1.656556,-0.481612,1.178287,0.553345,0.493219,-0.533532,-0.407296,
51,1620535253,1.911244,9.717796,-0.510232,1.536525,-0.208884,0.901240,0.553232,0.493273,-0.533521,-0.407396,
52,1620551920,1.869810,9.747842,-0.473410,1.476374,-0.013191,0.706558,0.553133,0.493357,-0.533470,-0.407496,
53,1620568587,1.877339,9.739407,-0.474791,1.552802,0.028590,0.607873,0.553027,0.493458,-0.533413,-0.407593,
54,1620585254,1.864694,9.735467,-0.463841,1.525281,0.057353,0.463852,0.552912,0.493565,-0.533345,-0.407707,
55,1620601921,1.850513,9.746283,-0.498457,1.494264,0.265264,0.396606,0.552818,0.493694,-0.533248,-0.407806,
