sep=,
DeviceTag:,DOT_Shank_L
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2026-09-15_18:19:32_849 GMT+8
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1619701903,-1.629994,9.540861,-0.099581,-1.654414,1.637106,1.705402,0.312159,0.199789,0.681775,0.630733,
2,1619718570,-1.683733,9.531853,-0.066290,-1.842040,1.321135,1.768218,0.312177,0.199896,0.681731,0.630738,
3,1619735237,-1.691439,9.543761,-0.091881,-1.930416,0.768349,1.942550,0.312216,0.200045,0.681655,0.630753,
4,1619751904,-1.685361,9.556357,-0.146745,-2.027770,0.673915,2.379119,0.312248,0.200263,0.681547,0.630785,
5,1619768571,-1.633124,9.578874,-0.137264,-2.196469,1.049077,2.434366,0.312237,0.200439,0.681441,0.630849,
6,1619785238,-1.619276,9.534476,-0.105658,-2.226871,1.336541,2.252835,0.312197,0.200551,0.681355,0.630925,
7,1619801905,-1.608894,9.551307,-0.051886,-2.318192,1.291270,2.078605,0.312199,0.200665,0.681259,0.630993,
8,1619818572,-1.637112,9.527802,-0.071917,-2.446474,1.079723,2.109507,0.312205,0.200777,0.681146,0.631076,
9,1619835239,-1.660394,9.546329,-0.078038,-2.739688,1.038563,2.255640,0.312232,0.200916,0.680992,0.631184,
10,1619851906,-1.665552,9.576743,-0.129014,-2.826900,0.741801,2.557934,0.312217,0.201060,0.680824,0.631328,
11,1619868573,-1.637890,9.552392,-0.094931,-3.059360,0.905902,2.640637,0.312226,0.201230,0.680625,0.631483,
12,1619885240,-1.598709,9.530816,-0.102050,-3.117911,0.902534,2.598581,0.312232,0.201384,0.680425,0.631646,
13,1619901907,-1.606511,9.525095,-0.091481,-3.238995,1.163668,2.469903,0.312216,0.201483,0.680234,0.631829,
