participant_id,activity,sensor,source_file,curated_file,row_count,output_rate,start_time,first_sample_time,last_sample_time,packet_integrity,synchronization_status,inclusion_status,exclusion_reason,notes
P01,standing,pelvis,PrePilot_Test/Standing/Pelvis/ DOT_Pelvis_P01.csv,data/raw/xsens_imu/pre_pilot/standing/P01/pelvis.csv,638,60Hz,2026-09-15_17:57:29_148 GMT+8,296031958,306648837,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,standing,thigh_l,PrePilot_Test/Standing/Shank_Left/DOT_Thigh_L_P01.csv,data/raw/xsens_imu/pre_pilot/standing/P01/thigh_l.csv,634,60Hz,2026-09-15_17:57:29_164 GMT+8,296031958,306582169,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,standing,thigh_r,PrePilot_Test/Standing/Thigh_Right/ DOT_Thigh_R_P01.csv,data/raw/xsens_imu/pre_pilot/standing/P01/thigh_r.csv,639,60Hz,2026-09-15_17:57:29_161 GMT+8,296015291,306648837,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,standing,shank_l,PrePilot_Test/Standing/Thigh_Lef/DOT_Shank_L_P01.csv,data/raw/xsens_imu/pre_pilot/standing/P01/shank_l.csv,641,60Hz,2026-09-15_17:57:29_169 GMT+8,296031958,306698838,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,standing,shank_r,PrePilot_Test/Standing/Shank_Right/DOT_Shank_R_P01.csv,data/raw/xsens_imu/pre_pilot/standing/P01/shank_r.csv,641,60Hz,2026-09-15_17:57:29_167 GMT+8,296015291,306682171,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,squat,pelvis,PrePilot_Test/SQUAT/Pelvis/ DOT_Pelvis_P01.csv,data/raw/xsens_imu/pre_pilot/squat/P01/pelvis.csv,618,60Hz,2026-09-15_18:03:14_302 GMT+8,641172194,651455733,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,squat,thigh_l,PrePilot_Test/SQUAT/Thigh_left/DOT_Thigh_L_P01.csv,data/raw/xsens_imu/pre_pilot/squat/P01/thigh_l.csv,618,60Hz,2026-09-15_18:03:14_316 GMT+8,641172194,651455733,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,squat,thigh_r,PrePilot_Test/SQUAT/Thigh right/ DOT_Thigh_R_P01.csv,data/raw/xsens_imu/pre_pilot/squat/P01/thigh_r.csv,617,60Hz,2026-09-15_18:03:14_314 GMT+8,641172194,651439066,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,squat,shank_l,PrePilot_Test/SQUAT/Shank_left/DOT_Shank_L_P01.csv,data/raw/xsens_imu/pre_pilot/squat/P01/shank_l.csv,618,60Hz,2026-09-15_18:03:14_321 GMT+8,641172194,651455733,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,squat,shank_r,PrePilot_Test/SQUAT/Shank_right/DOT_Shank_R_P01.csv,data/raw/xsens_imu/pre_pilot/squat/P01/shank_r.csv,617,60Hz,2026-09-15_18:03:14_319 GMT+8,641172194,651439066,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,high_knee_hops,pelvis,PrePilot_Test/HIGH KNEE HOPS/PELVIS/ DOT_Pelvis_P03(1).csv,,684,60Hz,2026-09-15_17:58:36_144 GMT+8,363016631,374400192,OK,,EXCLUDED_AMBIGUOUS,Non-empty pelvis export time-aligns with P01 high_knee_hops but source filename maps to P03; participant identity cannot be established confidently,Requires manual review before assigning to P01; not copied into curated dataset
P01,high_knee_hops,thigh_l,PrePilot_Test/HIGH KNEE HOPS/LEFT KNEE/DOT_Thigh_L_P01.csv,data/raw/xsens_imu/pre_pilot/high_knee_hops/P01/thigh_l.csv,691,60Hz,2026-09-15_17:58:36_159 GMT+8,363016631,374516861,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,high_knee_hops,thigh_r,PrePilot_Test/HIGH KNEE HOPS/RIGHT KNEE/ DOT_Thigh_R_P01.csv,data/raw/xsens_imu/pre_pilot/high_knee_hops/P01/thigh_r.csv,691,60Hz,2026-09-15_17:58:36_156 GMT+8,363016631,374516861,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,high_knee_hops,shank_l,PrePilot_Test/HIGH KNEE HOPS/LEFT SHANK/DOT_Shank_L_P01.csv,data/raw/xsens_imu/pre_pilot/high_knee_hops/P01/shank_l.csv,691,60Hz,2026-09-15_17:58:36_164 GMT+8,363016631,374516861,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,high_knee_hops,shank_r,PrePilot_Test/HIGH KNEE HOPS/RIGHT SHANK/DOT_Shank_R_P01.csv,data/raw/xsens_imu/pre_pilot/high_knee_hops/P01/shank_r.csv,691,60Hz,2026-09-15_17:58:36_162 GMT+8,363016631,374516861,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,jogging,pelvis,PrePilot_Test/Jogging/PELVIS/ DOT_Pelvis_P01.csv,data/raw/xsens_imu/pre_pilot/jogging/P01/pelvis.csv,7223,60Hz,2026-09-15_18:07:21_949 GMT+8,888793813,1009162887,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
P01,jogging,thigh_l,PrePilot_Test/Jogging/Thigh_left/DOT_Thigh_L_P01.csv,data/raw/xsens_imu/pre_pilot/jogging/P01/thigh_l.csv,7218,60Hz,2026-09-15_18:07:21_965 GMT+8,888827147,1009112886,OK,ALIGNABLE,INCLUDED,,Selected from best synchronized session cluster
