filename,relative_path,device_tag,activity,start_time,start_time_iso,output_rate,output_rate_hz,row_count,packet_first,packet_last,packet_min,packet_max,missing_packet_count,missing_packet_preview,duplicate_packet_count,duplicate_packet_preview,sample_time_first,sample_time_last,sample_time_min,sample_time_max,expected_sample_time_step_for_rate,observed_sample_time_steps,abnormal_time_gap_count,abnormal_time_gap_preview,columns,schema_ok
SHANK_L_JOGGING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_L_JOGGING.csv,DOT_Shank_L,JOGGING,2026-09-13_17:24:02_479 GMT+8,2026-09-13T17:24:02.479,60Hz,60.0,3472,1,3472,1,3472,0,,0,,1906607838,1964458995,1906607838,1964458995,16667,16667,0,,PacketCounter|SampleTimeFine|Acc_X|Acc_Y|Acc_Z|Gyr_X|Gyr_Y|Gyr_Z|Quat_W|Quat_X|Quat_Y|Quat_Z,True
SHANK_L_SQUAT.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_L_SQUAT.csv,DOT_Shank_L,SQUAT,2026-09-13_17:37:05_231 GMT+8,2026-09-13T17:37:05.231,60Hz,60.0,1130,1,1130,1,1130,0,,0,,2689404800,2708221843,2689404800,2708221843,16667,16667,0,,PacketCounter|SampleTimeFine|Acc_X|Acc_Y|Acc_Z|Gyr_X|Gyr_Y|Gyr_Z|Quat_W|Quat_X|Quat_Y|Quat_Z,True
SHANK_L_STANDING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_L_STANDING.csv,DOT_Shank_L,STANDING,2026-09-13_17:30:14_365 GMT+8,2026-09-13T17:30:14.365,60Hz,60.0,998,1,1002,1,1002,4,113;114;115;126,0,,2278529916,2295213583,2278529916,2295213583,16667,16667;33334;66668,2,112->113:66668;122->123:33334,PacketCounter|SampleTimeFine|Acc_X|Acc_Y|Acc_Z|Gyr_X|Gyr_Y|Gyr_Z|Quat_W|Quat_X|Quat_Y|Quat_Z,True
SHANK_R_JOGGING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_R_JOGGING.csv,DOT_Shank_R,JOGGING,2026-09-13_17:38:21_420 GMT+8,2026-09-13T17:38:21.420,60Hz,60.0,1457,1,1457,1,1457,0,,0,,2765606324,2789873476,2765606324,2789873476,16667,16667,0,,PacketCounter|SampleTimeFine|Acc_X|Acc_Y|Acc_Z|Gyr_X|Gyr_Y|Gyr_Z|Quat_W|Quat_X|Quat_Y|Quat_Z,True
SHANK_R_SQUAT.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_R_SQUAT.csv,DOT_Shank_R,SQUAT,2026-09-13_17:37:05_233 GMT+8,2026-09-13T17:37:05.233,60Hz,60.0,1132,1,1132,1,1132,0,,0,,2689404800,2708255177,2689404800,2708255177,16667,16667,0,,PacketCounter|SampleTimeFine|Acc_X|Acc_Y|Acc_Z|Gyr_X|Gyr_Y|Gyr_Z|Quat_W|Quat_X|Quat_Y|Quat_Z,True
SHANK_R_STANDING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/SHANK_R_STANDING.csv,DOT_Shank_R,STANDING,2026-09-13_17:30:14_368 GMT+8,2026-09-13T17:30:14.368,60Hz,60.0,1002,1,1002,1,1002,0,,0,,2278529916,2295213583,2278529916,2295213583,16667,16667,0,,PacketCounter|SampleTimeFine|Acc_X|Acc_Y|Acc_Z|Gyr_X|Gyr_Y|Gyr_Z|Quat_W|Quat_X|Quat_Y|Quat_Z,True
THIGH__L_JOGGING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/THIGH__L_JOGGING.csv,DOT_Thigh_L,JOGGING,2026-09-13_17:24:02_471 GMT+8,2026-09-13T17:24:02.471,60Hz,60.0,3470,1,3470,1,3470,0,,0,,1906624505,1964442328,1906624505,1964442328,16667,16667,0,,PacketCounter|SampleTimeFine|Acc_X|Acc_Y|Acc_Z|Gyr_X|Gyr_Y|Gyr_Z|Quat_W|Quat_X|Quat_Y|Quat_Z,True
THIGH__R_JOGGING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/THIGH__R_JOGGING.csv,DOT_Thigh_R,JOGGING,2026-09-13_17:38:21_419 GMT+8,2026-09-13T17:38:21.419,60Hz,60.0,1458,1,1458,1,1458,0,,0,,2765606324,2789890143,2765606324,2789890143,16667,16667,0,,PacketCounter|SampleTimeFine|Acc_X|Acc_Y|Acc_Z|Gyr_X|Gyr_Y|Gyr_Z|Quat_W|Quat_X|Quat_Y|Quat_Z,True
THIGH_L_SQUAT.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/THIGH_L_SQUAT.csv,DOT_Thigh_L,SQUAT,2026-09-13_17:37:05_224 GMT+8,2026-09-13T17:37:05.224,60Hz,60.0,1132,1,1132,1,1132,0,,0,,2689404800,2708255177,2689404800,2708255177,16667,16667,0,,PacketCounter|SampleTimeFine|Acc_X|Acc_Y|Acc_Z|Gyr_X|Gyr_Y|Gyr_Z|Quat_W|Quat_X|Quat_Y|Quat_Z,True
THIGH_L_STANDING.csv,C:/Users/simon/Documents/thesis/data/raw/xsens_imu/pre_pilot/THIGH_L_STANDING.csv,DOT_Thigh_L,STANDING,2026-09-13_17:30:14_358 GMT+8,2026-09-13T17:30:14.358,60Hz,60.0,1003,1,1003,1,1003,0,,0,,2278513249,2295213583,2278513249,2295213583,16667,16667,0,,PacketCounter|SampleTimeFine|Acc_X|Acc_Y|Acc_Z|Gyr_X|Gyr_Y|Gyr_Z|Quat_W|Quat_X|Quat_Y|Quat_Z,True
