SampleTimeFine,PacketCounter_thigh,PacketCounter_shank,time_observed_60hz_s,thigh_orientation_change_deg,shank_orientation_change_deg,knee_flexion_estimate_deg,relative_rotvec_x_deg,relative_rotvec_y_deg,relative_rotvec_z_deg
2689404800,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2689421467,2,2,0.016666666666666666,0.043983026599301776,0.03261192586558409,0.0022426941008620942,0.012999807004559959,0.030357282701560042,-0.004034905155006848
2689438134,3,3,0.03333333333333333,0.12659801393458078,0.07528523794439525,0.0323421737654941,0.06917169623438055,0.07220376236490346,0.007015036790550531
2689454801,4,4,0.05,0.22515846685337734,0.12378883484385951,0.08544054395970044,0.14448758045304103,0.10293583943240825,0.03720491639403572
2689471468,5,5,0.06666666666666667,0.3420108185215391,0.18177338031691562,0.15981967973802197,0.2372372500726239,0.11862974884521886,0.0855674129568509
2689488135,6,6,0.08333333333333333,0.4926816343188349,0.25364689462382195,0.25726945308420174,0.3540978338775428,0.14134719116598154,0.15018650955418184
2689504802,7,7,0.1,0.6252775555283866,0.3415078606312797,0.34760074436404026,0.43889258252804186,0.1550686771706325,0.21787300559207617
2689521469,8,8,0.11666666666666667,0.7197213778654256,0.43397094772776473,0.41321955434367413,0.48022856879229847,0.15656091419880253,0.2739189953857706
2689538136,9,9,0.13333333333333333,0.7791632079461077,0.5124575170594444,0.4586711987128707,0.5064815371479657,0.1577017823408067,0.31345998754343607
2689554803,10,10,0.15,0.8021862882564014,0.5759331993332638,0.49350171083898675,0.5190503565773683,0.15401641351792655,0.34643450341878473
2689571470,11,11,0.16666666666666666,0.8035922703613197,0.6308684224839012,0.5172218540959508,0.513759020421442,0.15232097381637993,0.3730682140127243
2689588137,12,12,0.18333333333333332,0.7997584325073008,0.7058074499863736,0.5430222588388139,0.46736766699555327,0.15690540402351036,0.4139736880400854
2689604804,13,13,0.2,0.8023072976161736,0.7372738204059922,0.5767443941622993,0.4927551692831399,0.13400856009458587,0.4433822195878851
2689621471,14,14,0.21666666666666667,0.7978971485811287,0.7589934733676147,0.599711687037872,0.516430454935542,0.14875578295361466,0.45905176090412564
2689638138,15,15,0.23333333333333334,0.7917661578991219,0.7842645582340318,0.612413695908694,0.4902017574597999,0.18768407984064822,0.4773222118426702
2689654805,16,16,0.25,0.7770914045531297,0.8383599353869531,0.5945915203010796,0.36009070816965666,0.22147646606407168,0.4958001541796071
2689671472,17,17,0.26666666666666666,1.282365181105573,0.9031807421277959,1.133351052396915,0.4847544854522313,-0.6036082581148051,1.088081992064171
2689688139,18,18,0.2833333333333333,0.8118411214391198,0.9284530717864183,0.8278363716695081,-0.3255602442516304,-0.5414083330349551,1.0108868980037273
2689704806,19,19,0.3,0.7476231079670211,0.959111653931669,0.5455026699761434,-0.7419210669718759,-0.47640913634583604,0.8371284267093974
2689721473,20,20,0.31666666666666665,0.2067717034735056,1.0884031042119193,0.23879762201443597,-0.9103594567371341,0.4969345781697805,0.48989366931737993
2689738140,21,21,0.3333333333333333,0.2331922090618649,1.2856440601254344,0.09533015207541064,-1.0203801185437935,0.5405277388796511,0.36965926789239817
2689754807,22,22,0.35,0.204017359670123,1.517068011327347,-0.12526198409882636,-1.4490747896426082,0.5599635588135279,0.26804646433809454
