PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,2765606324,-11.094836,-62.059307,2.16645,-25.821499,68.669571,-139.367767,-0.254118,-0.654416,-0.353284,0.618354,-11.0988256955043,-62.0664573147449,2.1639405158858276,-25.76179462433829,68.67674285975261,-139.35504829034622
2,2765622991,-42.21122,-20.802887,28.126329,-52.959217,-206.562805,-287.20874,-0.243579,-0.618063,-0.377534,0.645092,-16.868070385147547,-25.315027061945656,9.139727831365247,-47.2483735459096,-48.78294599695259,-186.26853857315854
3,2765639658,-16.238644,15.704725,7.968554,29.764725,-79.683571,-139.824188,-0.232057,-0.603599,-0.384652,0.658686,-17.302962349535726,-2.6447574852984705,11.471191495909796,-62.08246504757154,-111.36710971314979,-198.7436137712664
4,2765656325,0.21495,-6.750216,1.084197,-170.098785,-65.091667,-175.582077,-0.233611,-0.5812,-0.414168,0.660382,-12.862856463739844,1.869535460356965,8.416424399878418,-60.97329616400645,-105.61815739847978,-166.13502055684387
5,2765672992,-8.382072,-18.430666,1.164069,-39.600639,-36.024693,-102.381638,-0.229218,-0.569945,-0.425611,0.664443,-9.003037382229778,-4.642924843178413,2.916636164669736,-37.81170157655238,-60.42686191814502,-105.5448137999391
6,2765689659,-12.925421,-9.325255,1.080521,56.956867,-22.882256,-44.165092,-0.221586,-0.566665,-0.423245,0.671313,-10.357215438619525,-11.34779391821425,-1.6649858182249075,3.157818493829435,-14.318260296723412,-46.426522564908105
7,2765706326,-16.444027,-5.045253,-0.82605,61.150848,-6.00152,-7.819163,-0.216096,-0.56735,-0.417975,0.675811,-16.549194948520295,-11.86697089240116,-3.8672515734441895,50.03194409613788,12.966297320746786,-11.108906411821717
8,2765722993,-24.145611,-5.498728,-5.243859,55.990833,14.143227,-2.597389,-0.210304,-0.570128,-0.413385,0.67812,-23.158390748960034,-6.484908119209482,-3.9457866452129258,92.35095886739714,22.906223700133907,-4.274786244748723
9,2765739660,-29.216684,-0.824238,-4.787475,114.611366,33.876293,-21.651119,-0.196547,-0.575393,-0.405119,0.682772,-25.799733939413827,0.9634853989218544,-2.730191213935921,124.6662397250866,24.224935343118684,-15.045700330248279
10,2765756327,-20.955832,6.238791,-0.021488,160.975723,27.75169,-29.097723,-0.178446,-0.580682,-0.392519,0.690581,-23.332361891109144,6.863511678990311,-1.0962408551124352,143.50575807989358,21.612718855861136,-27.690082129631428
11,2765772994,-16.512379,7.890621,0.294076,156.992401,11.227262,-36.105404,-0.160821,-0.583483,-0.380262,0.699352,-17.987482009727348,9.475328264806278,0.028098298401693533,146.45347784753307,14.62136369091813,-32.979696885317736
