PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,1906624505,-11.465963,-0.977176,-2.477989,100.968239,27.911903,-72.155151,0.313362,0.396393,0.641531,-0.577171,-11.474327164236993,-1.0077852544852226,-2.4825972086167916,101.27035932265582,28.103848995598952,-72.18688873026164
2,1906641172,-8.784793,-1.092075,-2.745224,60.336056,47.36079,-31.300257,0.30263,0.400098,0.640577,-0.581385,-9.49441826428418,-1.679509812135704,-3.5432409803720653,105.84922255222114,42.10808641510075,-33.17560855869779
3,1906657839,-8.568574,-0.326947,-2.915538,60.068802,55.12701,8.440731,0.294503,0.408097,0.637589,-0.583281,-7.784879080284774,0.7679120860414743,-4.183967335456013,98.75150594700986,57.376433340434644,-0.3339175716580254
4,1906674506,-5.675048,3.052709,-3.124277,89.625084,64.085518,32.523838,0.285774,0.420268,0.63091,-0.586235,-6.291976581789557,6.423821076091991,-3.613811313652633,63.4934773945748,71.01942369520356,26.221290928508196
5,1906691173,-4.605129,10.955653,-2.089275,73.106224,65.15815,43.114162,0.278787,0.432704,0.624871,-0.587021,-4.561714822450128,11.714890464029134,-1.1850766856555568,-8.363231715173011,75.22995596012339,51.423881268101134
6,1906707840,-0.840737,18.276464,-1.523714,-111.804039,82.315704,57.037083,0.282965,0.440216,0.634212,-0.569145,-2.086640792949467,11.893477199628709,2.4509330326710983,-97.8041394278197,62.753534881972,77.4551183103835
7,1906724507,-1.482907,6.580278,4.935573,-257.94693,41.150913,100.121796,0.303557,0.44181,0.650515,-0.538051,1.049102404787373,5.020702432250981,5.018184036571734,-161.07486563166262,35.34236246557464,97.49729478405908
8,1906741174,3.608911,-9.175051,8.521074,-106.073143,16.83309,123.858322,0.318215,0.449961,0.651615,-0.521232,3.7206310041366084,-5.892827606307111,4.196337360989952,-159.71482443586189,6.822095162542466,99.29761519121143
9,1906757841,3.951757,-17.372187,8.586293,-104.501083,-37.561214,84.275887,0.334769,0.45009,0.652352,-0.509702,4.163972560340544,-14.638477856507118,0.014364924462827,-90.5504831935265,-5.236888523249896,76.50327902867856
10,1906774508,4.249348,-15.564846,-16.754074,43.191536,-15.949935,17.667864,0.334591,0.45259,0.647403,-0.513898,1.3010081536459004,-16.097770715400525,-4.656152399503021,11.176545702485114,6.1473131607682205,36.24979127447094
11,1906791175,-1.227915,-6.105392,-11.759172,79.296288,82.698807,-22.13298,0.319716,0.460395,0.647067,-0.516849,-4.054846146172067,-9.67750596491803,-6.594939043097088,94.47909813765281,30.974930839892163,-4.886353963139115
12,1906807842,-16.407888,-3.132023,5.631126,61.961784,33.092144,-12.888836,0.311301,0.464444,0.644979,-0.520957,-9.501430857823646,0.43261984071917503,-5.209879196141176,122.11734420000049,51.006085676741705,-31.74104319849672
13,1906824509,-11.020779,-2.585517,-9.226915,167.837906,71.393158,-25.445097,0.291063,0.474818,0.637186,-0.532762,-12.904989150289087,8.151458096054238,-2.686231175244597,90.9993333951298,54.67393540708731,-37.70232415325477
14,1906841176,-18.749741,39.34153,11.133231,206.421631,40.363319,-51.01223,0.268808,0.481646,0.626311,-0.550912,-14.034741274225551,9.729821828658977,-1.4026576250804743,32.83905352023447,43.22118912113743,-24.33009865678222
15,1906857843,-1.44926,-6.621107,-13.903717,-448.67868,-55.798908,18.675285,0.306042,0.460236,0.657593,-0.51196,-14.263212539222826,6.28362902338376,-1.823180943056026,-10.577946293634046,24.54134448964345,2.5786347506324945
16,1906874510,-24.113838,-17.096581,-4.432073,259.988373,127.753456,40.378338,0.278992,0.484677,0.640829,-0.525929,-14.814366673307607,2.177848417548432,-2.9576358338721453,-21.964536323694176,4.929612437545172,36.41864727796336
17,1906891177,-13.162539,16.547089,1.815593,-9.476381,-80.920029,53.058773,0.29107,0.482926,0.63467,-0.528455,-15.64042982665601,0.6171133516308452,-4.09664826984776,-18.30306608492846,-12.155341121577537,71.84088491651504
18,1906907844,-17.546362,2.772842,-6.071485,-55.991489,-11.505064,129.68364,0.305808,0.491466,0.629449,-0.518408,-15.982315154759576,1.10269048483312,-5.413394215118774,-24.88075102810204,-23.218468205357436,105.53382996805759
19,1906924511,-15.636536,0.291596,-6.802898,-68.567146,-25.386284,120.608261,0.321903,0.497365,0.624946,-0.50839,-15.578313436716323,1.0527144924172342,-7.088684862274402,-46.185128896766344,-25.102626821597653,135.59819558916803
