PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,2765606324,3.804388,-3.592161,1.769816,119.441185,-12.794864,9.651237,0.490266,-0.470876,-0.585423,-0.441816,3.807281448658901,-3.5874168399505266,1.7707753031689584,119.28061615144404,-12.78292235638488,9.628620275129212
2,2765622991,1.180201,4.99753,-2.469397,138.492569,-37.143188,35.176113,0.498909,-0.465981,-0.5945,-0.424885,12.916068458968985,5.743594653049133,-0.025396672594986736,124.80617966044639,-17.38346178341599,16.338565814829806
3,2765639658,17.954781,11.666769,-5.53412,151.781525,-33.281116,8.258091,0.506876,-0.457325,-0.605649,-0.40881,19.51471374454926,13.012030611721983,-1.0858319489868917,103.63806160513481,-17.881907603215655,-2.0957418535380192
4,2765656325,42.592754,19.162127,4.312257,36.243874,27.064842,-72.135338,0.507522,-0.446362,-0.61062,-0.412713,22.066981013624563,16.617350885358995,-1.5400602379202686,53.34560131241753,-14.188417593986486,-53.86466710618158
5,2765672992,7.030791,15.693659,-0.198103,-50.764801,-29.284897,-124.925011,0.494204,-0.440389,-0.617783,-0.424465,21.119131292467628,15.956127130750728,-2.025160717763752,-3.419274580187551,-9.11713861763208,-125.19414539209275
6,2765689659,17.491016,10.226733,-5.488599,-45.531746,-2.694618,-172.548584,0.480403,-0.427882,-0.626074,-0.440643,19.09995318023209,11.756415841060019,-2.692685344341034,-39.935567011879705,-4.497371124563184,-189.26378323528195
7,2765706326,19.796152,6.835699,-4.989424,2.370541,-1.2986,-235.447662,0.465235,-0.405816,-0.640668,-0.45653,18.258984996080642,5.8510841340125666,-3.0283173371474437,-45.24645752095532,-0.0531384468426323,-222.0123335597542
8,2765722993,20.266258,0.77207,-1.626999,-19.644873,3.236279,-229.868591,0.449021,-0.384989,-0.652422,-0.47383,18.812328535129563,0.4461961586006744,-2.649225921718152,-26.68417540981161,4.377409720488474,-215.69612058877829
9,2765739660,20.465361,-3.109559,-0.333362,-40.927002,2.421065,-182.842804,0.434355,-0.369705,-0.659518,-0.489587,19.260125532444064,-2.7550668052036222,-1.8888935466161945,-0.9093210683204886,7.1727181096267625,-182.516994257475
10,2765756327,17.360237,-4.337224,-2.121887,18.570524,19.362001,-123.418076,0.428507,-0.354954,-0.666224,-0.496529,18.179857998351824,-3.2335553640807695,-1.436047987658468,13.61827681818086,6.246053354153888,-145.0189651340551
11,2765772994,14.766288,-0.892143,-1.299652,10.448737,-0.516424,-106.942574,0.421375,-0.343635,-0.672535,-0.502057,15.485612377218715,-1.8579573994087575,-1.5871757348285076,1.2763274395465576,1.7078209143053455,-119.21683439212948
12,2765789661,12.820619,-0.49629,-2.230603,-43.685692,-9.248418,-117.838799,0.409765,-0.335105,-0.675775,-0.512964,12.254320641467993,-0.4219165852284386,-1.994470347288213,-43.30775478698688,-3.5196614987001484,-104.09316229020668
13,2765806328,9.296661,-0.913698,-2.676045,-86.439507,-8.192238,-101.662842,0.397236,-0.330514,-0.674733,-0.526978,9.700900811927779,-0.6597846746552003,-2.0770411580440133,-106.98423462354707,-6.214606065816161,-86.5372652929679
14,2765822995,7.566092,-2.256636,-1.359431,-166.505798,-7.442754,-58.503521,0.384042,-0.334552,-0.665081,-0.546132,8.293247239367743,-3.2648053570817934,-1.5944274239099123,-159.0349559868711,-5.754846350498948,-56.16587287867492
15,2765839662,8.280119,-7.897666,-0.894541,-182.852493,3.947664,-3.948067,0.375224,-0.343656,-0.650404,-0.563993,7.577564432674053,-7.4848187019521095,-0.8404553817259909,-166.7365719741329,-4.000835254081455,-15.42294978442591
16,2765856329,7.601947,-11.494858,-0.040045,-131.22847,0.757179,29.533834,0.371231,-0.353188,-0.638112,-0.574686,6.6802115651324945,-11.546804273060664,-0.32628712477635435,-117.19834188134674,-2.3254445384439113,23.45372034440784
17,2765872996,4.697076,-14.530961,0.215406,-21.015829,-6.755197,46.947559,0.373577,-0.35894,-0.634409,-0.573702,5.007013513834184,-13.663238707905593,-0.27348530879993055,-28.5096815382594,0.638574031265224,49.725982550682836
18,2765889663,1.436989,-13.291166,-0.245967,76.753792,7.298604,59.802994,0.383348,-0.359346,-0.637346,-0.563658,2.626750193898187,-12.978506411537062,-0.39892700000832765,60.302678283668534,7.921522086950596,62.80907135232418
19,2765906330,-0.184171,-8.913772,-1.321937,119.497757,19.633591,73.1399,0.397469,-0.357479,-0.6422,-0.549374,0.24457999225558205,-9.8400563128283,-0.21615827009072863,113.68074079570646,21.1188407780456,72.20940982054292
