PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,2689404800,9.868109,-0.326638,0.384336,-0.840993,1.950094,0.104263,-0.672829,0.268084,0.639785,0.257102,9.868132569856655,-0.3266761174756747,0.38417612416356633,-0.834583803399253,1.9521598587357003,0.10427492932552754
2,2689421467,9.874781,-0.334652,0.375279,-1.084647,1.354047,-0.243756,-0.672751,0.267864,0.639932,0.257172,9.885611393676355,-0.3054457914191249,0.38294811523511885,-0.8770429182168027,1.508827710096728,-0.19474240873672802
3,2689438134,9.885102,-0.306314,0.387633,-0.585698,1.013296,-0.593523,-0.672646,0.267578,0.640144,0.257217,9.902253441180756,-0.29193210972492956,0.3681183333275655,-0.8013356408893206,1.0206220614667267,-0.49109795552752133
4,2689454801,9.919089,-0.24751,0.325985,-0.441166,0.596232,-0.752898,-0.672501,0.267278,0.640408,0.257249,9.912914859749817,-0.2914284348385326,0.3363701021619693,-0.5303901040239735,0.4688200350441473,-0.8024949410359471
5,2689471468,9.936487,-0.295245,0.296563,-0.279768,-0.093371,-1.019731,-0.67229,0.266963,0.640756,0.257264,9.91152784611344,-0.300661439089081,0.2988663648554021,-0.08251583656862749,-0.11280821985399006,-1.1491546058688604
6,2689488135,9.904167,-0.339105,0.281661,0.139058,-0.645735,-1.482028,-0.672025,0.266584,0.641191,0.257264,9.899364493824777,-0.30480212980933924,0.2756411775467929,0.40014232210198997,-0.6285288234755211,-1.5134570999669927
7,2689504802,9.86762,-0.290127,0.303716,0.933884,-0.98947,-2.014119,-0.671739,0.266091,0.64171,0.257228,9.88706372306622,-0.2843433706317031,0.28261704683566247,0.6917742276311084,-0.9668406667332347,-1.8305016734236454
8,2689521469,9.86866,-0.189795,0.273571,1.155037,-1.20194,-2.068917,-0.671439,0.265578,0.64226,0.257168,9.886025819709992,-0.22865393930756256,0.3174584032734858,0.6004453609497515,-1.0809794211325434,-2.0254022612393423
9,2689538136,9.893646,-0.129017,0.333612,-0.218105,-1.065412,-1.946104,-0.671103,0.265207,0.642739,0.257231,9.898443037207352,-0.14747952907789214,0.3541585565191472,0.07132562148922722,-1.0274627804633953,-2.05197948687086
10,2689554803,9.964695,-0.150569,0.392378,-1.752856,-0.810911,-1.760258,-0.67074,0.264987,0.643132,0.257422,9.91760928314465,-0.07384971148181402,0.35594658329499207,-0.8096351576753147,-0.9064598669282693,-1.894323129443617
11,2689571470,9.953404,-0.202526,0.337711,-2.043458,-0.485437,-1.389566,-0.670409,0.264822,0.643465,0.257621,9.936884992765455,-0.05073485309697012,0.30349133075336615,-1.8371430932082673,-0.744121835521402,-1.5594262875112568
12,2689588137,9.859692,0.360593,0.249479,0.235233,-0.211919,-1.955478,-0.670171,0.264371,0.643879,0.257672,9.954861321359182,-0.09807948550491376,0.21594673365037348,-2.6317694493093073,-0.44443222301063173,-1.10358337167229
13,2689604804,10.031116,-0.504424,0.018634,-3.663858,-0.749031,-0.004674,-0.669803,0.264504,0.644123,0.257879,9.971773914701332,-0.18351067980597227,0.1409618135428061,-2.671342538141295,0.10407235123150017,-0.6572784692960939
14,2689621471,9.99049,-0.132168,0.155685,-4.092717,0.752008,-0.36411,-0.669548,0.26459,0.644218,0.258218,9.986164192812971,-0.23789679883013803,0.11768171431472045,-1.6534767013455656,0.8669784404022751,-0.36954907565555206
15,2689638138,9.986928,-0.41579,0.192121,-0.825485,2.017634,-0.252183,-0.66954,0.264321,0.644307,0.258291,9.998996912736441,-0.21684130662082968,0.14557395298291761,0.08006169315150802,1.6713748718018924,-0.28571736240629986
16,2689654805,10.039526,-0.059434,0.113081,5.48977,3.577448,-0.447416,-0.669914,0.263358,0.64449,0.257847,10.018792546324553,-0.14587165554508466,0.18682452432565286,1.7411446057745825,2.4316114482372613,-0.28057323543964263
