PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,2689404800,-9.525337,0.812147,-0.413968,-0.492007,1.548794,0.738677,-0.652047,0.194201,-0.693792,-0.236179,-9.52532107732711,0.8121714508531508,-0.41392564731415027,-0.4941460699709592,1.5492439520610355,0.7380682463982953
2,2689421467,-9.475178,0.879673,-0.450151,-0.368439,1.300005,0.734963,-0.651946,0.194502,-0.693787,-0.236224,-9.509730505315769,0.8666995238601498,-0.4176954544375957,-0.8504261808435349,1.414281431363612,0.5814447895238498
3,2689438134,-9.522532,0.907133,-0.43501,-1.109878,1.331639,0.427482,-0.651833,0.194902,-0.693752,-0.236311,-9.50381764205126,0.886178923995849,-0.41826649471396776,-1.3264487613298983,1.2905779634470689,0.44232258916058587
4,2689454801,-9.517829,0.82386,-0.377147,-1.86714,1.119448,0.395018,-0.65172,0.195369,-0.69367,-0.236476,-9.508253670444645,0.858069978050949,-0.41823760841650376,-1.8007961868143714,1.1639317893425343,0.37848997698294845
5,2689471468,-9.47054,0.828846,-0.425494,-2.244133,1.093438,0.415252,-0.651606,0.195845,-0.69358,-0.236661,-9.513962612024148,0.7997187182124812,-0.42261132947445873,-1.963143125390412,1.0037752023172397,0.46828221980443635
6,2689488135,-9.559515,0.750527,-0.442984,-1.984677,0.78624,0.645088,-0.651515,0.196288,-0.693469,-0.236872,-9.51040175163769,0.7468327425188862,-0.4302541843354229,-1.6296919402822556,0.8001916368906664,0.738039037793472
7,2689504802,-9.508377,0.689472,-0.419592,-0.925745,0.617541,1.123623,-0.651453,0.196578,-0.693391,-0.23703,-9.495835646868986,0.7306849311225055,-0.43167896133295747,-0.9935403996020523,0.5877319875965388,1.1091851673631594
8,2689521469,-9.437361,0.76665,-0.428802,-0.079361,0.358366,1.511988,-0.651429,0.196735,-0.69333,-0.237141,-9.479918042575374,0.7584401088064594,-0.41680779159393216,-0.5342180269714727,0.4261996595244602,1.4257651886756992
9,2689538136,-9.4796,0.812799,-0.394388,-0.467509,0.329616,1.633059,-0.651392,0.196922,-0.693255,-0.237308,-9.475188461693719,0.8101951487579164,-0.3853702395355543,-0.6516206514164884,0.3518919600856294,1.5491815290906232
10,2689554803,-9.486769,0.889739,-0.346877,-1.444838,0.323636,1.366149,-0.651338,0.197225,-0.693139,-0.237546,-9.485653930583279,0.8550870627268584,-0.3500757190700965,-1.364905563686741,0.3446851116072448,1.44315717273004
11,2689571470,-9.521999,0.871851,-0.309473,-2.82859,0.433079,1.116464,-0.651242,0.197685,-0.692978,-0.237895,-9.50402071707314,0.8726982080545174,-0.32905165475882303,-2.340560925901711,0.3439966568761743,1.1834498287736592
12,2689588137,-9.517873,0.827779,-0.335655,-3.285239,0.344536,0.910653,-0.651145,0.198214,-0.692785,-0.23828,-9.519037478594274,0.8615987083132403,-0.33344792611996443,-3.1750920383191796,0.2988154701488437,0.8990711918271761
13,2689604804,-9.505344,0.820365,-0.366544,-3.298967,0.164337,0.723911,-0.651074,0.198754,-0.69257,-0.238652,-9.52409057536806,0.8314572888721512,-0.36061992644610663,-3.630037752249022,0.2011769876152361,0.7040120112274566
14,2689621471,-9.534782,0.80565,-0.411449,-3.287761,-0.035832,0.764417,-0.651022,0.19928,-0.692337,-0.23903,-9.519701369748873,0.7925015276919253,-0.3978621849810552,-3.6377321585102895,0.07063272614501236,0.6609319308034448
15,2689638138,-9.510815,0.791864,-0.426489,-3.359362,-0.094626,0.684839,-0.650976,0.199818,-0.692094,-0.23941,-9.510566815439592,0.7550723443292423,-0.431539124641768,-3.1930326394591937,-0.08608257655615545,0.7689013930254565
16,2689654805,-9.48388,0.722032,-0.440938,-2.616824,-0.16743,0.876819,-0.650952,0.200265,-0.691875,-0.239735,-9.501562174596986,0.734893262995136,-0.4529097601320551,-2.3524834505803067,-0.2868391394410855,0.9539840742318382
17,2689671472,-9.517984,0.719379,-0.460982,-1.402103,-0.558408,1.12685,-0.650994,0.200557,-0.691668,-0.239972,-9.495540789901138,0.7500289898513308,-0.4581166765319584,-1.368807408936089,-0.5407790545173538,1.0724631629144152
