PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,2689404800,-9.615277,0.441097,-0.1305,1.650425,-2.617298,3.314098,-0.506787,-0.486589,-0.528272,0.476787,-9.615085298765864,0.4416951773265852,-0.1303041307314049,1.6222912811037742,-2.6556114915576132,3.3330688710352803
2,2689421467,-9.651954,0.380481,-0.081003,-0.784735,-2.191103,3.288754,-0.507106,-0.486539,-0.52818,0.476601,-9.642836190309104,0.35311935178913,-0.10912441187520575,-0.9424284861094093,-2.5419977220332584,3.0837600871518838
3,2689438134,-9.684708,0.271723,-0.097544,-3.871846,-2.895273,2.853133,-0.507667,-0.48618,-0.52828,0.476259,-9.668681054466077,0.2735451246129844,-0.10769943390669946,-3.363461003018149,-2.385965897442695,2.641415067008837
4,2689454801,-9.588933,0.193827,-0.16476,-5.171102,-2.418684,2.115884,-0.508232,-0.4857,-0.528558,0.475838,-9.681990591999336,0.21092142847891454,-0.1293052226829989,-5.459992406458621,-2.2842545174044817,2.0934716789839385
5,2689471468,-9.734326,0.162687,-0.130933,-6.42861,-1.847239,1.66514,-0.50881,-0.485133,-0.528995,0.475313,-9.668621093388376,0.1597039962429025,-0.16563340934727458,-6.974630756434612,-2.308948266951952,1.7313065525507336
6,2689488135,-9.689068,0.069586,-0.232438,-8.302794,-2.358161,1.40631,-0.509541,-0.48437,-0.529542,0.474698,-9.626908285950165,0.09770520147336571,-0.20827884032706726,-7.5955448570157245,-2.347791316115938,1.7786966072398989
7,2689504802,-9.54421,0.01256,-0.313854,-7.180368,-1.702156,1.827319,-0.510171,-0.483767,-0.53003,0.474091,-9.578735456524967,0.00017413611118898692,-0.2551728141100534,-7.067411199548988,-2.072373053497288,2.14868779497154
8,2689521469,-9.524918,-0.1166,-0.238297,-4.814112,-1.081663,2.695449,-0.510647,-0.48345,-0.530338,0.473558,-9.5560156993884,-0.1316103461324795,-0.3016315557738493,-5.349215240118555,-1.215612601603031,2.5165516560685175
9,2689538136,-9.512289,-0.194264,-0.264572,-2.511594,-1.097171,3.524929,-0.511019,-0.483367,-0.530428,0.473141,-9.56908444922749,-0.25011313160085824,-0.3239273873255603,-2.7375427338128526,-0.05367285766554891,2.7072436435463354
10,2689554803,-9.618719,-0.250038,-0.252662,-0.217849,-0.794596,3.652761,-0.511215,-0.483484,-0.530373,0.47287,-9.592267621830857,-0.28090313289209984,-0.28351681816364854,0.06954357675673173,0.41463654965349883,2.9880312276973546
