PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,2689404800,9.900181,1.707787,0.30247,-7.969662,0.057404,-2.231571,0.618491,0.4583,-0.523069,0.365833,9.900267701234291,1.707855560707237,0.3024288435907005,-7.968766816983091,0.05812660823661367,-2.2310032641710658
2,2689421467,9.904366,1.734525,0.152898,-7.417745,1.55909,-2.441557,0.619272,0.457883,-0.522886,0.365295,9.888277275448152,1.7049095875945106,0.24233112910847768,-6.4932149089800575,1.1680906643937983,-2.276232520478418
3,2689438134,9.884196,1.772291,0.215391,-4.548474,1.768375,-2.108206,0.61986,0.457687,-0.522554,0.365019,9.871539826602518,1.7470238015428525,0.20367881330520293,-4.9726684347588535,1.9179659210919107,-2.08022537125662
4,2689454801,9.836598,1.824123,0.262392,-3.947865,1.727289,-1.554371,0.620375,0.457506,-0.52223,0.364835,9.8490891748789,1.8528688377881333,0.19540024199330833,-3.5654488307158747,2.0650699932314316,-1.5839424777535507
5,2689471468,9.778009,1.908133,0.2106,-2.1863,1.850562,-1.051657,0.620755,0.457438,-0.521835,0.36484,9.82312915430851,1.9944388268290958,0.21379533825891284,-2.550083256532048,1.5631540658986809,-0.9554720357302636
6,2689488135,9.834944,2.141107,0.185257,-1.511469,0.774586,-0.443663,0.620975,0.457441,-0.521542,0.364879,9.797891864530108,2.1011863007142995,0.24850463226640285,-2.0030799155476227,0.5945679086161842,-0.4618761198836534
7,2689504802,9.842913,2.184189,0.304357,-2.031151,-0.57197,0.120008,0.621099,0.457427,-0.521435,0.364838,9.781828842253411,2.10132620354919,0.28478581463714847,-1.5590672282589002,-0.46688384838290475,-0.26168741504478477
8,2689521469,9.725193,1.978212,0.308557,-0.168429,-1.352837,-0.277398,0.621061,0.457654,-0.521272,0.364851,9.787284252504843,1.9778558045452783,0.30632810938571703,-0.5422363722055354,-1.201077689118353,-0.2828749592752507
9,2689538136,9.787971,1.789251,0.344001,1.16386,-1.329478,-0.720741,0.620958,0.458031,-0.52101,0.364928,9.820333311182846,1.7903024608784261,0.30534092418969105,1.5560469823912482,-1.3581393246354234,-0.2999022482348355
10,2689554803,9.877,1.525818,0.306877,3.818271,-1.060366,-0.406525,0.620682,0.45861,-0.520602,0.365252,9.869094713626906,1.636902365414607,0.2913076269365516,4.607597052543415,-1.005283365585216,-0.14781865508804923
11,2689571470,9.961246,1.604221,0.195964,7.952942,-0.825331,0.518612,0.620099,0.45948,-0.520014,0.365987,9.907881705806787,1.587874767528391,0.28399427349212225,7.811639245354482,-0.46982088668586514,0.13791313577391334
12,2689588137,9.935633,1.731538,0.314256,12.024316,0.60996,0.742698,0.619339,0.460623,-0.519092,0.367144,9.91718304514458,1.6465103634636427,0.2940728855786971,10.20901319994404,-0.08731848939807561,0.39445317421946297
13,2689604804,9.843088,1.738738,0.330842,10.585279,0.518715,0.346969,0.618687,0.461669,-0.518227,0.36815,9.897846808207106,1.7626059592425793,0.31270016114346977,11.344856119339267,0.05458114572114947,0.5138130906230834
14,2689621471,9.832557,1.865019,0.380683,11.549573,-0.64229,0.197377,0.617888,0.462873,-0.517403,0.369136,9.864789962138012,1.8730881166143352,0.32212918553869774,11.464889165614593,0.12932774882239884,0.519030549623542
15,2689638138,9.881777,1.91603,0.261141,9.428146,-0.513509,0.40009,0.617229,0.463863,-0.516694,0.369989,9.831833611617151,1.9322274757912616,0.3133099542679843,11.082747472376171,0.2988525221570691,0.47930170853210396
16,2689654805,9.82607,1.939167,0.261785,10.731219,1.566096,0.697978,0.616621,0.464835,-0.515746,0.371104,9.807039353447756,1.9194808952448432,0.28953236275416927,10.459364741834378,0.4389597760001746,0.4114852394653591
17,2689671472,9.774263,1.821707,0.274831,11.198023,0.037042,0.540857,0.615872,0.465941,-0.514898,0.372137,9.79874066003232,1.8364077690857092,0.2563180039477388,9.632827385748968,0.19676648811419414,0.2943985911010023
18,2689688139,9.801237,1.689211,0.210828,9.494163,-1.257545,-0.33609,0.615187,0.467028,-0.514199,0.372875,9.816990751123203,1.7042369519471805,0.21549811014197595,8.928503116241437,-0.6220955889323305,0.14644806674296668
19,2689704806,9.915171,1.627652,0.226273,8.347839,-1.136615,0.261576,0.614554,0.46796,-0.513589,0.373588,9.863356253650018,1.5622845581844502,0.17142231267409863,9.200699408405166,-1.6813799351904315,0.04599004863406733
20,2689721473,9.887972,1.427524,0.144065,9.979089,0.428891,0.154874,0.613933,0.46896,-0.512741,0.374518,9.91900401754231,1.4598398326276918,0.1361775285423409,11.301869188913157,-2.146429969061442,0.06921309129550532
21,2689738140,9.741395,1.402204,-0.001025,15.734529,-5.168749,0.040846,0.612505,0.470785,-0.512071,0.375484,9.947842914163175,1.4369386550861836,0.12049592455838633,15.215019546567849,-1.2648185401104233,0.2173764658184701
22,2689754807,10.34222,1.514716,0.115026,19.584459,-0.173027,0.100652,0.611175,0.47267,-0.510746,0.377083,9.921952495860939,1.5021470487481383,0.12035300083910282,19.789423952830656,0.8691572066478094,0.4033497926436039
23,2689771474,9.660581,1.627549,0.322271,24.076317,5.495082,1.393916,0.609883,0.474546,-0.508749,0.379511,9.8507924966158,1.6251636970566263,0.12183913604962894,23.473517354857307,3.1650421541725287,0.51180747092443
24,2689788141,9.656323,1.759573,-0.019895,27.587725,6.973621,-0.207668,0.608532,0.476758,-0.506312,0.382157,9.779307150082214,1.7535531157811484,0.12366475620015291,25.433998371776273,4.384279112458501,0.4834888734112
25,2689804808,9.813403,1.883784,0.181605,24.350792,2.039557,0.576789,0.606988,0.478891,-0.504539,0.384285,9.74966888766385,1.8421155075197146,0.14766481133292336,26.023713426367255,4.212302803283478,0.3408133240398263
26,2689821475,9.793192,1.826732,0.196067,23.77463,1.877844,0.119592,0.60549,0.481011,-0.50277,0.386312,9.768647061352185,1.8726257954850465,0.2191481740432267,26.174817164833765,3.3904535911238898,0.12759066958145465
27,2689838142,9.894308,1.862606,0.294509,27.678459,3.12082,-0.486745,0.603834,0.483441,-0.500623,0.388653,9.815376548158218,1.8521952544397013,0.33758615878092313,26.400767541559745,2.841303197636675,-0.1623491551474878
28,2689854809,9.803505,1.749202,0.531274,27.331966,3.643423,-0.335847,0.602222,0.485792,-0.498449,0.391009,9.870534807156185,1.7992298217063376,0.47087174575383106,26.483224483457565,2.86769954252598,-0.5700107422677709
29,2689871476,9.848488,1.791472,0.616132,27.984446,4.242755,-0.818411,0.600622,0.488191,-0.496143,0.393407,9.92785006346407,1.735389073751478,0.5792918843183309,26.047746754844805,3.2128340635158334,-1.0645324556335423
