PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,2278529916,9.899608,-0.940862,-0.534865,-2.304349,1.568477,1.144689,0.68983,-0.051374,-0.721763,0.023454,9.899581960756759,-0.9408813706832198,-0.5349157826794042,-2.304369870627644,1.5682662891230055,1.1446944931720302
2,2278546583,9.893066,-0.970396,-0.498612,-2.27752,1.630703,1.271229,0.689805,-0.05139,-0.721787,0.023404,9.894679585688468,-0.9527236625220852,-0.5126351503025866,-2.2045127999543284,1.5934536165592252,1.196770302997893
3,2278563250,9.888271,-0.959615,-0.501352,-2.112074,1.59943,1.222513,0.689779,-0.051379,-0.721814,0.023374,9.893584225738158,-0.9584995904670952,-0.4983949808989858,-2.1450046322425824,1.6198160104211885,1.2447622980555142
4,2278579917,9.895207,-0.959944,-0.491275,-2.042254,1.650425,1.269999,0.689758,-0.051376,-0.721835,0.023346,9.896674985547655,-0.958062546025152,-0.495312061342868,-2.1372821953407306,1.6464701295478157,1.2880673360816306
5,2278596584,9.908261,-0.936388,-0.520865,-2.175824,1.638566,1.288248,0.689735,-0.051373,-0.721858,0.02332,9.900981430290722,-0.9562854701823187,-0.500878655379836,-2.156502326220745,1.6679778901835602,1.3250685137397298
6,2278613251,9.909953,-0.954378,-0.499135,-2.260513,1.68285,1.371349,0.689716,-0.051402,-0.721875,0.023279,9.903420587778069,-0.9571156831365879,-0.5098580770200212,-2.1668408421233263,1.6753217393618078,1.3488500130915095
7,2278629918,9.894367,-0.98124,-0.500766,-2.34191,1.719412,1.416837,0.6897,-0.051448,-0.721889,0.02323,9.9035475225206,-0.9600784473582051,-0.5170112114312465,-2.158320214832824,1.664159760622844,1.3541793557327604
8,2278646585,9.898572,-0.972166,-0.533598,-1.756801,1.620714,1.323901,0.689678,-0.051415,-0.721911,0.023245,9.90299742545135,-0.9625378203809946,-0.5184986173813335,-2.152454284013715,1.643146223493396,1.3488525215035396
9,2278663252,9.903972,-0.932556,-0.522622,-2.182049,1.57771,1.294216,0.689649,-0.051413,-0.721941,0.023219,9.902995231412362,-0.96325384894077,-0.5134953479666938,-2.170119034083521,1.630491386219159,1.3518862264945242
10,2278679919,9.914732,-0.965901,-0.496216,-2.519175,1.705338,1.403288,0.68963,-0.051473,-0.721956,0.023153,9.903295581033948,-0.9625990488200362,-0.5056036709412772,-2.2093283339846277,1.6389707729909542,1.3768294749041337
11,2278696586,9.902707,-0.977056,-0.496058,-2.275944,1.586944,1.424777,0.6896,-0.051474,-0.721985,0.02315,9.903205668670275,-0.9610818597399844,-0.5013444859416789,-2.262256409991208,1.6643644361685475,1.4188827816129863
12,2278713253,9.88291,-0.968782,-0.507154,-2.068264,1.749879,1.480523,0.689589,-0.051498,-0.721994,0.023138,9.90246892020325,-0.9594978321500376,-0.5056048711028269,-2.332414240492087,1.6904049375679024,1.4602943167922782
13,2278729920,9.91135,-0.935654,-0.528288,-2.341257,1.697565,1.462069,0.689571,-0.051546,-0.722009,0.023096,9.901063080452852,-0.9593846247761594,-0.5177825761672331,-2.4145646283042588,1.706554399498095,1.4868619326943757
14,2278746587,9.916156,-0.956504,-0.517382,-2.748922,1.783803,1.530519,0.689558,-0.051638,-0.722017,0.023021,9.899287442897617,-0.9613216658575066,-0.5317883157845297,-2.4728173130649287,1.7205172973395177,1.4982232824949613
15,2278763254,9.883799,-0.98186,-0.539067,-2.453914,1.65994,1.455499,0.689535,-0.051698,-0.722037,0.022967,9.898297685724215,-0.9632727157758377,-0.5397250747517569,-2.4648738533883674,1.7497459591633158,1.5043772711295553
16,2278779921,9.88845,-0.968424,-0.556338,-2.292708,1.756986,1.53828,0.689523,-0.051747,-0.722046,0.02294,9.899370673640123,-0.9623047724250922,-0.5370464452412905,-2.3874874049538364,1.7978076266629301,1.5150612858183536
17,2278796588,9.912135,-0.941281,-0.517273,-2.177873,1.876674,1.540892,0.689524,-0.051766,-0.722043,0.022942,9.90221273437011,-0.9578903714396916,-0.5261126527668951,-2.2841345960396344,1.8430639474723822,1.532929857732701
18,2278813255,9.917275,-0.949221,-0.509431,-2.396772,1.978459,1.53851,0.689534,-0.051821,-0.72203,0.022908,9.90497841558085,-0.9525426768062388,-0.5150448773668805,-2.209170469749193,1.8579303139662562,1.5549679543320054
19,2278829922,9.891534,-0.965765,-0.515718,-2.210133,1.77165,1.608727,0.689524,-0.051874,-0.722037,0.022893,9.906328930114853,-0.9495374374936387,-0.5117453641613023,-2.1894177209317274,1.839399762260495,1.5777218825208814
20,2278846589,9.908508,-0.948163,-0.511933,-1.956273,1.763146,1.566172,0.689515,-0.051855,-0.722046,0.022939,9.90667562888272,-0.9506606934872067,-0.5175157744237361,-2.2098982494132144,1.8134613752387807,1.5996336062395267
21,2278863256,9.909593,-0.939808,-0.523087,-2.280516,1.792178,1.627514,0.689506,-0.051916,-0.72205,0.022918,9.907157765869592,-0.95532911383886,-0.5257910505588015,-2.2280919783926425,1.8067217540180518,1.6188268904345806
