PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,2278529916,-9.488028,0.316895,-0.71795,0.896886,0.234055,1.848897,0.680948,-0.015665,0.731393,0.033586,-9.488007761690454,0.3168881446532702,-0.7179493636051008,0.8969776992328361,0.23422460324823946,1.8490713624833455
2,2278546583,-9.510679,0.261601,-0.700347,1.002366,0.302127,1.789751,0.680961,-0.015711,0.731378,0.033622,-9.488186967848206,0.3008534946070608,-0.6966771370662095,1.0771935823184915,0.31163977706800944,1.9131599106052821
3,2278563250,-9.47837,0.299621,-0.693158,1.370555,0.353487,2.02811,0.680969,-0.015697,0.731371,0.033642,-9.48957923717627,0.29400185583600524,-0.6839657646015758,1.16187816660862,0.38347667453336826,1.966550728931086
4,2278579917,-9.482381,0.31872,-0.663952,1.115837,0.459729,2.012332,0.680965,-0.015708,0.731373,0.033687,-9.492888095154752,0.29744158329850107,-0.6844123879361139,1.1342841111366215,0.43551309254395587,1.9941884044893068
5,2278596584,-9.503466,0.293104,-0.701175,0.915949,0.46496,1.991913,0.68096,-0.015741,0.731374,0.03375,-9.49731961934736,0.3049098798088572,-0.6959280932973129,1.0651957354243704,0.4481565228361285,1.9848564124904167
6,2278613251,-9.507065,0.325663,-0.712623,1.057875,0.377717,1.929014,0.680966,-0.015742,0.731367,0.033771,-9.500607994376857,0.3099691688413461,-0.7106170509118767,1.046076816049344,0.4105444215709503,1.9426713346208302
7,2278629918,-9.499204,0.295081,-0.740114,1.114479,0.378204,1.880248,0.680972,-0.015744,0.73136,0.033784,-9.500969125172306,0.311018045910918,-0.7197187425722521,1.1109446264496468,0.33248804469136073,1.8855390296902759
8,2278646585,-9.497323,0.302392,-0.687479,1.289375,0.219161,1.81637,0.680995,-0.015758,0.731338,0.033791,-9.49882349071509,0.310202966127177,-0.718922487931045,1.2168905744901408,0.24289215809143025,1.8307853777043315
9,2278663252,-9.490226,0.330944,-0.727485,1.189729,0.176209,1.785634,0.681022,-0.015789,0.731312,0.033809,-9.496156355089322,0.3097224278180894,-0.7098417466333811,1.2914608001938157,0.17402853476963273,1.783239994125553
10,2278679919,-9.500932,0.299318,-0.69399,1.51729,0.081109,1.764542,0.68106,-0.015786,0.731278,0.033787,-9.494506039685582,0.3100864948140373,-0.6976061270905607,1.2956215350824083,0.14244143269993662,1.7368922367799868
11,2278696586,-9.492856,0.305936,-0.690067,1.087009,0.212886,1.683888,0.681084,-0.015832,0.731254,0.033802,-9.493991466653975,0.31087287356484294,-0.6874827937857506,1.2462810479858244,0.14108138951928414,1.6857842907838423
12,2278713253,-9.495731,0.324075,-0.677171,1.067563,0.203954,1.615726,0.681108,-0.015892,0.731229,0.033815,-9.494012901198614,0.311886198925462,-0.6824627212907479,1.1856393397575893,0.14707237138225232,1.6307308007704515
13,2278729920,-9.487534,0.305831,-0.676507,1.281026,0.003516,1.575435,0.681155,-0.01593,0.731185,0.033799,-9.494336725987571,0.3134204689133012,-0.6823671792989334,1.1357050204916492,0.13418661996924636,1.574456971057359
14,2278746587,-9.507413,0.316578,-0.703397,1.096627,0.07833,1.507659,0.681194,-0.015996,0.731148,0.033797,-9.495400402247403,0.3156716785928523,-0.6848795491151215,1.0866474937238928,0.07989264950130366,1.5111780431517534
15,2278763254,-9.489278,0.317832,-0.675462,1.00469,0.104404,1.417938,0.68123,-0.01608,0.731113,0.033795,-9.497832239594004,0.31789605672693694,-0.6878773572692936,1.0246391077907442,-0.028886434613325938,1.4230128534150608
16,2278779921,-9.486201,0.311303,-0.693553,0.932398,-0.211996,1.28821,0.6813,-0.016177,0.731045,0.033784,-9.501908046763887,0.31828056358663626,-0.6909132576781886,0.9617459930875488,-0.1876627051587847,1.2899000897213735
17,2278796588,-9.552208,0.339233,-0.691969,0.960726,-0.521756,1.12644,0.681404,-0.016294,0.730947,0.03376,-9.507493304079036,0.3150658666478053,-0.6944652005865631,0.9373529527420905,-0.3743167652926323,1.1081341617577116
18,2278813255,-9.483533,0.276535,-0.704684,0.98046,-0.444099,0.914918,0.681501,-0.016434,0.730856,0.033716,-9.513955773150832,0.30813159974221066,-0.6980727581589784,0.9940935988615848,-0.5625233581509621,0.9031009461802587
19,2278829922,-9.487876,0.30928,-0.68507,1.265389,-0.736007,0.74677,0.68163,-0.016562,0.730737,0.033623,-9.519453202269439,0.299869907538823,-0.699470271324119,1.1454464443067511,-0.7347832131107996,0.7204592186577738
20,2278846589,-9.586403,0.325246,-0.716958,1.106987,-0.894984,0.546748,0.681777,-0.016727,0.730601,0.03353,-9.52109942319951,0.2949030523380507,-0.6956822789391988,1.34964458413619,-0.8840484996535591,0.5925137466042125
21,2278863256,-9.480823,0.25612,-0.65948,1.533554,-0.9965,0.409925,0.681936,-0.016854,0.730456,0.033371,-9.517489159034808,0.2981223115309095,-0.6855515925050417,1.5087156795952077,-1.0122952025400718,0.5007116669260242
22,2278879923,-9.522568,0.335484,-0.693185,1.821434,-1.237913,0.455189,0.682122,-0.016945,0.730289,0.033182,-9.510824837287707,0.3106732891845345,-0.672156403438208,1.5092033957226925,-1.1336072591340538,0.37137115198775106
23,2278896590,-9.49413,0.309232,-0.668074,1.033863,-1.166569,0.157243,0.682299,-0.017151,0.730125,0.033054,-9.504867432437539,0.32616443988217747,-0.6627823863351026,1.2887975934458025,-1.2713540740670874,0.12441726383849469
24,2278913257,-9.487735,0.3388,-0.66035,0.829525,-1.451869,-0.257587,0.682508,-0.017423,0.72993,0.032908,-9.500732212767396,0.3314385487959548,-0.6643356258140634,0.8828200695197336,-1.4382205510399786,-0.2512171641718921
25,2278929924,-9.531384,0.319997,-0.650331,0.56086,-1.622065,-0.655928,0.682736,-0.017756,0.729715,0.032747,-9.496201059620745,0.31346463602988117,-0.6755668948892628,0.42279660793451873,-1.6096972872716087,-0.6528495250438097
26,2278946591,-9.476106,0.25638,-0.67188,0.182715,-1.685047,-0.875314,0.68297,-0.018157,0.729492,0.03261,-9.489495034097729,0.2686704623516386,-0.6832871995435414,0.09419805255163113,-1.7164065396903012,-0.8903212624768057
27,2278963258,-9.46973,0.230003,-0.721979,-0.011974,-1.704589,-0.773785,0.683206,-0.018557,0.729266,0.032495,-9.482373318370449,0.20854811722604483,-0.6698152610943966,0.06080660714588777,-1.6688870186823217,-0.776854608144795
28,2278979925,-9.495591,0.139874,-0.636785,0.161226,-1.394048,-0.301974,0.683407,-0.01889,0.729073,0.032407,-9.478669210637877,0.15699854369414237,-0.6279393865483239,0.3645947380226239,-1.403561662657351,-0.23884414355902034
29,2278996592,-9.455764,0.151248,-0.518519,1.008929,-0.956097,0.572092,0.683559,-0.01906,0.72893,0.032325,-9.480527006208115,0.13907260373220134,-0.5690908590919301,0.853363751795746,-0.922754230709637,0.6171504707197606
30,2279013259,-9.512609,0.156753,-0.505509,1.184101,-0.31923,1.539528,0.68364,-0.019105,0.728853,0.032312,-9.486928227033058,0.1658434576945218,-0.5165162809047948,1.2149552597797089,-0.3036069635405122,1.530816940687539
31,2279029926,-9.495521,0.20815,-0.541399,0.932097,0.452705,2.286766,0.683635,-0.019105,0.728854,0.032403,-9.495336107786416,0.22423843655398004,-0.4915400425547837,1.1419996939471515,0.3307598627557458,2.2128067411450854
32,2279046593,-9.485312,0.275098,-0.516033,0.897548,0.783616,2.576434,0.683592,-0.019089,0.728889,0.032533,-9.5034080998528,0.28079595262176016,-0.5045295144563579,0.5491301365799058,0.8601416864669889,2.5050701458498827
33,2279063260,-9.512233,0.330082,-0.499282,0.133231,1.120126,2.490509,0.683513,-0.019153,0.728953,0.032729,-9.508839640420497,0.3012263139996061,-0.5512998585706242,-0.31028673499019294,1.2095483342397453,2.4728994054638167
34,2279079927,-9.516935,0.308988,-0.588589,-1.476828,1.468549,2.317277,0.683393,-0.019396,0.729043,0.033077,-9.509213932553084,0.27444841275375065,-0.6123050670737711,-0.9635688710286004,1.372069461384571,2.356863721408398
35,2279096594,-9.49999,0.187069,-0.714762,-1.69825,1.54362,2.214134,0.683265,-0.019662,0.72914,0.03343,-9.50397749550194,0.22139131462175313,-0.6597838183985556,-1.04445745196236,1.4103808354253267,2.410080957180991
36,2279113261,-9.513653,0.145447,-0.705267,-0.217413,1.285188,2.776372,0.683166,-0.019726,0.729219,0.033687,-9.496622417368892,0.17873980543341886,-0.6753875975670023,-0.5682097077867996,1.4274944210398786,2.7364873059220027
37,2279129928,-9.469631,0.170221,-0.630287,0.712603,1.388765,3.365221,0.683055,-0.019632,0.729316,0.0339,-9.493222864912536,0.1712060697671652,-0.6644790010626791,0.11260864078883584,1.5046435674742935,3.2464941564537253
38,2279146595,-9.499012,0.246611,-0.624825,0.634663,1.728953,3.797524,0.682908,-0.019477,0.729446,0.034142,-9.497392090822359,0.19731115898843948,-0.6502422865100983,0.6312461045957742,1.6436784911447013,3.7471323636969096
39,2279163262,-9.505508,0.21835,-0.649096,0.431311,1.846682,4.077778,0.682745,-0.019336,0.729588,0.034453,-9.506769675832803,0.23835565919818058,-0.6519267609015952,0.8784502061711994,1.7671921403687305,4.074757504813194
40,2279179929,-9.537276,0.278604,-0.691366,0.923549,1.773878,4.044291,0.682588,-0.019179,0.729726,0.034734,-9.515286896385131,0.27688386446415514,-0.669743446341141,0.9852651429866157,1.7794520569916936,4.164639040329789
41,2279196596,-9.502165,0.305123,-0.711759,1.271203,1.572677,4.016116,0.682457,-0.01895,0.729845,0.034942,-9.518919106344619,0.30630388935757613,-0.6899186789663315,1.112967588233154,1.6323164172496134,4.034279516757384
