PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,2278513249,-9.513366,-0.297636,-1.363369,0.108822,-0.929626,0.927762,0.637539,0.109266,0.755123,-0.106746,-9.513359415505784,-0.29765927822668886,-1.3633854607695828,0.10828995801061503,-0.9299886049763508,0.9278104156612139
2,2278529916,-9.514077,-0.330514,-1.349287,1.101205,-0.832349,1.087259,0.637495,0.109286,0.755146,-0.106824,-9.503554908379435,-0.3096735218024312,-1.369549288618573,0.9178092165914205,-0.8682578139331683,1.0713445304204496
3,2278546583,-9.483397,-0.308972,-1.37617,1.652045,-0.880891,1.19847,0.637454,0.109339,0.755158,-0.106927,-9.499398040822356,-0.30477857340251063,-1.3727852674303853,1.5810573671459283,-0.8299357605087898,1.15144086650347
4,2278563250,-9.50841,-0.280246,-1.376441,1.72465,-0.807889,1.104029,0.637403,0.109383,0.755179,-0.10704,-9.502446020562026,-0.2785599739362856,-1.3701207600380967,1.9781473912842946,-0.8266549484960265,1.13973635055712
5,2278579917,-9.506259,-0.218967,-1.374126,1.95715,-0.791279,1.0166,0.637344,0.109454,0.755196,-0.107199,-9.509106856130243,-0.24061954455871626,-1.36112186785725,2.025568081961435,-0.8524197266302153,1.0544891827071112
6,2278596584,-9.522311,-0.201398,-1.338703,1.87428,-0.919317,0.990129,0.6373,0.109505,0.755205,-0.107348,-9.513670292589529,-0.2058112910480612,-1.350307224573481,1.6984757146607619,-0.8900194735318143,0.9460294945724645
7,2278613251,-9.509621,-0.205003,-1.333847,1.243413,-1.050479,0.896553,0.637279,0.109487,0.755212,-0.107439,-9.512935788868957,-0.185236128510666,-1.3451002733838289,1.0862794160073568,-0.9272476477383942,0.8698588534635497
8,2278629918,-9.514575,-0.190772,-1.367941,0.404277,-0.877927,0.830652,0.637253,0.109378,0.75525,-0.107434,-9.508330921064957,-0.18389413940129712,-1.3501540499577056,0.42193900222946046,-0.9666558808892238,0.8594477743508628
9,2278646585,-9.485796,-0.189739,-1.351879,-0.269715,-0.93001,0.830524,0.637242,0.109218,0.755293,-0.107365,-9.50380612845192,-0.20216201373154238,-1.3633610823845053,0.004401470045968928,-1.0138785801222847,0.9071049678885796
10,2278663252,-9.507174,-0.227115,-1.369613,0.045943,-1.091421,0.987811,0.637246,0.109095,0.755315,-0.107314,-9.502052475675528,-0.23544766451056065,-1.3772325386914424,0.0354634302701067,-1.0573767816047501,0.9669014991014844
11,2278679919,-9.519009,-0.27231,-1.408638,0.663785,-1.13381,1.099432,0.637247,0.10904,0.75532,-0.10732,-9.502901203759077,-0.27277081115176055,-1.3846163436473389,0.49798865933927705,-1.0706490169134757,0.9882047421493549
12,2278696586,-9.500937,-0.309941,-1.373689,1.085537,-1.077065,0.962404,0.637234,0.109012,0.755326,-0.107387,-9.504513224282713,-0.2995978525729527,-1.3843353618104435,1.1760346013129925,-1.0408028879199136,0.9583271411055507
13,2278713253,-9.480253,-0.317301,-1.385804,1.783739,-0.98217,0.836697,0.637196,0.109036,0.755333,-0.10754,-9.504843824450589,-0.3056534695703947,-1.381858703402179,1.7946611834230883,-0.9871855460466405,0.9121963013510526
14,2278729920,-9.515324,-0.279653,-1.374594,2.335372,-0.804059,0.821841,0.63713,0.10911,0.755348,-0.10775,-9.502410874898214,-0.29118177462974937,-1.3836947175869825,2.172595868235612,-0.9410848331216478,0.8952489605598122
15,2278746587,-9.519277,-0.257375,-1.379347,2.367888,-0.894216,0.988605,0.637076,0.109207,0.755351,-0.107952,-9.497773867083374,-0.26553740614368004,-1.3903038092392976,2.287619811035635,-0.9090197262890274,0.9176881509127474
16,2278763254,-9.487901,-0.242586,-1.407008,1.924084,-1.024393,0.998569,0.637045,0.109255,0.755349,-0.108101,-9.494747484079099,-0.23987903523892,-1.3948376477723683,2.2202762851109794,-0.869152803165011,0.9480283059720377
17,2278779921,-9.47022,-0.221697,-1.404869,1.905668,-0.822539,0.873297,0.636988,0.109295,0.755368,-0.10826,-9.497844768778133,-0.22129888216328228,-1.389778801531127,2.0339074030311024,-0.8108786005872085,0.9488165623827708
18,2278796588,-9.516188,-0.222596,-1.368904,1.963565,-0.706257,1.004242,0.636919,0.109362,0.755395,-0.108415,-9.506907160684346,-0.21269251999994399,-1.375062163706358,1.710925937903929,-0.7687589063828788,0.9145832806414472
