PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X_filtered,Acc_Y_filtered,Acc_Z_filtered,Gyr_X_filtered,Gyr_Y_filtered,Gyr_Z_filtered
1,2278513249,9.829819,1.985441,-0.035841,-3.082489,-1.860584,1.870105,0.695967,0.033761,-0.70968,-0.104141,9.82978325850858,1.9853493061202152,-0.036068783336416874,-3.0732181687941296,-1.8587320381856334,1.8708490719862068
2,2278529916,9.836997,1.97176,-0.049594,-3.757089,-1.974496,1.747356,0.695932,0.033462,-0.709709,-0.104276,9.834702617434374,1.9599393256859665,-0.04504399502583321,-3.53017953433147,-1.9440810527461905,1.831058322772205
3,2278546583,9.845011,1.936436,-0.054279,-3.734793,-2.002299,1.832557,0.695898,0.033176,-0.709741,-0.104381,9.837828941441494,1.9358636711858013,-0.048620702487795195,-3.660035908775628,-1.9740848648073064,1.7908455609064005
4,2278563250,9.838061,1.895326,-0.037078,-3.461031,-1.819629,1.796661,0.695877,0.032904,-0.709758,-0.104481,9.839723678601784,1.9150717522858165,-0.04593807311179644,-3.372441799487616,-1.9310545440177465,1.751124827595615
5,2278579917,9.833983,1.91767,-0.051604,-2.673589,-2.038804,1.673743,0.69583,0.032728,-0.70981,-0.104506,9.84256209581122,1.9000541637777517,-0.04051342571130921,-2.878354121954121,-1.8490933358054225,1.7165204344641454
6,2278596584,9.84441,1.894198,-0.017278,-2.4188,-1.69122,1.687947,0.695815,0.032573,-0.70983,-0.10451,9.847065027789753,1.8928451906999477,-0.03674608216550784,-2.5172713262615396,-1.792333158434831,1.6962861898872361
7,2278613251,9.854881,1.88928,-0.052291,-2.4319,-1.699236,1.717658,0.695803,0.032426,-0.709851,-0.104499,9.85117523178855,1.8936951537579576,-0.03617233136035655,-2.5135056275236227,-1.8092990658315187,1.6993878217642526
8,2278629918,9.865685,1.895057,-0.025386,-3.220221,-1.989787,1.713419,0.695765,0.032203,-0.709888,-0.104565,9.85249586899093,1.8992905275189425,-0.037031345441186775,-2.8432537309226875,-1.8944045836832375,1.729493468823839
9,2278646585,9.850426,1.892093,-0.03936,-3.245948,-2.010046,1.807187,0.695724,0.031953,-0.709929,-0.104638,9.85139097629274,1.9022044801261435,-0.0375480610897384,-3.2675641819271446,-1.9890016207474512,1.785503787875109
10,2278663252,9.830059,1.910484,-0.064777,-3.034349,-2.061861,1.87314,0.695679,0.031725,-0.709978,-0.104675,9.850360287575668,1.8946659224871591,-0.03934574574269897,-3.466859382092588,-2.022275392023984,1.8646205381008174
11,2278679919,9.848808,1.878247,-0.037277,-3.06789,-1.859931,1.907551,0.695655,0.031484,-0.710006,-0.10472,9.8503868258032,1.8761669080984968,-0.04588059069777864,-3.2214911607327883,-1.958091325891938,1.961755727552089
12,2278696586,9.874158,1.863925,-0.023355,-3.064956,-1.785384,2.127384,0.69564,0.031215,-0.710028,-0.104747,9.84959255250143,1.8584314546074259,-0.05493102406608985,-2.624803985655726,-1.8207474092124363,2.0646346768595425
13,2278713253,9.838388,1.85423,-0.051314,-2.965618,-1.781171,2.159938,0.69563,0.030982,-0.71005,-0.104733,9.846479802405101,1.8605480932658054,-0.052944510769835605,-2.2172504004478166,-1.7019457248674772,2.150008213181641
