filename,activity,device_tag,output_rate_hz,filter_type,filter_order,cutoff_hz,processed_csv,plot_path,gap_indices_flagged,continuous_segment_count,continuous_segment_lengths,sos_padlen,short_unfiltered_segment_lengths
SHANK_L_JOGGING.csv,JOGGING,DOT_Shank_L,60.0,zero-phase low-pass Butterworth,4,10.0,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/processed_csv/JOGGING/DOT_Shank_L/JOGGING__DOT_Shank_L__SHANK_L_JOGGING_processed.csv,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/raw_vs_processed/JOGGING/DOT_Shank_L/JOGGING__DOT_Shank_L__SHANK_L_JOGGING_raw_vs_processed.png,,1,3472,15,
SHANK_L_SQUAT.csv,SQUAT,DOT_Shank_L,60.0,zero-phase low-pass Butterworth,4,10.0,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/processed_csv/SQUAT/DOT_Shank_L/SQUAT__DOT_Shank_L__SHANK_L_SQUAT_processed.csv,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/raw_vs_processed/SQUAT/DOT_Shank_L/SQUAT__DOT_Shank_L__SHANK_L_SQUAT_raw_vs_processed.png,,1,1130,15,
SHANK_L_STANDING.csv,STANDING,DOT_Shank_L,60.0,zero-phase low-pass Butterworth,4,10.0,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/processed_csv/STANDING/DOT_Shank_L/STANDING__DOT_Shank_L__SHANK_L_STANDING_processed.csv,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/raw_vs_processed/STANDING/DOT_Shank_L/STANDING__DOT_Shank_L__SHANK_L_STANDING_raw_vs_processed.png,112;122,3,112;10;876,15,10
SHANK_R_JOGGING.csv,JOGGING,DOT_Shank_R,60.0,zero-phase low-pass Butterworth,4,10.0,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/processed_csv/JOGGING/DOT_Shank_R/JOGGING__DOT_Shank_R__SHANK_R_JOGGING_processed.csv,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/raw_vs_processed/JOGGING/DOT_Shank_R/JOGGING__DOT_Shank_R__SHANK_R_JOGGING_raw_vs_processed.png,,1,1457,15,
SHANK_R_SQUAT.csv,SQUAT,DOT_Shank_R,60.0,zero-phase low-pass Butterworth,4,10.0,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/processed_csv/SQUAT/DOT_Shank_R/SQUAT__DOT_Shank_R__SHANK_R_SQUAT_processed.csv,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/raw_vs_processed/SQUAT/DOT_Shank_R/SQUAT__DOT_Shank_R__SHANK_R_SQUAT_raw_vs_processed.png,,1,1132,15,
SHANK_R_STANDING.csv,STANDING,DOT_Shank_R,60.0,zero-phase low-pass Butterworth,4,10.0,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/processed_csv/STANDING/DOT_Shank_R/STANDING__DOT_Shank_R__SHANK_R_STANDING_processed.csv,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/raw_vs_processed/STANDING/DOT_Shank_R/STANDING__DOT_Shank_R__SHANK_R_STANDING_raw_vs_processed.png,,1,1002,15,
THIGH__L_JOGGING.csv,JOGGING,DOT_Thigh_L,60.0,zero-phase low-pass Butterworth,4,10.0,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/processed_csv/JOGGING/DOT_Thigh_L/JOGGING__DOT_Thigh_L__THIGH__L_JOGGING_processed.csv,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/raw_vs_processed/JOGGING/DOT_Thigh_L/JOGGING__DOT_Thigh_L__THIGH__L_JOGGING_raw_vs_processed.png,,1,3470,15,
THIGH__R_JOGGING.csv,JOGGING,DOT_Thigh_R,60.0,zero-phase low-pass Butterworth,4,10.0,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/processed_csv/JOGGING/DOT_Thigh_R/JOGGING__DOT_Thigh_R__THIGH__R_JOGGING_processed.csv,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/raw_vs_processed/JOGGING/DOT_Thigh_R/JOGGING__DOT_Thigh_R__THIGH__R_JOGGING_raw_vs_processed.png,,1,1458,15,
THIGH_L_SQUAT.csv,SQUAT,DOT_Thigh_L,60.0,zero-phase low-pass Butterworth,4,10.0,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/processed_csv/SQUAT/DOT_Thigh_L/SQUAT__DOT_Thigh_L__THIGH_L_SQUAT_processed.csv,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/raw_vs_processed/SQUAT/DOT_Thigh_L/SQUAT__DOT_Thigh_L__THIGH_L_SQUAT_raw_vs_processed.png,,1,1132,15,
THIGH_L_STANDING.csv,STANDING,DOT_Thigh_L,60.0,zero-phase low-pass Butterworth,4,10.0,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/processed_csv/STANDING/DOT_Thigh_L/STANDING__DOT_Thigh_L__THIGH_L_STANDING_processed.csv,C:/Users/simon/Documents/thesis/results/xsens_imu/pre_pilot/processed/raw_vs_processed/STANDING/DOT_Thigh_L/STANDING__DOT_Thigh_L__THIGH_L_STANDING_raw_vs_processed.png,,1,1003,15,
