participant,activity,sensor,row_count,duration_s,acc_dominant_axis,gyr_dominant_axis,acc_max_peak_to_peak,gyr_max_peak_to_peak,acc_mag_peak_count,acc_mag_dominant_frequency_hz,possible_clipping
P01,high_knee_hops,shank_l,691,11.516666666666667,Acc_X,Gyr_Z,7.769149653611143,170.9644096506113,48,0.6078147612156296,False
P01,high_knee_hops,shank_r,691,11.516666666666667,Acc_X,Gyr_Z,8.470079716506012,174.65208533834442,50,2.4312590448625184,False
P01,high_knee_hops,thigh_l,691,11.516666666666667,Acc_Y,Gyr_Z,13.122500855767736,271.2739653712107,23,0.6078147612156296,False
P01,high_knee_hops,thigh_r,691,11.516666666666667,Acc_Y,Gyr_Z,18.283038446518887,299.3446033460094,22,0.6078147612156296,False
P02,high_knee_hops,pelvis,590,9.833333333333334,Acc_X,Gyr_Y,54.132496599464694,597.2818442434946,15,2.3389830508474576,False
P02,high_knee_hops,shank_l,589,9.816666666666666,Acc_X,Gyr_Z,67.15410755704805,735.6114852200017,26,1.2224108658743633,False
P02,high_knee_hops,shank_r,590,9.833333333333334,Acc_X,Gyr_Z,72.47940062362277,707.3641747993008,19,1.2203389830508473,False
P02,high_knee_hops,thigh_l,587,9.783333333333333,Acc_Y,Gyr_Z,64.96065412770022,903.613705301295,29,2.3509369676320273,False
P02,high_knee_hops,thigh_r,590,9.833333333333334,Acc_Y,Gyr_Z,60.33109205908299,911.2751567046275,29,1.11864406779661,False
P03,high_knee_hops,pelvis,494,8.233333333333333,Acc_X,Gyr_Y,61.25834731157562,597.0424302727952,15,2.6720647773279356,False
P01,jogging,pelvis,7223,120.38333333333334,Acc_X,Gyr_Z,50.6411236505259,379.2666677169891,415,2.5418801052194384,False
P01,jogging,shank_r,7222,120.36666666666666,Acc_X,Gyr_Z,71.73659322879817,772.271863207192,264,2.5422320686790365,False
P01,jogging,thigh_l,7218,120.3,Acc_Y,Gyr_X,53.89010923610329,869.6717771480259,485,2.543640897755611,False
P01,jogging,thigh_r,7223,120.38333333333334,Acc_Y,Gyr_X,47.02653019135545,766.0683762002982,407,2.5418801052194384,False
P02,jogging,pelvis,7182,119.7,Acc_X,Gyr_Y,37.10602441546333,313.43750702238174,279,2.5146198830409356,False
P02,jogging,shank_l,7179,119.65,Acc_X,Gyr_Z,58.60104471219708,857.610087678814,320,1.9724195570413707,False
P02,jogging,shank_r,7182,119.7,Acc_X,Gyr_Z,59.243251297956974,759.4440827607405,324,1.9632414369256472,False
P02,jogging,thigh_l,7180,119.66666666666667,Acc_Y,Gyr_X,35.83801890396121,504.4203781432003,363,2.5153203342618387,False
P02,jogging,thigh_r,7182,119.7,Acc_X,Gyr_X,32.79301741600839,491.5231666242982,354,2.5146198830409356,False
P01,squat,pelvis,618,10.3,Acc_X,Gyr_Y,81.60997125383616,1196.853856880298,26,2.7184466019417477,False
P01,squat,shank_l,618,10.3,Acc_Y,Gyr_Z,70.91295227449172,773.6966765280392,32,4.077669902912621,False
P01,squat,shank_r,617,10.283333333333333,Acc_Y,Gyr_Z,68.92540477075491,676.6289450845128,28,1.3614262560777959,False
P01,squat,thigh_l,618,10.3,Acc_X,Gyr_Z,67.13429347072,1201.7860711204903,38,4.077669902912621,False
P01,squat,thigh_r,617,10.283333333333333,Acc_X,Gyr_Z,65.121732554917,1269.2590624780491,34,2.7228525121555918,False
P02,squat,pelvis,680,11.333333333333334,Acc_Z,Gyr_Y,11.709191948289183,160.2984964785601,10,0.5294117647058822,False
P02,squat,shank_l,681,11.35,Acc_X,Gyr_Z,7.548187879907122,149.2122187963119,46,1.0572687224669604,False
P02,squat,shank_r,680,11.333333333333334,Acc_X,Gyr_Z,8.242052145432805,139.2976322446931,46,1.588235294117647,False
P02,squat,thigh_l,679,11.316666666666666,Acc_X,Gyr_Z,10.563531949799222,216.70497748253482,18,0.5301914580265096,False
P02,squat,thigh_r,680,11.333333333333334,Acc_Y,Gyr_Z,11.275502370019339,232.43128181498622,17,0.5294117647058822,False
P03,squat,pelvis,1583,26.383333333333333,Acc_Z,Gyr_Y,9.304469026353111,116.37942741054935,40,0.2653190145293746,False
P03,squat,thigh_r,1584,26.4,Acc_Y,Gyr_Z,12.533450543615764,208.7232895888963,84,0.26515151515151514,False
P01,standing,pelvis,638,10.633333333333333,Acc_X,Gyr_X,1.4390270831798144,45.51932780658275,27,5.266457680250784,False
P01,standing,shank_l,641,10.683333333333334,Acc_Z,Gyr_Y,1.8929398913576754,66.35150200427967,13,3.088923556942278,False
P01,standing,shank_r,641,10.683333333333334,Acc_X,Gyr_Y,1.6486647347202266,42.88324503219364,27,3.1825273010920436,False
P01,standing,thigh_l,634,10.566666666666666,Acc_Y,Gyr_X,3.2667660664307316,81.76853202228496,19,1.9873817034700316,False
P01,standing,thigh_r,639,10.65,Acc_Y,Gyr_X,1.4690908827551121,42.42200130346602,30,5.633802816901408,False
P02,standing,pelvis,529,8.816666666666666,Acc_Z,Gyr_X,0.431936535589135,11.303953848490266,43,1.2476370510396975,False
P02,standing,shank_r,530,8.833333333333334,Acc_X,Gyr_Y,0.25921997384940765,3.495771392798902,51,3.8490566037735845,False
P02,standing,thigh_l,527,8.783333333333333,Acc_Y,Gyr_X,0.5269312684575929,11.6492677012575,62,7.172675521821632,False
P03,standing,shank_l,529,8.816666666666666,Acc_Z,Gyr_X,0.28842201297959774,2.4937667490050472,72,0.3402646502835539,False
P03,standing,thigh_r,529,8.816666666666666,Acc_Y,Gyr_X,0.6247541764734322,8.947847108951565,59,6.805293005671078,False
